# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1  0.0     8.746467e-04  0.0  0.0  0.0  0.0 
   2  0.0     9.984904e+01  0.0  0.0  0.0  0.0 
   3  0.0     1.996959e+02  0.0  0.0  0.0  0.0 
   4  0.0     2.995884e+02  0.0  0.0  0.0  0.0 
   5  0.0     3.994964e+02  0.0  0.0  0.0  0.0 
   6  0.0     4.994004e+02  0.0  0.0  0.0  0.0 
   7  0.0     5.993112e+02  0.0  0.0  0.0  0.0 
   8  0.0     6.992182e+02  0.0  0.0  0.0  0.0 
   9  0.0     7.990628e+02  0.0  0.0  0.0  0.0 
  10  0.0     8.988467e+02  0.0  0.0  0.0  0.0 
  11  0.0     9.986224e+02  0.0  0.0  0.0  0.0 
  12  0.0     1.098476e+03  0.0  0.0  0.0  0.0 
  13  0.0     1.198337e+03  0.0  0.0  0.0  0.0 
  14  0.0     1.398058e+03  0.0  0.0  0.0  0.0 
  15  0.0     1.597875e+03  0.0  0.0  0.0  0.0 
  16  0.0     1.797675e+03  0.0  0.0  0.0  0.0 
  17  0.0     1.997358e+03  0.0  0.0  0.0  0.0 
  18  0.0     2.246744e+03  0.0  0.0  0.0  0.0 
  19  0.0     2.495936e+03  0.0  0.0  0.0  0.0 
  20  0.0     2.994950e+03  0.0  0.0  0.0  0.0 
  21  0.0     3.494508e+03  0.0  0.0  0.0  0.0 
  22  0.0     3.994018e+03  0.0  0.0  0.0  0.0 
  23  0.0     4.493435e+03  0.0  0.0  0.0  0.0 
  24  0.0     4.992669e+03  0.0  0.0  0.0  0.0 
  25  0.0     5.491913e+03  0.0  0.0  0.0  0.0 
  26  0.0     5.990879e+03  0.0  0.0  0.0  0.0 
  27  0.0     6.489601e+03  0.0  0.0  0.0  0.0 
  28  0.0     6.988314e+03  0.0  0.0  0.0  0.0 
  29  0.0     7.486881e+03  0.0  0.0  0.0  0.0 
  30  0.0     7.985167e+03  0.0  0.0  0.0  0.0 
  31  0.0     8.483214e+03  0.0  0.0  0.0  0.0 
  32  0.0     8.981059e+03  0.0  0.0  0.0  0.0 
  33  0.0     9.478602e+03  0.0  0.0  0.0  0.0 
  34  0.0     9.975000e+03  0.0  0.0  0.0  0.0 
