# 1/2 chord locations of the cross-sections 
node  X_coordinate[m]	Y_coordinate[m]	Z_coordinate[m]	Twist[deg.]
   1  0.0  0.0         0.000000  0.0 
   2  0.0  0.0         0.500000  0.0 
   3  0.0  0.0         1.000000  0.0 
   4  0.0  0.0         1.500000  0.0 
   5  0.0  0.0         2.000000  0.0 
   6  0.0  0.0         2.500000  0.0 
   7  0.0  0.0         3.000000  0.0 
   8  0.0  0.0         3.500000  0.0 
   9  0.0  0.0         4.000000  0.0 
  10  0.0  0.0         4.500000  0.0 
  11  0.0  0.0         5.000000  0.0 
  12  0.0  0.0         5.500000  0.0 
  13  0.0  0.0         6.000000  0.0 
  14  0.0  0.0         6.500000  0.0 
  15  0.0  0.0         7.000000  0.0 
  16  0.0  0.0         7.500000  0.0 
  17  0.0  0.0         8.000000  0.0 
  18  0.0  0.0         8.500000  0.0 
  19  0.0  0.0         9.000000  0.0 
  20  0.0  0.0         9.500000  0.0 
  21  0.0  0.0        10.000000  0.0 
