; 1/2 chord locations of the cross-sections 
; node  X_coordinate[m]	Y_coordinate[m]	Z_coordinate[m]	Twist[deg.]
 1     2.276630e-02    -6.354120e-03     0.000000e+00    -1.559460e+01
 2    -1.293848e-02     1.261945e-02     1.171132e+00    -1.559122e+01
 3    -4.864326e-02     3.159302e-02     2.342264e+00    -1.558783e+01
 4    -9.140135e-02     5.488521e-02     3.513081e+00    -1.550433e+01
 5    -1.344445e-01     7.835194e-02     4.683885e+00    -1.541759e+01
 6    -1.818083e-01     1.045408e-01     5.854464e+00    -1.520195e+01
 7    -2.295389e-01     1.309607e-01     7.025023e+00    -1.497536e+01
 8    -2.805342e-01     1.582549e-01     8.195424e+00    -1.465029e+01
 9    -3.319667e-01     1.856661e-01     9.365804e+00    -1.431203e+01
10    -3.845451e-01     2.121439e-01     1.053615e+01    -1.390311e+01
11    -4.373390e-01     2.384463e-01     1.170650e+01    -1.348090e+01
12    -4.889974e-01     2.624051e-01     1.287694e+01    -1.301398e+01
13    -5.403746e-01     2.857836e-01     1.404741e+01    -1.253597e+01
14    -6.409605e-01     3.256061e-01     1.638857e+01    -1.153475e+01
15    -7.386271e-01     3.567336e-01     1.872999e+01    -1.053048e+01
16    -8.264376e-01     3.770434e-01     2.107191e+01    -9.573236e+00
17    -8.987642e-01     3.851610e-01     2.341442e+01    -8.716881e+00
18    -9.648239e-01     3.825914e-01     2.634323e+01    -7.812203e+00
19    -9.987529e-01     3.719855e-01     2.927258e+01    -7.025378e+00
20    -1.001853e+00     3.390686e-01     3.513159e+01    -5.514682e+00
21    -9.655290e-01     3.025461e-01     4.099051e+01    -4.221511e+00
22    -9.368886e-01     2.487508e-01     4.684933e+01    -3.216668e+00
23    -9.106694e-01     1.328630e-01     5.270724e+01    -2.389998e+00
24    -8.738616e-01    -3.160201e-02     5.856396e+01    -1.686368e+00
25    -8.276046e-01    -2.221558e-01     6.441981e+01    -1.069373e+00
26    -7.743977e-01    -4.915380e-01     7.027248e+01    -5.506951e-01
27    -7.139438e-01    -8.150146e-01     7.612237e+01    -6.361638e-02
28    -6.478554e-01    -1.162822e+00     8.197081e+01     4.971755e-01
29    -5.806119e-01    -1.549740e+00     8.781676e+01     1.249206e+00
30    -5.148167e-01    -1.977418e+00     9.365990e+01     1.929809e+00
31    -4.459413e-01    -2.430095e+00     9.950113e+01     2.171948e+00
32    -3.726401e-01    -2.916233e+00     1.053396e+02     2.093051e+00
33    -2.989205e-01    -3.444117e+00     1.111744e+02     1.800138e+00
34    -6.589360e-02    -4.001430e+00     1.170000e+02     1.242390e+00	
