# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    1.421056e+00   -1.022671e-04    5.222642e+02    7.166582e-02    2.869183e-01   -1.170472e-03
   2    4.454101e+00   -1.645099e-03    2.115300e+03    1.025228e+00    2.507945e+00   -9.231546e-03
   3    3.362787e+00   -8.428503e-03    4.336856e+03    2.602361e+00    5.315389e+00   -1.033982e-02
   4   -8.669005e+00   -1.239550e-02    6.748662e+03    6.695373e+00    8.484001e+00    4.792599e-02
   5   -3.439728e+01   -1.015581e-01    9.388963e+03    2.229132e+01    4.125858e+00    4.229312e-01
   6   -6.536232e+01    4.970679e-01    1.210856e+04    2.863400e+01   -1.473088e+02    2.561004e-01
   7   -9.922361e+01   -9.231542e-01    1.474902e+04   -1.033821e+01   -5.233512e+02    4.023987e-01
   8   -1.386738e+02   -1.085383e+00    1.723579e+04   -1.003039e+02   -1.093345e+03   -1.327545e-01
   9   -1.897365e+02   -1.853861e+00    1.950390e+04   -2.176352e+02   -1.847076e+03   -1.727461e+00
  10   -2.637512e+02   -1.580691e+00    2.213928e+04   -2.724564e+02   -2.640654e+03   -1.657472e+00
  11   -3.710001e+02   -4.982405e+00    2.546731e+04   -2.491776e+02   -3.359201e+03   -5.665068e+00
  12   -4.865193e+02   -6.752508e-01    2.669135e+04   -1.406596e+02   -3.424267e+03    3.890226e-01
  13   -5.424928e+02    4.512208e+00    2.576587e+04   -5.246348e+01   -3.133651e+03   -4.522923e+00
  14   -5.614380e+02    4.476299e+00    2.463504e+04    5.087510e+01   -3.008381e+03   -2.064845e+00
  15   -5.584795e+02    4.938814e+00    2.311580e+04    1.570382e+02   -3.016472e+03    2.954303e+00
  16   -5.333666e+02    5.819237e+00    2.224878e+04    2.473249e+02   -2.954874e+03    6.039517e+00
  17   -5.131573e+02    1.006251e+00    2.248893e+04    3.625290e+02   -2.906312e+03    9.327927e+00
  18   -4.914175e+02    2.309744e-01    2.343338e+04    4.274189e+02   -2.951300e+03    8.803051e+00
  19   -4.630435e+02   -1.214440e+00    2.495999e+04    4.689393e+02   -3.063345e+03    9.187137e+00
  20   -4.434546e+02    2.367738e-01    2.666514e+04    4.833607e+02   -3.260262e+03    8.475564e+00
  21   -4.101394e+02   -4.460510e-01    2.840257e+04    4.545913e+02   -3.554994e+03    7.015730e+00
  22   -3.761435e+02    4.569846e-01    2.994654e+04    3.594330e+02   -4.055396e+03    5.188648e+00
  23   -3.422423e+02    8.640093e-01    3.112539e+04    3.220067e+02   -4.383142e+03    4.872963e+00
  24   -3.052788e+02    1.104591e+00    3.199688e+04    3.076778e+02   -4.551598e+03    5.515000e+00
  25   -2.669676e+02    1.107879e+00    3.259449e+04    4.287584e+02   -4.799033e+03    8.085252e+00
  26   -2.296913e+02    1.795822e+00    3.292826e+04    4.810840e+02   -4.892099e+03    8.602185e+00
  27   -1.777030e+02    1.433376e+00    3.282861e+04    5.177984e+02   -5.085576e+03    7.849659e+00
  28   -1.004850e+02    1.596536e+00    3.174685e+04    5.980104e+02   -6.264158e+03    1.110143e+01
  29   -1.613923e+01    9.596809e-01    3.003419e+04    6.398287e+02   -7.664342e+03    1.758961e+01
  30    6.167680e+01   -1.521245e+00    2.792088e+04    7.070786e+02   -8.644565e+03    3.754788e+01
  31    8.396677e+01    2.439861e+00    2.591475e+04    7.452551e+02   -8.752155e+03    4.874110e+01
  32    8.145291e+01   -6.894132e+00    2.396692e+04    7.985395e+02   -8.057179e+03    6.774176e+01
  33    5.894300e+01    1.458692e+00    2.126058e+04    8.194988e+02   -6.902531e+03    7.137047e+01
  34    3.381266e+01   -4.440493e-01    1.841165e+04    7.867085e+02   -5.582812e+03    7.534612e+01
  35    1.788258e+01    1.666447e+00    1.534526e+04    6.870164e+02   -4.302120e+03    7.308743e+01
  36   -4.190624e+01   -2.317655e+00    1.248511e+04    5.581202e+02   -3.154509e+03    6.204555e+01
  37   -4.337258e+01   -3.360230e+00    9.908963e+03    4.272942e+02   -2.221691e+03    4.095374e+01
  38   -2.353007e+01   -6.570288e-01    7.778009e+03    3.151781e+02   -1.530860e+03    2.640893e+01
  39   -1.509694e+01   -2.816486e+00    6.233471e+03    2.401659e+02   -1.069491e+03    1.628038e+01
  40   -7.650159e+00    2.509272e+00    4.853325e+03    1.706152e+02   -7.071776e+02    1.031615e+01
  41   -2.452126e+00   -1.658386e+00    3.876912e+03    1.248308e+02   -4.465114e+02    5.306734e+00
  42    3.677335e-01   -1.153896e+00    3.040673e+03    9.201000e+01   -2.591127e+02    2.695244e+00
  43    3.128815e+00   -2.661367e-01    2.271583e+03    6.430333e+01   -1.414155e+02    3.728275e-01
  44    3.371239e+00   -8.186137e-01    1.585325e+03    4.025119e+01   -8.538969e+01    4.112964e-01
  45    2.591076e+00   -4.204870e-01    1.023029e+03    2.188285e+01   -5.087195e+01    2.076068e-01
  46    1.792709e+00   -1.958195e-01    6.149424e+02    1.105850e+01   -2.873956e+01    9.240559e-02
  47    1.064197e+00   -8.146908e-02    3.383294e+02    5.162700e+00   -1.509724e+01    3.512934e-02
  48    4.958163e-01   -2.722398e-02    1.653317e+02    2.200235e+00   -7.148339e+00    1.550186e-02
  49    5.691573e-02    3.230119e-03    6.411738e+01    7.461166e-01   -2.563254e+00    7.097506e-02
  50   -1.699366e-02    4.859826e-03    1.430995e+01    1.160075e-01   -4.938692e-01    4.449330e-02
