# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    3.133729e-14   -2.287672e-17    1.355748e-13   -2.259839e+01    8.053556e+01   -1.871850e+00   -2.523677e+00    1.346950e+00    8.841971e+01
   2   -2.259839e+01    8.053556e+01   -1.871850e+00   -2.523677e+00    1.346950e+00    8.841971e+01   -2.484794e+01    8.118290e+01   -2.024130e+00   -2.608087e+00    1.402405e+00    8.826354e+01
   3   -2.484794e+01    8.118290e+01   -2.024130e+00   -2.608087e+00    1.402405e+00    8.826354e+01   -2.865668e+01    8.233511e+01   -2.284818e+00   -2.741106e+00    1.491349e+00    8.812143e+01
   4   -2.865668e+01    8.233511e+01   -2.284818e+00   -2.741106e+00    1.491349e+00    8.812143e+01   -3.421118e+01    8.415310e+01   -2.664252e+00   -2.911987e+00    1.608507e+00    8.819862e+01
   5   -3.421118e+01    8.415310e+01   -2.664252e+00   -2.911987e+00    1.608507e+00    8.819862e+01   -4.180660e+01    8.682952e+01   -3.169831e+00   -3.101519e+00    1.744496e+00    8.869169e+01
   6   -4.180660e+01    8.682952e+01   -3.169831e+00   -3.101519e+00    1.744496e+00    8.869169e+01   -4.538610e+01    9.668546e+01   -3.790436e+00   -3.344386e+00    1.931437e+00    8.931175e+01
   7   -4.538610e+01    9.668546e+01   -3.790436e+00   -3.344386e+00    1.931437e+00    8.931175e+01   -2.808215e+01    1.288277e+02   -4.231041e+00   -3.893055e+00    2.305911e+00    9.604975e+01
   8   -2.808215e+01    1.288277e+02   -4.231041e+00   -3.893055e+00    2.305911e+00    9.604975e+01    1.915285e+01    1.947990e+02   -4.074696e+00   -5.796582e+00    3.427607e+00    1.366172e+02
   9    1.915285e+01    1.947990e+02   -4.074696e+00   -5.796582e+00    3.427607e+00    1.366172e+02    1.378554e+02    3.412801e+02   -2.730755e+00   -1.298674e+01    7.630026e+00    2.979705e+02
  10    1.378554e+02    3.412801e+02   -2.730755e+00   -1.298674e+01    7.630026e+00    2.979705e+02    3.660834e+02    6.998070e+02   -1.655512e+00   -3.839978e+01    2.215435e+01    8.735966e+02
  11    3.660834e+02    6.998070e+02   -1.655512e+00   -3.839978e+01    2.215435e+01    8.735966e+02    4.894551e+02    1.036436e+03   -3.926548e+00   -5.512280e+01    3.086797e+01    1.276578e+03
  12    4.894551e+02    1.036436e+03   -3.926548e+00   -5.512280e+01    3.086797e+01    1.276578e+03    5.352318e+02    1.261102e+03   -5.546051e+00   -5.915126e+01    3.150261e+01    1.454799e+03
  13    5.352318e+02    1.261102e+03   -5.546051e+00   -5.915126e+01    3.150261e+01    1.454799e+03    5.640575e+02    1.504189e+03   -6.466071e+00   -5.950948e+01    2.935668e+01    1.637970e+03
  14    5.640575e+02    1.504189e+03   -6.466071e+00   -5.950948e+01    2.935668e+01    1.637970e+03    6.030646e+02    1.791989e+03   -1.165918e+01   -5.016446e+01    2.864789e+01    1.808386e+03
  15    6.030646e+02    1.791989e+03   -1.165918e+01   -5.016446e+01    2.864789e+01    1.808386e+03    6.263913e+02    2.064719e+03   -2.098591e+01   -2.921782e+01    2.896874e+01    1.978019e+03
  16    6.263913e+02    2.064719e+03   -2.098591e+01   -2.921782e+01    2.896874e+01    1.978019e+03    6.353365e+02    2.323960e+03   -3.255877e+01   -8.339800e+00    3.199343e+01    2.120869e+03
  17    6.353365e+02    2.323960e+03   -3.255877e+01   -8.339800e+00    3.199343e+01    2.120869e+03    6.343836e+02    2.572098e+03   -4.787693e+01    7.123046e+00    3.989417e+01    2.237621e+03
  18    6.343836e+02    2.572098e+03   -4.787693e+01    7.123046e+00    3.989417e+01    2.237621e+03    6.316893e+02    2.808930e+03   -6.463428e+01    1.752264e+01    4.946880e+01    2.321109e+03
  19    6.316893e+02    2.808930e+03   -6.463428e+01    1.752264e+01    4.946880e+01    2.321109e+03    6.285519e+02    3.047689e+03   -8.433241e+01    2.477274e+01    6.091607e+01    2.386083e+03
  20    6.285519e+02    3.047689e+03   -8.433241e+01    2.477274e+01    6.091607e+01    2.386083e+03    6.254699e+02    3.283964e+03   -1.033168e+02    2.774327e+01    7.147473e+01    2.439806e+03
  21    6.254699e+02    3.283964e+03   -1.033168e+02    2.774327e+01    7.147473e+01    2.439806e+03    6.224887e+02    3.520133e+03   -1.136311e+02    2.701260e+01    7.561078e+01    2.490296e+03
  22    6.224887e+02    3.520133e+03   -1.136311e+02    2.701260e+01    7.561078e+01    2.490296e+03    6.197279e+02    3.761195e+03   -1.194732e+02    2.799275e+01    7.625312e+01    2.545765e+03
  23    6.197279e+02    3.761195e+03   -1.194732e+02    2.799275e+01    7.625312e+01    2.545765e+03    6.168776e+02    3.996167e+03   -1.255753e+02    3.113839e+01    7.665068e+01    2.592209e+03
  24    6.168776e+02    3.996167e+03   -1.255753e+02    3.113839e+01    7.665068e+01    2.592209e+03    6.136420e+02    4.223640e+03   -1.412002e+02    3.506749e+01    8.285930e+01    2.630923e+03
  25    6.136420e+02    4.223640e+03   -1.412002e+02    3.506749e+01    8.285930e+01    2.630923e+03    6.099272e+02    4.444294e+03   -1.663847e+02    3.939599e+01    9.427572e+01    2.662611e+03
  26    6.099272e+02    4.444294e+03   -1.663847e+02    3.939599e+01    9.427572e+01    2.662611e+03    6.066309e+02    4.654442e+03   -1.752476e+02    4.272679e+01    9.557545e+01    2.686312e+03
  27    6.066309e+02    4.654442e+03   -1.752476e+02    4.272679e+01    9.557545e+01    2.686312e+03    6.032834e+02    4.848982e+03   -1.813602e+02    4.542516e+01    9.526396e+01    2.698153e+03
  28    6.032834e+02    4.848982e+03   -1.813602e+02    4.542516e+01    9.526396e+01    2.698153e+03    5.992487e+02    5.026028e+03   -1.956016e+02    4.788231e+01    9.923105e+01    2.696458e+03
  29    5.992487e+02    5.026028e+03   -1.956016e+02    4.788231e+01    9.923105e+01    2.696458e+03    5.941138e+02    5.183911e+03   -2.214648e+02    5.004479e+01    1.088252e+02    2.681566e+03
  30    5.941138e+02    5.183911e+03   -2.214648e+02    5.004479e+01    1.088252e+02    2.681566e+03    5.882349e+02    5.323984e+03   -2.572160e+02    5.151846e+01    1.229420e+02    2.662533e+03
  31    5.882349e+02    5.323984e+03   -2.572160e+02    5.151846e+01    1.229420e+02    2.662533e+03    5.831246e+02    5.468811e+03   -2.877085e+02    5.241005e+01    1.341868e+02    2.656869e+03
  32    5.831246e+02    5.468811e+03   -2.877085e+02    5.241005e+01    1.341868e+02    2.656869e+03    5.786426e+02    5.630380e+03   -3.174413e+02    5.273250e+01    1.444545e+02    2.658277e+03
  33    5.786426e+02    5.630380e+03   -3.174413e+02    5.273250e+01    1.444545e+02    2.658277e+03    5.732386e+02    5.789223e+03   -3.491112e+02    5.240921e+01    1.542372e+02    2.643733e+03
  34    5.732386e+02    5.789223e+03   -3.491112e+02    5.240921e+01    1.542372e+02    2.643733e+03    5.650239e+02    5.912498e+03   -3.845458e+02    5.155459e+01    1.632931e+02    2.586427e+03
  35    5.650239e+02    5.912498e+03   -3.845458e+02    5.155459e+01    1.632931e+02    2.586427e+03    5.527804e+02    5.959561e+03   -4.217030e+02    5.038269e+01    1.711239e+02    2.484387e+03
  36    5.527804e+02    5.959561e+03   -4.217030e+02    5.038269e+01    1.711239e+02    2.484387e+03    5.360974e+02    5.921616e+03   -4.524625e+02    4.855888e+01    1.743368e+02    2.339173e+03
  37    5.360974e+02    5.921616e+03   -4.524625e+02    4.855888e+01    1.743368e+02    2.339173e+03    5.153629e+02    5.811031e+03   -4.709304e+02    4.595072e+01    1.713244e+02    2.164338e+03
  38    5.153629e+02    5.811031e+03   -4.709304e+02    4.595072e+01    1.713244e+02    2.164338e+03    4.914763e+02    5.652796e+03   -4.792871e+02    4.247784e+01    1.641236e+02    1.979261e+03
  39    4.914763e+02    5.652796e+03   -4.792871e+02    4.247784e+01    1.641236e+02    1.979261e+03    4.655755e+02    5.468332e+03   -4.782579e+02    3.788687e+01    1.540049e+02    1.797752e+03
  40    4.655755e+02    5.468332e+03   -4.782579e+02    3.788687e+01    1.540049e+02    1.797752e+03    4.375281e+02    5.256601e+03   -4.698322e+02    3.369680e+01    1.419589e+02    1.619652e+03
  41    4.375281e+02    5.256601e+03   -4.698322e+02    3.369680e+01    1.419589e+02    1.619652e+03    4.071784e+02    5.018848e+03   -4.573591e+02    3.174178e+01    1.291794e+02    1.445814e+03
  42    4.071784e+02    5.018848e+03   -4.573591e+02    3.174178e+01    1.291794e+02    1.445814e+03    3.747968e+02    4.767169e+03   -4.419005e+02    3.479839e+01    1.160834e+02    1.281808e+03
  43    3.747968e+02    4.767169e+03   -4.419005e+02    3.479839e+01    1.160834e+02    1.281808e+03    3.396189e+02    4.496708e+03   -4.208437e+02    4.461126e+01    1.018623e+02    1.124398e+03
  44    3.396189e+02    4.496708e+03   -4.208437e+02    4.461126e+01    1.018623e+02    1.124398e+03    3.003674e+02    4.199325e+03   -3.924681e+02    4.956868e+01    8.702696e+01    9.691063e+02
  45    3.003674e+02    4.199325e+03   -3.924681e+02    4.956868e+01    8.702696e+01    9.691063e+02    2.543930e+02    3.855946e+03   -3.568111e+02    4.536597e+01    7.167571e+01    8.069212e+02
  46    2.543930e+02    3.855946e+03   -3.568111e+02    4.536597e+01    7.167571e+01    8.069212e+02    1.966973e+02    3.383819e+03   -3.084201e+02    3.528500e+01    5.335382e+01    6.078726e+02
  47    1.966973e+02    3.383819e+03   -3.084201e+02    3.528500e+01    5.335382e+01    6.078726e+02    1.282716e+02    2.654646e+03   -2.378320e+02    2.070066e+01    3.081762e+01    3.551465e+02
  48    1.282716e+02    2.654646e+03   -2.378320e+02    2.070066e+01    3.081762e+01    3.551465e+02    5.623619e+01    1.640487e+03   -1.444633e+02    6.592996e+00    9.753369e+00    1.133231e+02
  49    5.623619e+01    1.640487e+03   -1.444633e+02    6.592996e+00    9.753369e+00    1.133231e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.133729e-14   -2.287672e-17    1.355748e-13
