# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    2.516568e-01   -1.940918e-06    8.828052e+01   -1.063535e-02    2.631524e-03    2.716716e-06
   2    9.721157e-01   -1.928467e-05    3.538850e+02   -2.451795e-02    4.774976e-02   -1.512163e-04
   3    1.788174e+00   -6.005781e-05    7.110041e+02   -4.249616e-02    9.875752e-02   -3.123690e-04
   4    2.292163e+00   -1.486587e-04    1.074485e+03   -4.669075e-02    1.570351e-01   -4.812966e-04
   5    2.327952e+00   -3.164317e-04    1.447239e+03   -3.082542e-02    2.253745e-01   -6.168695e-04
   6    1.740317e+00   -6.035548e-04    1.831841e+03    1.357320e-02    3.081487e-01   -6.401275e-04
   7    3.757318e-01   -1.044216e-03    2.230433e+03    9.369535e-02    4.090418e-01   -4.037607e-04
   8   -1.914596e+00   -1.816012e-03    2.644618e+03    2.385395e-01    5.285395e-01    2.159851e-03
   9   -5.266322e+00   -2.752294e-04    3.075679e+03    1.237388e+00    5.817837e-01    6.983585e-03
  10   -9.805916e+00    1.674911e-03    3.524193e+03    3.707578e+00    4.994335e-01    1.308857e-02
  11   -1.552551e+01   -1.054442e-02    3.989235e+03    7.138483e+00    2.504585e-01    4.520982e-02
  12   -2.153695e+01   -5.609113e-03    4.458812e+03    9.651591e+00   -1.202996e+01    1.194646e-01
  13   -2.647493e+01    1.517975e-01    4.915895e+03    8.719259e+00   -5.197267e+01    2.237233e-02
  14   -3.185352e+01   -1.220102e-01    5.368202e+03    6.096612e+00   -1.055191e+02    5.000595e-02
  15   -3.774930e+01   -8.435695e-02    5.818017e+03   -2.258326e+00   -1.724429e+02    2.399745e-02
  16   -4.421075e+01   -3.147661e-03    6.256641e+03   -1.485652e+01   -2.527078e+02   -7.730266e-02
  17   -5.133624e+01   -5.012550e-02    6.687858e+03   -3.059826e+01   -3.472816e+02   -2.045939e-01
  18   -5.888012e+01   -9.025691e-02    7.099718e+03   -4.901597e+01   -4.552016e+02   -3.433179e-01
  19   -6.746087e+01   -9.339722e-02    7.513315e+03   -6.852052e+01   -5.766289e+02   -5.826355e-01
  20   -7.627165e+01   -1.181247e-01    7.893748e+03   -8.938120e+01   -7.101600e+02   -8.307411e-01
  21   -8.508988e+01   -1.479171e-01    8.225184e+03   -1.111577e+02   -8.542050e+02   -1.114177e+00
  22   -9.542290e+01   -2.220140e-01    8.563586e+03   -1.290834e+02   -9.978183e+02   -1.418386e+00
  23   -1.120823e+02   -6.694483e-02    9.152063e+03   -1.312665e+02   -1.135340e+03   -1.486598e+00
  24   -1.315251e+02   -5.334837e-02    9.819609e+03   -1.271176e+02   -1.276900e+03   -1.528876e+00
  25   -1.515948e+02   -5.922856e-01    1.046935e+04   -1.203201e+02   -1.423083e+03   -2.025966e+00
  26   -1.724868e+02   -2.711765e-01    1.086714e+04   -1.062038e+02   -1.485382e+03   -1.823575e+00
  27   -1.904052e+02   -1.638886e-02    1.100988e+04   -8.674472e+01   -1.472340e+03   -1.384808e+00
  28   -2.054990e+02   -9.193933e-03    1.103907e+04   -6.603288e+01   -1.441981e+03   -1.043400e+00
