# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    2.255508e-17   -2.448060e-17   -1.323755e-15   -2.198505e+01    8.021081e+01   -1.722818e+00   -2.437933e+00    1.235008e+00    8.861008e+01
   2   -2.198505e+01    8.021081e+01   -1.722818e+00   -2.437933e+00    1.235008e+00    8.861008e+01   -2.238916e+01    8.034222e+01   -1.752188e+00   -2.454882e+00    1.247861e+00    8.858559e+01
   3   -2.238916e+01    8.034222e+01   -1.752188e+00   -2.454882e+00    1.247861e+00    8.858559e+01   -2.302656e+01    8.053020e+01   -1.799802e+00   -2.480082e+00    1.269217e+00    8.851981e+01
   4   -2.302656e+01    8.053020e+01   -1.799802e+00   -2.480082e+00    1.269217e+00    8.851981e+01   -2.390973e+01    8.078768e+01   -1.867020e+00   -2.515684e+00    1.299018e+00    8.842643e+01
   5   -2.390973e+01    8.078768e+01   -1.867020e+00   -2.515684e+00    1.299018e+00    8.842643e+01   -2.504769e+01    8.112276e+01   -1.953271e+00   -2.560268e+00    1.336028e+00    8.831908e+01
   6   -2.504769e+01    8.112276e+01   -1.953271e+00   -2.560268e+00    1.336028e+00    8.831908e+01   -2.644944e+01    8.154590e+01   -2.060447e+00   -2.614569e+00    1.380768e+00    8.820894e+01
   7   -2.644944e+01    8.154590e+01   -2.060447e+00   -2.614569e+00    1.380768e+00    8.820894e+01   -2.812663e+01    8.206713e+01   -2.188647e+00   -2.677658e+00    1.432153e+00    8.811204e+01
   8   -2.812663e+01    8.206713e+01   -2.188647e+00   -2.677658e+00    1.432153e+00    8.811204e+01   -3.009313e+01    8.269874e+01   -2.339243e+00   -2.749242e+00    1.490023e+00    8.804402e+01
   9   -3.009313e+01    8.269874e+01   -2.339243e+00   -2.749242e+00    1.490023e+00    8.804402e+01   -3.236625e+01    8.345388e+01   -2.513372e+00   -2.829313e+00    1.553696e+00    8.802365e+01
  10   -3.236625e+01    8.345388e+01   -2.513372e+00   -2.829313e+00    1.553696e+00    8.802365e+01   -3.496695e+01    8.434680e+01   -2.712016e+00   -2.917350e+00    1.622303e+00    8.806988e+01
  11   -3.496695e+01    8.434680e+01   -2.712016e+00   -2.917350e+00    1.622303e+00    8.806988e+01   -3.792014e+01    8.539349e+01   -2.937031e+00   -3.013035e+00    1.695667e+00    8.820256e+01
  12   -3.792014e+01    8.539349e+01   -2.937031e+00   -3.013035e+00    1.695667e+00    8.820256e+01   -4.125554e+01    8.661071e+01   -3.189948e+00   -3.115872e+00    1.773246e+00    8.844316e+01
  13   -4.125554e+01    8.661071e+01   -3.189948e+00   -3.115872e+00    1.773246e+00    8.844316e+01   -4.500901e+01    8.801756e+01   -3.472523e+00   -3.223152e+00    1.852831e+00    8.874025e+01
  14   -4.500901e+01    8.801756e+01   -3.472523e+00   -3.223152e+00    1.852831e+00    8.874025e+01   -4.678828e+01    9.194935e+01   -3.745562e+00   -3.328430e+00    1.930267e+00    8.896351e+01
