# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    5.646165e-01   -1.324094e-05    2.004586e+02   -1.035015e-02    3.325422e-02   -1.168220e-04
   2    2.076983e+00   -1.524775e-04    8.057768e+02    6.031177e-02    3.295317e-01   -1.286600e-03
   3    3.333714e+00   -5.725988e-04    1.627983e+03    1.659674e-01    6.841395e-01   -2.342543e-03
   4    2.952514e+00   -1.614301e-03    2.481753e+03    3.646398e-01    1.087482e+00   -2.649894e-03
   5    1.282629e-01   -3.676807e-03    3.379688e+03    7.049977e-01    1.562700e+00   -1.124161e-03
   6   -5.904970e+00   -4.115122e-03    4.330674e+03    1.887316e+00    2.049998e+00    1.740495e-02
   7   -1.580630e+01    6.386915e-03    5.340263e+03    6.971351e+00    2.214648e+00    3.038702e-02
   8   -2.894529e+01   -6.925224e-02    6.397270e+03    1.429459e+01   -7.272861e+00    2.546324e-01
   9   -4.051391e+01    3.946266e-01    7.441805e+03    1.445674e+01   -8.241309e+01    1.357388e-02
  10   -5.304961e+01   -4.513537e-01    8.466377e+03    4.137387e+00   -2.128505e+02    1.368993e-01
  11   -6.674772e+01   -6.551898e-02    9.467613e+03   -2.137120e+01   -3.881568e+02   -4.473570e-02
  12   -8.275658e+01   -2.654121e-01    1.042784e+04   -5.858942e+01   -6.114108e+02   -2.903291e-01
  13   -1.016079e+02   -3.275080e-01    1.135775e+04   -1.023441e+02   -8.807975e+02   -7.859114e-01
  14   -1.216500e+02   -4.386929e-01    1.218443e+04   -1.506614e+02   -1.191674e+03   -1.421656e+00
  15   -1.457553e+02   -6.197747e-01    1.301310e+04   -1.873723e+02   -1.509144e+03   -1.937860e+00
  16   -1.848330e+02   -2.210323e-01    1.439104e+04   -1.867990e+02   -1.825012e+03   -1.815784e+00
  17   -2.293270e+02   -1.800699e+00    1.579396e+04   -1.737533e+02   -2.131235e+03   -3.434593e+00
  18   -2.766350e+02   -4.961403e-02    1.650223e+04   -1.388423e+02   -2.213900e+03   -2.186797e+00
  19   -3.112062e+02   -3.241032e-01    1.660118e+04   -8.863859e+01   -2.146951e+03   -7.989235e-01
  20   -3.346777e+02   -2.028517e-01    1.627941e+04   -4.208904e+01   -2.028913e+03    8.481873e-01
  21   -3.429484e+02    2.995639e+00    1.560302e+04   -1.028303e+01   -1.892725e+03   -4.357688e+00
  22   -3.506018e+02    7.127628e-01    1.533734e+04    3.907301e+01   -1.899098e+03    8.091301e-01
  23   -3.485285e+02    4.270049e-01    1.483381e+04    8.234518e+01   -1.906118e+03    2.060552e+00
  24   -3.366292e+02    1.821349e+00    1.398854e+04    1.155453e+02   -1.864526e+03    2.284820e+00
  25   -3.279818e+02    1.606029e+00    1.376773e+04    1.539300e+02   -1.840990e+03    3.718779e+00
  26   -3.246859e+02    9.187518e-01    1.392031e+04    2.031475e+02   -1.811520e+03    4.900818e+00
  27   -3.141507e+02   -1.035932e-01    1.393841e+04    2.450866e+02   -1.781427e+03    5.849741e+00
  28   -3.071563e+02   -3.593728e-02    1.429636e+04    2.712802e+02   -1.799875e+03    5.827611e+00
  29   -3.014754e+02    2.084764e-01    1.488340e+04    2.854671e+02   -1.840335e+03    5.717298e+00
  30   -2.891614e+02   -5.290819e-01    1.544772e+04    3.002037e+02   -1.892361e+03    5.787118e+00
  31   -2.825690e+02    4.201920e-02    1.610285e+04    3.079660e+02   -1.971456e+03    5.525703e+00
  32   -2.726496e+02    1.035541e-01    1.679080e+04    3.097651e+02   -2.062369e+03    5.119734e+00
  33   -2.596639e+02   -3.169662e-01    1.745993e+04    3.046647e+02   -2.175194e+03    4.674795e+00
  34   -2.465178e+02    2.047830e-01    1.806642e+04    2.785356e+02   -2.370726e+03    3.844182e+00
  35   -2.327745e+02    8.291780e-02    1.865564e+04    2.479903e+02   -2.579805e+03    3.272124e+00
