# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    3.076878e-17   -1.354308e-17   -1.007887e-15   -2.212444e+01    8.036583e+01   -1.832062e+00   -2.496164e+00    1.328815e+00    8.843456e+01
   2   -2.212444e+01    8.036583e+01   -1.832062e+00   -2.496164e+00    1.328815e+00    8.843456e+01   -2.300366e+01    8.062698e+01   -1.892086e+00   -2.530714e+00    1.351889e+00    8.837570e+01
   3   -2.300366e+01    8.062698e+01   -1.892086e+00   -2.530714e+00    1.351889e+00    8.837570e+01   -2.444325e+01    8.104086e+01   -1.990659e+00   -2.586343e+00    1.388208e+00    8.827238e+01
   4   -2.444325e+01    8.104086e+01   -1.990659e+00   -2.586343e+00    1.388208e+00    8.827238e+01   -2.647378e+01    8.164150e+01   -2.131053e+00   -2.661444e+00    1.438253e+00    8.816280e+01
   5   -2.647378e+01    8.164150e+01   -2.131053e+00   -2.661444e+00    1.438253e+00    8.816280e+01   -2.913277e+01    8.246348e+01   -2.314967e+00   -2.753754e+00    1.500186e+00    8.809413e+01
   6   -2.913277e+01    8.246348e+01   -2.314967e+00   -2.753754e+00    1.500186e+00    8.809413e+01   -3.247055e+01    8.354774e+01   -2.544899e+00   -2.860043e+00    1.572586e+00    8.811868e+01
   7   -3.247055e+01    8.354774e+01   -2.544899e+00   -2.860043e+00    1.572586e+00    8.811868e+01   -3.655399e+01    8.494031e+01   -2.823633e+00   -2.976700e+00    1.653973e+00    8.829024e+01
   8   -3.655399e+01    8.494031e+01   -2.823633e+00   -2.976700e+00    1.653973e+00    8.829024e+01   -4.147013e+01    8.669059e+01   -3.152671e+00   -3.097851e+00    1.741522e+00    8.863656e+01
   9   -4.147013e+01    8.669059e+01   -3.152671e+00   -3.097851e+00    1.741522e+00    8.863656e+01   -4.680036e+01    8.936538e+01   -3.536178e+00   -3.222070e+00    1.836791e+00    8.906212e+01
  10   -4.680036e+01    8.936538e+01   -3.536178e+00   -3.222070e+00    1.836791e+00    8.906212e+01   -4.358900e+01    1.013821e+02   -3.891321e+00   -3.406006e+00    1.979615e+00    8.972841e+01
  11   -4.358900e+01    1.013821e+02   -3.891321e+00   -3.406006e+00    1.979615e+00    8.972841e+01   -3.271661e+01    1.214520e+02   -4.203209e+00   -3.761966e+00    2.227249e+00    9.363860e+01
  12   -3.271661e+01    1.214520e+02   -4.203209e+00   -3.761966e+00    2.227249e+00    9.363860e+01   -1.147857e+01    1.526170e+02   -4.281990e+00   -4.514801e+00    2.688825e+00    1.079367e+02
  13   -1.147857e+01    1.526170e+02   -4.281990e+00   -4.514801e+00    2.688825e+00    1.079367e+02    2.343345e+01    2.006735e+02   -4.050696e+00   -6.001764e+00    3.546270e+00    1.409636e+02
  14    2.343345e+01    2.006735e+02   -4.050696e+00   -6.001764e+00    3.546270e+00    1.409636e+02    8.440408e+01    2.761789e+02   -3.350203e+00   -9.111559e+00    5.347713e+00    2.112925e+02
  15    8.440408e+01    2.761789e+02   -3.350203e+00   -9.111559e+00    5.347713e+00    2.112925e+02    2.106083e+02    4.379362e+02   -2.066501e+00   -2.033219e+01    1.195757e+01    4.619039e+02
  16    2.106083e+02    4.379362e+02   -2.066501e+00   -2.033219e+01    1.195757e+01    4.619039e+02    3.520803e+02    6.700827e+02   -1.701778e+00   -3.686276e+01    2.148000e+01    8.313220e+02
  17    3.520803e+02    6.700827e+02   -1.701778e+00   -3.686276e+01    2.148000e+01    8.313220e+02    4.381753e+02    8.810711e+02   -2.563742e+00   -4.797578e+01    2.706472e+01    1.101568e+03
  18    4.381753e+02    8.810711e+02   -2.563742e+00   -4.797578e+01    2.706472e+01    1.101568e+03    5.004208e+02    1.079653e+03   -4.227716e+00   -5.663123e+01    3.141417e+01    1.319143e+03
  19    5.004208e+02    1.079653e+03   -4.227716e+00   -5.663123e+01    3.141417e+01    1.319143e+03    5.271319e+02    1.213420e+03   -5.904003e+00   -5.981914e+01    3.289395e+01    1.419648e+03
  20    5.271319e+02    1.213420e+03   -5.904003e+00   -5.981914e+01    3.289395e+01    1.419648e+03    5.465520e+02    1.353811e+03   -5.902440e+00   -5.970928e+01    3.076064e+01    1.526465e+03
  21    5.465520e+02    1.353811e+03   -5.902440e+00   -5.970928e+01    3.076064e+01    1.526465e+03    5.648505e+02    1.510414e+03   -5.727994e+00   -5.905738e+01    2.831076e+01    1.641479e+03
  22    5.648505e+02    1.510414e+03   -5.727994e+00   -5.905738e+01    2.831076e+01    1.641479e+03    5.902800e+02    1.688431e+03   -8.366183e+00   -5.790531e+01    2.888505e+01    1.743933e+03
  23    5.902800e+02    1.688431e+03   -8.366183e+00   -5.790531e+01    2.888505e+01    1.743933e+03    6.107493e+02    1.864587e+03   -1.361668e+01   -4.827874e+01    2.933147e+01    1.851029e+03
  24    6.107493e+02    1.864587e+03   -1.361668e+01   -4.827874e+01    2.933147e+01    1.851029e+03    6.247028e+02    2.033961e+03   -1.931980e+01   -3.045033e+01    2.795955e+01    1.958935e+03
  25    6.247028e+02    2.033961e+03   -1.931980e+01   -3.045033e+01    2.795955e+01    1.958935e+03    6.321673e+02    2.197065e+03   -2.408468e+01   -2.173813e+01    2.877833e+01    2.054656e+03
