;;1/2 chord locations of the cross-sections
;; X_coordinate[m]	Y_coordinate[m]	Z_coordinate[m]	Twist[deg.]
2.276629999999999973e-02 -6.354120000000000427e-03 0.000000000000000000e+00 -1.559459999999999980e+01
-1.293447344617560182e-02 1.261802765965642711e-02 1.171165107402957428e+00 -1.559124051988673543e+01
-4.863334034256546617e-02 3.159352230581174287e-02 2.342331483354734623e+00 -1.558787143704138067e+01
-9.138629545261875431e-02 5.489086034072088172e-02 3.513184355918728574e+00 -1.550439354710217366e+01
-1.344230264361573612e-01 7.836786673214823917e-02 4.684026238848026935e+00 -1.541767777254136718e+01
-1.817777177598896010e-01 1.045725451322856159e-01 5.854645116498024215e+00 -1.520206435606775841e+01
-2.294973497912702887e-01 1.310151064431661627e-01 7.025245717504073006e+00 -1.497550342986003891e+01
-2.804785640617546427e-01 1.583404017182030998e-01 8.195689954957519063e+00 -1.465046535060250754e+01
-3.318910027228251236e-01 1.857939659594811388e-01 9.366114880293578082e+00 -1.431224083279268910e+01
-3.844427395803571845e-01 2.123296597452476175e-01 1.053650641213132211e+01 -1.390336019138288925e+01
-4.372067961933573943e-01 2.387066759756505951e-01 1.170690205300903308e+01 -1.348119485924049421e+01
-4.888394748357099973e-01 2.627572883799386139e-01 1.287738809506470083e+01 -1.301432558393195293e+01
-5.401887266156178979e-01 2.862480194255306865e-01 1.404790464352937995e+01 -1.253637227833101875e+01
-6.407128860095517853e-01 3.263798689271952269e-01 1.638915988588070505e+01 -1.153529969552351275e+01
-7.383157389265601056e-01 3.579860501497384995e-01 1.873067778256405447e+01 -1.053127455415358327e+01
-8.260768158643699843e-01 3.789387946729324552e-01 2.107269724133454503e+01 -9.574369750638128451e+00
-8.983710432603930762e-01 3.879272291783682491e-01 2.341531008772435030e+01 -8.718525852296293621e+00
-9.643598476056814972e-01 3.869397382436446930e-01 2.634424882429865633e+01 -7.814815519657736687e+00
-9.982665103667749396e-01 3.784792450895974047e-01 2.927372798742908344e+01 -7.029489014443066175e+00
-1.001376355888700775e+00 3.519407201927107764e-01 3.513299255624595929e+01 -5.523732792688301529e+00
-9.650485384014744206e-01 3.243954038248993976e-01 4.099215395450388399e+01 -4.237453309321448813e+00
-9.367822465624342509e-01 2.819603485029046341e-01 4.685125567658114676e+01 -3.241051347068585109e+00
-9.122235501854807360e-01 1.812502871979747021e-01 5.270961881060243570e+01 -2.424260456239650807e+00
-8.784666851961425715e-01 3.494259457376175382e-02 5.856698154274669577e+01 -1.732318715113597696e+00
-8.362886584759310349e-01 -1.326728186227266459e-01 6.442367956387890615e+01 -1.129128388660256110e+00
-7.919170359455532937e-01 -3.778851050863579752e-01 7.027764187895211023e+01 -6.269134014807044020e-01
-7.444352498870924206e-01 -6.735850384457376938e-01 7.612929399693099697e+01 -1.593294285850708758e-01
-6.933890701380678312e-01 -9.856493380368636092e-01 8.197997224740943523e+01 3.785467307450447461e-01
-6.457547116005641907e-01 -1.329281278335030736e+00 8.782881890422940785e+01 1.103913300315635171e+00
-6.065900505438882595e-01 -1.707809361429157402e+00 9.367561750346368399e+01 1.753764985414469679e+00
-5.704703328978497634e-01 -2.103458779600675399e+00 9.952130955587624328e+01 1.959147864982911935e+00
-5.379862305116361876e-01 -2.528324786436303651e+00 1.053649366323924710e+02 1.834093744302999873e+00
-5.170526106592621129e-01 -2.979226337906510480e+00 1.112064498296062425e+02 1.483971549130622236e+00
-3.524383798919970556e-01 -3.485989494478389350e+00 1.170384485275549480e+02 7.468542655114212003e-01
