# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    8.483155e-05   -4.295529e-02    7.745165e+03    2.717520e+01    4.656870e+01   -1.478622e-01
   2   -1.619839e-01   -9.890646e-02    1.481648e+04    3.496092e+00    7.468013e-01    5.297527e-02
   3   -1.565019e+00   -2.404298e-01    1.399168e+04    1.305195e+00   -1.153470e+01    1.317969e-01
   4   -1.886507e+00   -7.784939e-03    1.295618e+04   -1.256633e+00    1.380245e+01    6.487644e-02
   5   -4.066864e+00   -1.464181e-01    1.194843e+04    7.575303e+00    3.412035e+01    9.079390e-02
   6   -6.880912e+00   -1.544176e-01    1.102042e+04    1.262413e+01    5.299454e+01    1.257935e-01
   7   -1.166320e+01   -3.029311e-02    1.019491e+04    2.729774e+01    9.167075e+01    1.181147e-01
   8   -1.426712e+01    1.897653e-01    9.373079e+03    4.096204e+01    1.290247e+02    3.522563e-01
   9   -1.138612e+01    1.721253e-01    8.863402e+03    3.686414e+01    1.136979e+02    4.140392e-01
  10   -5.342949e+00   -1.135869e-01    8.664005e+03    1.852519e+01    4.647292e+01    2.089125e-01
  11   -3.151218e+00   -2.839710e-01    8.395311e+03    8.183455e+00    1.257203e+01   -6.325425e-01
  12   -1.972539e+01    1.448528e-01    7.820956e+03    5.848722e+01    1.478661e+02    3.383512e-01
  13   -6.647405e+01   -1.008812e+00    1.050624e+04    1.998219e+02    5.281606e+02    3.729541e+00
  14   -1.307036e+02    1.613015e+00    1.177819e+04    3.033062e+02    9.123576e+02    3.641778e+00
  15   -1.895606e+02    2.302701e+00    9.732873e+03    3.763118e+02    1.355597e+03    6.305756e+00
  16   -2.422349e+02    4.102587e-01    8.195009e+03    4.208615e+02    1.838176e+03    1.301513e+01
  17   -3.015628e+02    6.498830e-01    7.584020e+03    4.706883e+02    2.323947e+03    1.965461e+01
  18   -3.582389e+02   -7.548360e-01    7.474222e+03    4.944112e+02    2.736310e+03    2.432023e+01
  19   -5.841610e+02    6.640440e+00    9.841950e+03    6.435079e+02    3.892516e+03    3.765975e+01
  20   -7.198226e+02   -4.138899e+00    1.220955e+04    7.099863e+02    5.656967e+03    4.459058e+01
  21   -6.965676e+02   -1.485485e+00    1.148851e+04    5.158114e+02    5.306053e+03    3.213835e+01
  22   -6.489754e+02    1.696203e-01    1.085673e+04    3.681922e+02    4.964845e+03    2.071126e+01
  23   -5.883342e+02    2.768835e-01    1.013113e+04    2.768211e+02    4.429694e+03    1.239317e+01
  24   -5.293689e+02   -1.979131e-02    9.449163e+03    2.022708e+02    3.980446e+03    6.282377e+00
  25   -4.492784e+02   -8.831381e-01    8.711742e+03    8.981214e+01    3.361358e+03    6.416190e-01
  26   -3.329689e+02   -5.539108e-01    7.676456e+03    4.408211e+01    2.425872e+03   -6.036912e+00
  27   -2.145079e+02   -1.053293e+00    6.553085e+03    1.528196e+01    1.424130e+03   -1.360325e+01
  28   -1.352018e+02   -3.322182e+00    5.607989e+03   -1.348590e+01    8.066340e+02   -1.697900e+01
  29   -8.232075e+01   -3.937535e+00    4.492904e+03   -1.499933e+01    4.484080e+02   -1.789713e+01
  30   -4.483225e+01    9.426025e-01    3.230564e+03   -2.513121e+00    2.357894e+02   -1.592315e+01
  31   -2.549995e+01    1.217613e+00    2.143753e+03   -1.791116e+00    1.429180e+02   -1.226191e+01
  32   -1.569033e+01    1.780850e+00    1.404925e+03   -1.202557e+01    9.597570e+01   -8.782161e+00
  33   -2.236141e+00   -2.390728e-01    8.309960e+02   -1.334677e+01    4.109781e+01   -3.909137e+00
  34    1.204268e+00    1.255868e+00    1.093348e+02    6.144696e+00    2.576578e+00    2.571128e-01
