# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    1.086713e+01   -3.237703e-02    8.119383e+03   -2.147604e+02    1.953750e+03   -4.711044e+04
   2   -2.341986e+01   -1.114036e-01    1.698207e+04   -2.388744e+02    1.905284e+03   -4.701362e+04
   3   -8.163994e+01   -4.253952e-01    1.809648e+04   -2.413200e+02    1.889894e+03   -4.701275e+04
   4   -1.134902e+02   -4.774727e-03    1.866479e+04   -2.455620e+02    1.925360e+03   -4.701136e+04
   5   -1.378897e+02   -2.155169e-01    1.897615e+04   -2.323941e+02    1.960252e+03   -4.700530e+04
   6   -1.614266e+02   -2.075645e-01    1.912943e+04   -2.236742e+02    1.999320e+03   -4.698059e+04
   7   -1.841650e+02   -8.329093e-02    1.920116e+04   -1.988424e+02    2.082912e+03   -4.687546e+04
   8   -2.043337e+02    4.406954e-01    1.903645e+04   -1.757594e+02    2.176285e+03   -4.668368e+04
   9   -2.329191e+02    4.579113e-01    1.932045e+04   -1.882680e+02    2.162974e+03   -4.647909e+04
  10   -2.756770e+02   -3.044722e-01    2.016383e+04   -2.358221e+02    2.026890e+03   -4.625572e+04
  11   -3.170136e+02   -3.857812e-01    2.077037e+04   -2.672007e+02    1.958554e+03   -4.605552e+04
  12   -3.495367e+02    3.803965e-01    2.049813e+04   -1.359691e+02    2.320665e+03   -4.599652e+04
  13   -5.793067e+02   -3.486559e+00    2.956835e+04    2.799535e+02    3.357956e+03   -4.594475e+04
  14   -7.747109e+02    6.238524e+00    3.599461e+04    6.488002e+02    4.771352e+03   -4.583515e+04
  15   -7.717470e+02    9.173615e+00    3.264643e+04    9.768797e+02    6.549648e+03   -4.570668e+04
  16   -7.272205e+02    2.237987e+00    2.990545e+04    1.250743e+03    8.713277e+03   -4.559205e+04
  17   -7.324227e+02    2.770057e+00    3.010625e+04    1.592557e+03    1.127557e+04   -4.549390e+04
  18   -7.852113e+02   -9.086865e-01    3.224791e+04    1.873225e+03    1.382392e+04   -4.537851e+04
  19   -1.237452e+03    2.777370e+01    4.726207e+04    2.865364e+03    2.165505e+04   -4.526482e+04
  20   -1.305896e+03   -1.107916e+01    6.610631e+04    3.640196e+03    3.284574e+04   -4.510760e+04
  21   -1.241855e+03   -1.885339e+00    7.069792e+04    2.929730e+03    3.453842e+04   -4.500664e+04
  22   -1.127746e+03    3.879031e+00    7.480925e+04    2.248776e+03    3.601981e+04   -4.491791e+04
  23   -1.015803e+03    4.422006e+00    7.726778e+04    1.793158e+03    3.552149e+04   -4.481295e+04
  24   -9.085349e+02    5.238147e-01    7.902384e+04    1.366129e+03    3.497577e+04   -4.468503e+04
  25   -7.716494e+02   -6.174236e+00    7.924341e+04    4.756825e+02    3.202667e+04   -4.453796e+04
  26   -5.900065e+02   -5.199237e+00    7.543955e+04    7.605013e+01    2.499320e+04   -4.444206e+04
  27   -4.033885e+02   -1.162809e+01    6.922258e+04   -1.853894e+02    1.626578e+04   -4.435318e+04
  28   -2.475121e+02   -3.866378e+01    6.336137e+04   -4.838942e+02    1.053897e+04   -4.417662e+04
  29   -1.059920e+02   -4.813980e+01    5.402928e+04   -4.992625e+02    6.913575e+03   -4.394898e+04
  30    6.747980e+00    1.174844e+01    4.119022e+04   -3.352736e+02    4.616418e+03   -4.382901e+04
  31    4.552882e+01    1.609177e+01    2.889539e+04   -3.079321e+02    3.586576e+03   -4.391447e+04
  32    3.168855e+01    2.496472e+01    1.996744e+04   -4.416737e+02    3.030606e+03   -4.423371e+04
  33    1.031327e+02   -2.186291e+00    1.238204e+04   -4.536826e+02    2.293580e+03   -4.480071e+04
  34    2.917821e+01    2.017243e+01    1.673139e+03   -1.501677e+02    1.934690e+03   -4.710703e+04
