# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
   2   -3.911930e+01    7.321069e+01   -2.378508e+00    0.000000e+00    0.000000e+00    0.000000e+00
   3   -4.950042e+01    7.717768e+01   -3.021685e+00    0.000000e+00    0.000000e+00    0.000000e+00
   4   -5.891163e+01    8.358186e+01   -3.827290e+00    0.000000e+00    0.000000e+00    0.000000e+00
   5   -6.117019e+01    9.763346e+01   -4.420429e+00    0.000000e+00    0.000000e+00    0.000000e+00
   6   -4.108241e+01    1.334754e+02   -4.669549e+00    0.000000e+00    0.000000e+00    0.000000e+00
   7    1.939137e+01    2.134269e+02   -4.083904e+00    0.000000e+00    0.000000e+00    0.000000e+00
   8    1.015226e+02    3.373676e+02   -3.454023e+00    0.000000e+00    0.000000e+00    0.000000e+00
   9    1.791733e+02    4.898466e+02   -3.338031e+00    0.000000e+00    0.000000e+00    0.000000e+00
  10    2.580680e+02    6.807712e+02   -3.777396e+00    0.000000e+00    0.000000e+00    0.000000e+00
  11    3.171457e+02    8.753212e+02   -4.675016e+00    0.000000e+00    0.000000e+00    0.000000e+00
  12    3.369973e+02    9.821265e+02   -5.110503e+00    0.000000e+00    0.000000e+00    0.000000e+00
  13    3.546376e+02    1.088848e+03   -4.793810e+00    0.000000e+00    0.000000e+00    0.000000e+00
  14    3.875991e+02    1.295761e+03   -3.088579e+00    0.000000e+00    0.000000e+00    0.000000e+00
  15    4.038387e+02    1.498372e+03   -2.503624e-02    0.000000e+00    0.000000e+00    0.000000e+00
  16    4.320034e+02    1.709169e+03    5.658902e+00    0.000000e+00    0.000000e+00    0.000000e+00
  17    4.536350e+02    1.913146e+03    1.028200e+01    0.000000e+00    0.000000e+00    0.000000e+00
  18    4.687429e+02    2.167605e+03    1.074724e+01    0.000000e+00    0.000000e+00    0.000000e+00
  19    4.707304e+02    2.405996e+03    1.036048e+01    0.000000e+00    0.000000e+00    0.000000e+00
  20    4.649834e+02    2.879634e+03    1.125203e+01    0.000000e+00    0.000000e+00    0.000000e+00
  21    4.586261e+02    3.362688e+03    1.489691e+01    0.000000e+00    0.000000e+00    0.000000e+00
  22    4.526155e+02    3.844670e+03    3.452440e+01    0.000000e+00    0.000000e+00    0.000000e+00
  23    4.468301e+02    4.339524e+03    8.669582e+01    0.000000e+00    0.000000e+00    0.000000e+00
  24    4.418562e+02    4.850243e+03    1.249101e+02    0.000000e+00    0.000000e+00    0.000000e+00
  25    4.373376e+02    5.377384e+03    1.761554e+02    0.000000e+00    0.000000e+00    0.000000e+00
  26    4.344377e+02    5.903083e+03    2.678506e+02    0.000000e+00    0.000000e+00    0.000000e+00
  27    4.318550e+02    6.446151e+03    3.306401e+02    0.000000e+00    0.000000e+00    0.000000e+00
  28    4.291559e+02    7.031046e+03    3.884286e+02    0.000000e+00    0.000000e+00    0.000000e+00
  29    4.206493e+02    7.728806e+03    4.727888e+02    0.000000e+00    0.000000e+00    0.000000e+00
  30    4.126543e+02    8.411516e+03    5.536571e+02    0.000000e+00    0.000000e+00    0.000000e+00
  31    4.251550e+02    8.793011e+03    6.132050e+02    0.000000e+00    0.000000e+00    0.000000e+00
  32    4.380141e+02    8.772342e+03    6.532241e+02    0.000000e+00    0.000000e+00    0.000000e+00
  33    3.917947e+02    8.115806e+03    6.587921e+02    0.000000e+00    0.000000e+00    0.000000e+00
  34    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
