# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    1.466482e+00   -5.108074e-02    5.345523e+02    3.443314e-01    3.281766e-01   -2.059325e-03
   2    4.584534e+00   -1.602977e-01    2.165067e+03   -3.289840e-01    3.959131e+00    8.268232e+01
   3    3.392022e+00   -1.262351e-01    4.438886e+03    1.619413e+00    7.024481e+00    8.243598e+01
   4   -9.214776e+00    2.879077e-01    6.907429e+03    4.404269e+00    1.061400e+01    8.217238e+01
   5   -3.633268e+01    9.928694e-01    9.610234e+03    5.554490e+00    5.714159e+00    8.210974e+01
   6   -7.072897e+01    2.550739e+00    1.239541e+04    6.746681e+00    1.057249e+01    8.232725e+01
   7   -1.081821e+02    3.427942e+00    1.510057e+04    1.667575e+01    4.376079e+01    8.332110e+01
   8   -1.542544e+02    5.362938e+00    1.764692e+04    3.745173e+01    1.019700e+02    9.629746e+01
   9   -2.112250e+02    8.210818e+00    1.996731e+04    8.593792e+01    2.501522e+02    1.521625e+02
  10   -2.883124e+02    1.007478e+01    2.266199e+04    1.089969e+02    3.106364e+02    4.419378e+02
  11   -4.074276e+02    1.155148e+01    2.606730e+04    2.995980e+01    1.511741e+02    9.348862e+02
  12   -5.273099e+02    2.034021e+01    2.732058e+04    3.442996e+02    1.085959e+03    1.192793e+03
  13   -5.909038e+02    2.760134e+01    2.637307e+04    6.448878e+02    2.149278e+03    1.311979e+03
  14   -6.228540e+02    2.999002e+01    2.521627e+04    9.813483e+02    3.991023e+03    1.459046e+03
  15   -5.792215e+02    2.049063e+01    2.364141e+04    1.270414e+03    6.170484e+03    1.599399e+03
  16   -5.594333e+02    1.941056e+01    2.273454e+04    1.418823e+03    7.810699e+03    1.724929e+03
  17   -5.416312e+02    1.504445e+01    2.298152e+04    1.536944e+03    9.351193e+03    1.825241e+03
  18   -5.404410e+02    1.780538e+01    2.396000e+04    1.588607e+03    1.080273e+04    1.902945e+03
  19   -5.200345e+02    1.644315e+01    2.553534e+04    1.580768e+03    1.232643e+04    1.953936e+03
  20   -5.200508e+02    1.859688e+01    2.728939e+04    1.489292e+03    1.311560e+04    1.990934e+03
  21   -4.988685e+02    1.728936e+01    2.907487e+04    1.352864e+03    1.371959e+04    2.021895e+03
  22   -4.755465e+02    1.715353e+01    3.065490e+04    1.235675e+03    1.438846e+04    2.050090e+03
  23   -4.491257e+02    1.633642e+01    3.185844e+04    1.118055e+03    1.465347e+04    2.085059e+03
  24   -4.203268e+02    1.467753e+01    3.274866e+04    9.828018e+02    1.463924e+04    2.118972e+03
  25   -3.896534e+02    1.345435e+01    3.335901e+04    8.962223e+02    1.461426e+04    2.157068e+03
  26   -3.551038e+02    1.284482e+01    3.370181e+04    7.197834e+02    1.427569e+04    2.197813e+03
  27   -3.149802e+02    9.398725e+00    3.360279e+04    5.340960e+02    1.345245e+04    2.243949e+03
  28   -2.582260e+02    8.426095e+00    3.249486e+04    3.997645e+02    1.165558e+04    2.275850e+03
  29   -1.956777e+02    4.816403e+00    3.074090e+04    2.612075e+02    9.348176e+03    2.310492e+03
  30   -1.358217e+02   -3.492945e-01    2.857701e+04    1.827019e+02    6.891534e+03    2.341681e+03
  31   -9.680850e+01    1.247322e+00    2.652516e+04    9.327092e+01    5.184259e+03    2.391685e+03
  32   -6.280791e+01   -8.829947e+00    2.453219e+04    4.188545e+01    3.881941e+03    2.457373e+03
  33   -4.071612e+01   -1.022047e+00    2.176251e+04    1.053885e+01    2.954360e+03    2.537306e+03
  34   -2.071795e+01   -2.909398e+00    1.884559e+04    8.045549e+00    2.178842e+03    2.600169e+03
  35   -2.592454e+00    1.179327e+00    1.570609e+04    1.453845e+01    1.559971e+03    2.618646e+03
  36    9.736535e+00    2.571540e+00    1.277797e+04    1.963270e+01    1.152929e+03    2.590088e+03
  37    1.417539e+01    2.384429e+00    1.014144e+04    1.993171e+01    9.080771e+02    2.510304e+03
  38    1.087378e+01    3.703855e+00    7.960930e+03    1.777668e+01    6.978588e+02    2.388226e+03
  39    9.763107e+00    7.036479e-01    6.380458e+03    1.962085e+01    5.381221e+02    2.243258e+03
  40    6.832262e+00    5.044554e+00    4.968067e+03    1.473900e+01    3.945315e+02    2.088214e+03
  41    4.833670e+00    5.197087e-01    3.969012e+03    1.198747e+01    2.785443e+02    1.925048e+03
  42    3.782245e+00    3.938388e-01    3.111995e+03    1.483708e+01    1.872488e+02    1.758335e+03
  43    5.547647e+00    5.601349e-01    2.322957e+03    2.431290e+01    1.030241e+02    1.595623e+03
  44    4.010325e+00    2.207072e-01    1.620507e+03    4.464223e+01    8.286849e+00    1.432877e+03
  45    2.249795e+00    1.056761e-01    1.046339e+03    5.502547e+01   -4.809412e+01    1.266536e+03
  46    1.198690e+00    4.050418e-02    6.292833e+02    5.265924e+01   -7.097297e+01    1.082566e+03
  47    5.792135e-01    8.905763e-03    3.462891e+02    4.276279e+01   -6.876554e+01    8.489824e+02
  48    2.387479e-01   -4.489674e-03    1.692284e+02    2.708025e+01   -4.732586e+01    5.356805e+02
  49    9.735280e-02    5.664969e-04    6.561971e+01    1.053603e+01   -1.897182e+01    2.083324e+02
  50    3.301423e-02    4.208671e-03    1.464345e+01    2.370277e-02    2.353434e-01    2.564742e-02
