# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.507747e+01    7.686673e+01   -1.879530e+00    0.000000e+00    0.000000e+00    0.000000e+00
   2   -2.507747e+01    7.686673e+01   -1.879530e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.734116e+01    7.743744e+01   -2.025759e+00    0.000000e+00    0.000000e+00    0.000000e+00
   3   -2.734116e+01    7.743744e+01   -2.025759e+00    0.000000e+00    0.000000e+00    0.000000e+00   -3.118755e+01    7.846325e+01   -2.276141e+00    0.000000e+00    0.000000e+00    0.000000e+00
   4   -3.118755e+01    7.846325e+01   -2.276141e+00    0.000000e+00    0.000000e+00    0.000000e+00   -3.681598e+01    8.009770e+01   -2.640615e+00    0.000000e+00    0.000000e+00    0.000000e+00
   5   -3.681598e+01    8.009770e+01   -2.640615e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.454086e+01    8.252157e+01   -3.125843e+00    0.000000e+00    0.000000e+00    0.000000e+00
   6   -4.454086e+01    8.252157e+01   -3.125843e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.810489e+01    9.201287e+01   -3.702498e+00    0.000000e+00    0.000000e+00    0.000000e+00
   7   -4.810489e+01    9.201287e+01   -3.702498e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.923540e+01    1.253075e+02   -4.009832e+00    0.000000e+00    0.000000e+00    0.000000e+00
   8   -2.923540e+01    1.253075e+02   -4.009832e+00    0.000000e+00    0.000000e+00    0.000000e+00    2.319881e+01    1.964245e+02   -3.521398e+00    0.000000e+00    0.000000e+00    0.000000e+00
   9    2.319881e+01    1.964245e+02   -3.521398e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.674315e+02    3.852232e+02   -1.389639e+00    0.000000e+00    0.000000e+00    0.000000e+00
  10    1.674315e+02    3.852232e+02   -1.389639e+00    0.000000e+00    0.000000e+00    0.000000e+00    3.480191e+02    7.411221e+02   -3.900406e-01    0.000000e+00    0.000000e+00    0.000000e+00
  11    3.480191e+02    7.411221e+02   -3.900406e-01    0.000000e+00    0.000000e+00    0.000000e+00    4.194677e+02    9.920724e+02   -2.844439e-01    0.000000e+00    0.000000e+00    0.000000e+00
  12    4.194677e+02    9.920724e+02   -2.844439e-01    0.000000e+00    0.000000e+00    0.000000e+00    4.504914e+02    1.186514e+03    1.902252e+00    0.000000e+00    0.000000e+00    0.000000e+00
  13    4.504914e+02    1.186514e+03    1.902252e+00    0.000000e+00    0.000000e+00    0.000000e+00    4.729702e+02    1.416933e+03    7.027678e+00    0.000000e+00    0.000000e+00    0.000000e+00
  14    4.729702e+02    1.416933e+03    7.027678e+00    0.000000e+00    0.000000e+00    0.000000e+00    4.998101e+02    1.651632e+03    1.028303e+01    0.000000e+00    0.000000e+00    0.000000e+00
  15    4.998101e+02    1.651632e+03    1.028303e+01    0.000000e+00    0.000000e+00    0.000000e+00    5.145780e+02    1.881538e+03    1.143258e+01    0.000000e+00    0.000000e+00    0.000000e+00
  16    5.145780e+02    1.881538e+03    1.143258e+01    0.000000e+00    0.000000e+00    0.000000e+00    5.164880e+02    2.101921e+03    1.144499e+01    0.000000e+00    0.000000e+00    0.000000e+00
  17    5.164880e+02    2.101921e+03    1.144499e+01    0.000000e+00    0.000000e+00    0.000000e+00    5.082376e+02    2.309028e+03    1.156475e+01    0.000000e+00    0.000000e+00    0.000000e+00
  18    5.082376e+02    2.309028e+03    1.156475e+01    0.000000e+00    0.000000e+00    0.000000e+00    4.979599e+02    2.507481e+03    1.353843e+01    0.000000e+00    0.000000e+00    0.000000e+00
  19    4.979599e+02    2.507481e+03    1.353843e+01    0.000000e+00    0.000000e+00    0.000000e+00    4.874161e+02    2.711253e+03    1.517059e+01    0.000000e+00    0.000000e+00    0.000000e+00
  20    4.874161e+02    2.711253e+03    1.517059e+01    0.000000e+00    0.000000e+00    0.000000e+00    4.768830e+02    2.915655e+03    1.899079e+01    0.000000e+00    0.000000e+00    0.000000e+00
  21    4.768830e+02    2.915655e+03    1.899079e+01    0.000000e+00    0.000000e+00    0.000000e+00    4.662546e+02    3.120304e+03    3.162582e+01    0.000000e+00    0.000000e+00    0.000000e+00
  22    4.662546e+02    3.120304e+03    3.162582e+01    0.000000e+00    0.000000e+00    0.000000e+00    4.560135e+02    3.330771e+03    5.541203e+01    0.000000e+00    0.000000e+00    0.000000e+00
  23    4.560135e+02    3.330771e+03    5.541203e+01    0.000000e+00    0.000000e+00    0.000000e+00    4.460062e+02    3.541234e+03    8.285309e+01    0.000000e+00    0.000000e+00    0.000000e+00
  24    4.460062e+02    3.541234e+03    8.285309e+01    0.000000e+00    0.000000e+00    0.000000e+00    4.363331e+02    3.754195e+03    1.045004e+02    0.000000e+00    0.000000e+00    0.000000e+00
  25    4.363331e+02    3.754195e+03    1.045004e+02    0.000000e+00    0.000000e+00    0.000000e+00    4.270435e+02    3.972395e+03    1.209121e+02    0.000000e+00    0.000000e+00    0.000000e+00
  26    4.270435e+02    3.972395e+03    1.209121e+02    0.000000e+00    0.000000e+00    0.000000e+00    4.182814e+02    4.188514e+03    1.558234e+02    0.000000e+00    0.000000e+00    0.000000e+00
  27    4.182814e+02    4.188514e+03    1.558234e+02    0.000000e+00    0.000000e+00    0.000000e+00    4.099111e+02    4.399922e+03    2.004188e+02    0.000000e+00    0.000000e+00    0.000000e+00
  28    4.099111e+02    4.399922e+03    2.004188e+02    0.000000e+00    0.000000e+00    0.000000e+00    4.018319e+02    4.609939e+03    2.393454e+02    0.000000e+00    0.000000e+00    0.000000e+00
  29    4.018319e+02    4.609939e+03    2.393454e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.940600e+02    4.821135e+03    2.695230e+02    0.000000e+00    0.000000e+00    0.000000e+00
  30    3.940600e+02    4.821135e+03    2.695230e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.869472e+02    5.035212e+03    2.942007e+02    0.000000e+00    0.000000e+00    0.000000e+00
  31    3.869472e+02    5.035212e+03    2.942007e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.808371e+02    5.268646e+03    3.269182e+02    0.000000e+00    0.000000e+00    0.000000e+00
  32    3.808371e+02    5.268646e+03    3.269182e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.750011e+02    5.530247e+03    3.660317e+02    0.000000e+00    0.000000e+00    0.000000e+00
  33    3.750011e+02    5.530247e+03    3.660317e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.682579e+02    5.796162e+03    4.070044e+02    0.000000e+00    0.000000e+00    0.000000e+00
  34    3.682579e+02    5.796162e+03    4.070044e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.599747e+02    6.030354e+03    4.430843e+02    0.000000e+00    0.000000e+00    0.000000e+00
  35    3.599747e+02    6.030354e+03    4.430843e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.507937e+02    6.190711e+03    4.689256e+02    0.000000e+00    0.000000e+00    0.000000e+00
  36    3.507937e+02    6.190711e+03    4.689256e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.405650e+02    6.261744e+03    4.877516e+02    0.000000e+00    0.000000e+00    0.000000e+00
  37    3.405650e+02    6.261744e+03    4.877516e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.288927e+02    6.249200e+03    5.032071e+02    0.000000e+00    0.000000e+00    0.000000e+00
  38    3.288927e+02    6.249200e+03    5.032071e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.153519e+02    6.176468e+03    5.142882e+02    0.000000e+00    0.000000e+00    0.000000e+00
  39    3.153519e+02    6.176468e+03    5.142882e+02    0.000000e+00    0.000000e+00    0.000000e+00    2.997451e+02    6.060272e+03    5.227146e+02    0.000000e+00    0.000000e+00    0.000000e+00
  40    2.997451e+02    6.060272e+03    5.227146e+02    0.000000e+00    0.000000e+00    0.000000e+00    2.817159e+02    5.900202e+03    5.260016e+02    0.000000e+00    0.000000e+00    0.000000e+00
  41    2.817159e+02    5.900202e+03    5.260016e+02    0.000000e+00    0.000000e+00    0.000000e+00    2.608601e+02    5.701013e+03    5.198841e+02    0.000000e+00    0.000000e+00    0.000000e+00
  42    2.608601e+02    5.701013e+03    5.198841e+02    0.000000e+00    0.000000e+00    0.000000e+00    2.368399e+02    5.474482e+03    5.057400e+02    0.000000e+00    0.000000e+00    0.000000e+00
  43    2.368399e+02    5.474482e+03    5.057400e+02    0.000000e+00    0.000000e+00    0.000000e+00    2.088131e+02    5.216862e+03    4.862010e+02    0.000000e+00    0.000000e+00    0.000000e+00
  44    2.088131e+02    5.216862e+03    4.862010e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.750562e+02    4.915563e+03    4.625710e+02    0.000000e+00    0.000000e+00    0.000000e+00
  45    1.750562e+02    4.915563e+03    4.625710e+02    0.000000e+00    0.000000e+00    0.000000e+00    1.324987e+02    4.540527e+03    4.320757e+02    0.000000e+00    0.000000e+00    0.000000e+00
  46    1.324987e+02    4.540527e+03    4.320757e+02    0.000000e+00    0.000000e+00    0.000000e+00    8.228734e+01    4.014157e+03    3.862641e+02    0.000000e+00    0.000000e+00    0.000000e+00
  47    8.228734e+01    4.014157e+03    3.862641e+02    0.000000e+00    0.000000e+00    0.000000e+00    3.352730e+01    3.197438e+03    3.107922e+02    0.000000e+00    0.000000e+00    0.000000e+00
  48    3.352730e+01    3.197438e+03    3.107922e+02    0.000000e+00    0.000000e+00    0.000000e+00   -6.437114e+00    2.034438e+03    1.997301e+02    0.000000e+00    0.000000e+00    0.000000e+00
