# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    3.932288e+00    6.460512e+01    5.336322e+02   -4.439947e-01    3.543343e-01   -4.397807e-02
   2    4.440974e+00    6.885409e-01    2.165026e+03   -3.541137e+00    4.082522e+00    8.559270e+01
   3    3.057494e+00    8.211519e-01    4.438819e+03   -4.515650e+00    7.099135e+00    8.523649e+01
   4   -9.439963e+00    7.368142e+00    6.907143e+03   -4.818089e+00    1.017872e+01    8.486324e+01
   5   -3.847254e+01   -3.331661e+00    9.610314e+03   -6.544897e+00    3.210196e+00    8.478353e+01
   6   -8.007646e+01   -9.067910e+00    1.239561e+04   -7.570170e+00    4.668555e-03    8.519030e+01
   7   -1.285608e+02    1.821048e+00    1.510022e+04   -3.066320e+00    9.643648e+00    8.659698e+01
   8   -1.985131e+02    1.556568e+01    1.764579e+04   -2.277252e+00    6.005806e+00    9.986178e+01
   9   -2.848673e+02    2.825542e+01    1.996409e+04    5.046542e+00    3.766697e+01    1.550856e+02
  10   -2.163112e+02   -8.139480e+00    2.266303e+04    1.902963e+01    1.060357e+02    4.318402e+02
  11   -5.098276e+02    3.962078e+01    2.606528e+04   -1.122814e+02   -1.517732e+02    9.495524e+02
  12   -9.741164e+02    1.527142e+02    2.730529e+04   -5.337383e+01    2.246888e+01    1.266321e+03
  13   -1.007294e+03    1.164804e+02    2.637862e+04   -8.571637e+01   -1.272044e+02    1.411693e+03
  14   -1.349355e+03    1.280689e+02    2.522919e+04   -7.361743e+01   -6.698830e+01    1.547073e+03
  15   -1.125788e+03    6.402880e+01    2.363475e+04   -4.189183e+01    7.626605e+01    1.703210e+03
  16   -9.501663e+02    3.732817e+01    2.273497e+04   -4.303923e+01    1.413116e+01    1.826207e+03
  17   -8.742867e+02    1.928294e+01    2.298866e+04   -1.260878e+01    7.259642e+00    1.869001e+03
  18   -8.602692e+02    4.470311e+00    2.397310e+04   -1.874585e+00   -1.356719e+01    1.958540e+03
  19   -7.516582e+02   -1.262945e+01    2.550921e+04    1.149032e+01    1.377373e+02    1.979934e+03
  20   -5.856853e+02   -2.369036e+01    2.729720e+04    6.746656e+00    2.361761e+01    1.987912e+03
  21   -5.611033e+02   -1.890851e+01    2.908345e+04   -1.379847e+01    2.324801e+01    1.985666e+03
  22   -5.059549e+02   -1.711967e+01    3.063984e+04   -4.510562e+01    1.066577e+02    1.939512e+03
  23   -3.895161e+02   -2.137219e+01    3.185384e+04   -5.217004e+01    7.799626e+01    1.871698e+03
  24   -3.346397e+02   -2.476581e+01    3.275484e+04   -5.825796e+01    4.618830e+01    1.809531e+03
  25   -2.746557e+02   -2.579602e+01    3.335206e+04   -1.212923e+01    9.898382e+01    1.790442e+03
  26   -1.558792e+02   -2.760633e+01    3.369407e+04   -4.621592e+01    1.159227e+02    1.800657e+03
  27    7.275437e+01   -3.591849e+01    3.362863e+04   -7.876189e+01    1.300256e+02    1.775555e+03
  28    3.474130e+02   -3.949343e+01    3.249003e+04   -4.653006e+01    1.108471e+02    1.778986e+03
  29    5.189865e+02   -3.640409e+01    3.073254e+04   -2.445983e+01    1.401295e+02    1.858958e+03
  30    4.966766e+02   -3.012628e+01    2.855921e+04    2.474720e+01    1.197613e+02    1.986743e+03
  31    3.371365e+02   -1.971186e+01    2.651814e+04    1.994159e+01    1.508228e+02    2.119675e+03
  32    2.778233e+02   -2.358258e+01    2.452539e+04    2.592970e+01    1.513214e+02    2.243289e+03
  33    2.303371e+02   -1.135408e+01    2.176108e+04    3.261505e+01    1.629569e+02    2.361170e+03
  34    2.101595e+02   -7.239324e+00    1.884487e+04    4.837628e+01    1.748533e+02    2.456545e+03
  35    1.851629e+02   -1.509941e+00    1.570545e+04    6.061251e+01    1.856709e+02    2.500294e+03
  36    1.107951e+02   -5.405710e-01    1.277760e+04    6.876744e+01    1.973778e+02    2.486063e+03
  37    1.009490e+02    2.595484e+00    1.014206e+04    6.783930e+01    2.062674e+02    2.409926e+03
  38    7.802089e+01    3.120905e+00    7.961301e+03    6.094830e+01    2.059223e+02    2.290485e+03
  39    7.000770e+01    2.528821e+00    6.380854e+03    5.649662e+01    2.049209e+02    2.148034e+03
  40    5.775569e+01    1.707781e+00    4.966418e+03    4.928794e+01    1.995522e+02    1.995862e+03
  41    4.615752e+01    1.957846e+00    3.969548e+03    4.475550e+01    1.834625e+02    1.836432e+03
  42    4.008874e+01    1.907659e+00    3.112950e+03    4.114165e+01    1.692402e+02    1.673463e+03
  43    5.737462e+01    2.341129e+00    2.324717e+03    4.453154e+01    1.592453e+02    1.515801e+03
  44    5.805009e+01    2.114910e+00    1.621568e+03    5.819321e+01    1.378028e+02    1.360227e+03
  45    3.797918e+01    1.466293e+00    1.046194e+03    6.339776e+01    1.232566e+02    1.199796e+03
  46    2.314532e+01    9.515934e-01    6.289380e+02    5.778613e+01    1.047362e+02    1.019444e+03
  47    1.289674e+01    5.985975e-01    3.460355e+02    4.549937e+01    8.077180e+01    7.897454e+02
  48    6.373253e+00    3.539041e-01    1.690986e+02    2.798901e+01    4.967956e+01    4.880381e+02
  49    2.477964e+00    8.856721e-03    6.555668e+01    1.039828e+01    1.844332e+01    1.817846e+02
  50    5.205804e+00   -2.369263e-02    1.449206e+01    2.134766e-02   -4.868215e-04   -1.549505e-02
