# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.552527e+01    7.948168e+01   -1.934618e+00    0.000000e+00    0.000000e+00    0.000000e+00
   2   -2.552527e+01    7.948168e+01   -1.934618e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.781763e+01    8.006150e+01   -2.089341e+00    0.000000e+00    0.000000e+00    0.000000e+00
   3   -2.781763e+01    8.006150e+01   -2.089341e+00    0.000000e+00    0.000000e+00    0.000000e+00   -3.170873e+01    8.110221e+01   -2.354191e+00    0.000000e+00    0.000000e+00    0.000000e+00
   4   -3.170873e+01    8.110221e+01   -2.354191e+00    0.000000e+00    0.000000e+00    0.000000e+00   -3.739633e+01    8.275917e+01   -2.739371e+00    0.000000e+00    0.000000e+00    0.000000e+00
   5   -3.739633e+01    8.275917e+01   -2.739371e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.519223e+01    8.521591e+01   -3.252036e+00    0.000000e+00    0.000000e+00    0.000000e+00
   6   -4.519223e+01    8.521591e+01   -3.252036e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.872305e+01    9.488681e+01   -3.871532e+00    0.000000e+00    0.000000e+00    0.000000e+00
   7   -4.872305e+01    9.488681e+01   -3.871532e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.961222e+01    1.284876e+02   -4.275317e+00    0.000000e+00    0.000000e+00    0.000000e+00
   8   -2.961222e+01    1.284876e+02   -4.275317e+00    0.000000e+00    0.000000e+00    0.000000e+00    2.187708e+01    1.991632e+02   -4.044412e+00    0.000000e+00    0.000000e+00    0.000000e+00
   9    2.187708e+01    1.991632e+02   -4.044412e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.661563e+02    3.845056e+02   -2.530745e+00    0.000000e+00    0.000000e+00    0.000000e+00
  10    1.661563e+02    3.845056e+02   -2.530745e+00    0.000000e+00    0.000000e+00    0.000000e+00    3.568033e+02    7.450888e+02   -3.031649e+00    0.000000e+00    0.000000e+00    0.000000e+00
  11    3.568033e+02    7.450888e+02   -3.031649e+00    0.000000e+00    0.000000e+00    0.000000e+00    4.374986e+02    1.015150e+03   -5.349840e+00    0.000000e+00    0.000000e+00    0.000000e+00
  12    4.374986e+02    1.015150e+03   -5.349840e+00    0.000000e+00    0.000000e+00    0.000000e+00    4.691335e+02    1.212755e+03   -6.677088e+00    0.000000e+00    0.000000e+00    0.000000e+00
  13    4.691335e+02    1.212755e+03   -6.677088e+00    0.000000e+00    0.000000e+00    0.000000e+00    4.919895e+02    1.447229e+03   -7.245291e+00    0.000000e+00    0.000000e+00    0.000000e+00
  14    4.919895e+02    1.447229e+03   -7.245291e+00    0.000000e+00    0.000000e+00    0.000000e+00    5.194458e+02    1.690225e+03   -1.104078e+01    0.000000e+00    0.000000e+00    0.000000e+00
  15    5.194458e+02    1.690225e+03   -1.104078e+01    0.000000e+00    0.000000e+00    0.000000e+00    5.340993e+02    1.925832e+03   -1.822059e+01    0.000000e+00    0.000000e+00    0.000000e+00
  16    5.340993e+02    1.925832e+03   -1.822059e+01    0.000000e+00    0.000000e+00    0.000000e+00    5.356137e+02    2.150914e+03   -2.754308e+01    0.000000e+00    0.000000e+00    0.000000e+00
  17    5.356137e+02    2.150914e+03   -2.754308e+01    0.000000e+00    0.000000e+00    0.000000e+00    5.270511e+02    2.363720e+03   -3.981104e+01    0.000000e+00    0.000000e+00    0.000000e+00
  18    5.270511e+02    2.363720e+03   -3.981104e+01    0.000000e+00    0.000000e+00    0.000000e+00    5.163342e+02    2.566749e+03   -5.348120e+01    0.000000e+00    0.000000e+00    0.000000e+00
  19    5.163342e+02    2.566749e+03   -5.348120e+01    0.000000e+00    0.000000e+00    0.000000e+00    5.052131e+02    2.774265e+03   -7.012620e+01    0.000000e+00    0.000000e+00    0.000000e+00
  20    5.052131e+02    2.774265e+03   -7.012620e+01    0.000000e+00    0.000000e+00    0.000000e+00    4.940626e+02    2.982164e+03   -8.647051e+01    0.000000e+00    0.000000e+00    0.000000e+00
  21    4.940626e+02    2.982164e+03   -8.647051e+01    0.000000e+00    0.000000e+00    0.000000e+00    4.828968e+02    3.190746e+03   -9.519403e+01    0.000000e+00    0.000000e+00    0.000000e+00
  22    4.828968e+02    3.190746e+03   -9.519403e+01    0.000000e+00    0.000000e+00    0.000000e+00    4.720655e+02    3.405910e+03   -9.986542e+01    0.000000e+00    0.000000e+00    0.000000e+00
  23    4.720655e+02    3.405910e+03   -9.986542e+01    0.000000e+00    0.000000e+00    0.000000e+00    4.613812e+02    3.620771e+03   -1.048779e+02    0.000000e+00    0.000000e+00    0.000000e+00
  24    4.613812e+02    3.620771e+03   -1.048779e+02    0.000000e+00    0.000000e+00    0.000000e+00    4.508372e+02    3.837001e+03   -1.187308e+02    0.000000e+00    0.000000e+00    0.000000e+00
  25    4.508372e+02    3.837001e+03   -1.187308e+02    0.000000e+00    0.000000e+00    0.000000e+00    4.404314e+02    4.056897e+03   -1.421646e+02    0.000000e+00    0.000000e+00    0.000000e+00
  26    4.404314e+02    4.056897e+03   -1.421646e+02    0.000000e+00    0.000000e+00    0.000000e+00    4.306680e+02    4.276013e+03   -1.513165e+02    0.000000e+00    0.000000e+00    0.000000e+00
  27    4.306680e+02    4.276013e+03   -1.513165e+02    0.000000e+00    0.000000e+00    0.000000e+00    4.212464e+02    4.492440e+03   -1.585968e+02    0.000000e+00    0.000000e+00    0.000000e+00
