;;1/2 chord locations of the cross-sections
;; X_coordinate[m]	Y_coordinate[m]	Z_coordinate[m]	Twist[deg.]
2.276629999999999973e-02 -6.354120000000000427e-03 0.000000000000000000e+00 -1.559459999999999980e+01
-1.290757049850312609e-02 1.286610276049070418e-02 1.171150019179924007e+00 -1.559123243174932583e+01
-4.854447331598858023e-02 3.242573608894702697e-02 2.342295423633864448e+00 -1.558785475476179450e+01
-9.119714956437596776e-02 5.666147469493993533e-02 3.513119648424940511e+00 -1.550437024741587244e+01
-1.340853753242836621e-01 8.147027264060149876e-02 4.683928714507996638e+00 -1.541764736459560226e+01
-1.812319469977158592e-01 1.094472344362552585e-01 5.854505115157386363e+00 -1.520202512559378683e+01
-2.286704222363979411e-01 1.381512518052983030e-01 7.025055255131298360e+00 -1.497545454446952640e+01
-2.792836006275133398e-01 1.682752289854341499e-01 8.195438286631794966e+00 -1.465040449387795896e+01
-3.302236942215370230e-01 1.991183405431852793e-01 9.365784538038196771e+00 -1.431216147975898778e+01
-3.821797873093428777e-01 2.296792979765405196e-01 1.053608189705641074e+01 -1.390325327085618135e+01
-4.342012817398997471e-01 2.607761101769062173e-01 1.170637238947647418e+01 -1.348105430540795702e+01
-4.849147950985557287e-01 2.903253676118121018e-01 1.287677892536791191e+01 -1.301415577601228257e+01
-5.351516295607960938e-01 3.201632966056277563e-01 1.404720855296376492e+01 -1.253616810220839461e+01
-6.327690279876928559e-01 3.759135593043119172e-01 1.638829808455007253e+01 -1.153500320905359189e+01
-7.263010200141346573e-01 4.280227000195135911e-01 1.872964639054970704e+01 -1.053089113077638217e+01
-8.086556363566835826e-01 4.751663140879663905e-01 2.107149362711582086e+01 -9.573988457323022061e+00
-8.741648729260622641e-01 5.164976317252822913e-01 2.341399316279698795e+01 -8.718238429463056605e+00
-9.298011640905712305e-01 5.649779544816565524e-01 2.634294909507884697e+01 -7.814379858199966833e+00
-9.513148018990694732e-01 6.173911844501385193e-01 2.927248030652596000e+01 -7.029309433087288284e+00
-9.242714441458118602e-01 7.499007575810394677e-01 3.513207282552973965e+01 -5.524668606450595654e+00
-8.524086420611747261e-01 9.317339636646770895e-01 4.099189887418056344e+01 -4.238934447437004316e+00
-7.844271922613882397e-01 1.152832658832166457e+00 4.685289030620690198e+01 -3.243642847990849898e+00
-7.165212775937437328e-01 1.373199735632918195e+00 5.271709305405297386e+01 -2.426994836661358068e+00
-6.360596618999700969e-01 1.611641574171457814e+00 5.858422973545161483e+01 -1.735975239706497586e+00
-5.440965636824285356e-01 1.898810742621516834e+00 6.445467272614129683e+01 -1.133044568552115772e+00
-4.475904317331382831e-01 2.185404167500882178e+00 7.033145167879972348e+01 -6.337792912325299621e-01
-3.461492933168729413e-01 2.502968065042699752e+00 7.621514244442096242e+01 -1.699157921260485704e-01
-2.395159251745634377e-01 2.889359820598609296e+00 8.210545750428472900e+01 3.657037228668238438e-01
-1.351949185049559632e-01 3.331683612563495878e+00 8.800447598557751405e+01 1.089620766374146177e+00
-3.910727156827209505e-02 3.831290375683387595e+00 9.391468486104749047e+01 1.738021606767365279e+00
5.331010792481444271e-02 4.410490059878075186e+00 9.983662790374278018e+01 1.942929794379855801e+00
1.405458976951065586e-01 5.050916296940445527e+00 1.057702201317436135e+02 1.818658142462611593e+00
2.141754807387387660e-01 5.731512613394693645e+00 1.117161538676672592e+02 1.471470600900780967e+00
4.296257669281944302e-01 6.370534659263848987e+00 1.176615588191556157e+02 7.531990184993525572e-01
