# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    7.211089e+00   -2.146815e-02    5.383634e+03    9.078800e+01   -2.478157e+03   -4.208706e+04
   2   -1.549002e+01   -7.386797e-02    1.126011e+04    7.403481e+01   -2.509851e+03   -4.199769e+04
   3   -5.402609e+01   -2.819088e-01    1.199901e+04    7.235963e+01   -2.519992e+03   -4.199750e+04
   4   -7.504737e+01   -3.204850e-03    1.237580e+04    6.949045e+01   -2.496402e+03   -4.199725e+04
   5   -9.109840e+01   -1.429274e-01    1.258223e+04    7.828116e+01   -2.473258e+03   -4.199586e+04
   6   -1.065456e+02   -1.377805e-01    1.268383e+04    8.442682e+01   -2.447494e+03   -4.198939e+04
   7   -1.214295e+02   -5.503159e-02    1.273135e+04    1.027828e+02   -2.392997e+03   -4.196470e+04
   8   -1.345795e+02    2.920383e-01    1.262210e+04    1.215938e+02   -2.332740e+03   -4.191583e+04
   9   -1.532433e+02    3.031374e-01    1.281036e+04    1.141740e+02   -2.341426e+03   -4.179661e+04
  10   -1.812076e+02   -2.017352e-01    1.336951e+04    7.521645e+01   -2.426353e+03   -4.147699e+04
  11   -2.081650e+02   -2.576623e-01    1.377162e+04    4.711720e+01   -2.466286e+03   -4.117352e+04
  12   -2.292986e+02    2.528060e-01    1.359107e+04    1.268187e+02   -2.221160e+03   -4.095778e+04
  13   -3.794446e+02   -2.297399e+00    1.960491e+04    3.964947e+02   -1.527777e+03   -4.076758e+04
  14   -5.061271e+02    4.129006e+00    2.386565e+04    6.388511e+02   -5.881554e+02   -4.061142e+04
  15   -5.022774e+02    6.055090e+00    2.164556e+04    8.563510e+02    5.944907e+02   -4.045087e+04
  16   -4.706837e+02    1.481893e+00    1.982807e+04    1.041010e+03    2.032622e+03   -4.030396e+04
  17   -4.706790e+02    1.821070e+00    1.996108e+04    1.273672e+03    3.737085e+03   -4.016783e+04
  18   -4.997834e+02   -5.587233e-01    2.138087e+04    1.470308e+03    5.431585e+03   -4.001284e+04
  19   -7.793022e+02    1.830613e+01    3.133500e+04    2.137420e+03    1.066080e+04   -3.988404e+04
  20   -7.920764e+02   -7.073084e+00    4.382754e+04    2.662255e+03    1.808825e+04   -3.971192e+04
  21   -7.204670e+02   -1.047149e+00    4.686937e+04    2.197790e+03    1.923131e+04   -3.961603e+04
  22   -6.155077e+02    2.608662e+00    4.959239e+04    1.747051e+03    2.023039e+04   -3.953480e+04
  23   -5.140631e+02    2.944927e+00    5.122038e+04    1.447558e+03    1.992382e+04   -3.944699e+04
  24   -4.163818e+02    3.009239e-01    5.238286e+04    1.168664e+03    1.959267e+04   -3.936011e+04
  25   -3.037893e+02   -4.029532e+00    5.252674e+04    5.815338e+02    1.766392e+04   -3.926721e+04
  26   -1.716877e+02   -3.456459e+00    5.000493e+04    3.187027e+02    1.302718e+04   -3.921652e+04
  27   -4.414746e+01   -7.740670e+00    4.588399e+04    1.475876e+02    7.282443e+03   -3.918915e+04
  28    5.913386e+01   -2.563770e+01    4.199809e+04   -4.871545e+01    3.541070e+03   -3.912259e+04
  29    1.376811e+02   -3.173940e+01    3.581128e+04   -5.879255e+01    1.196621e+03   -3.903145e+04
  30    1.796466e+02    8.019126e+00    2.730024e+04    4.731105e+01   -2.725410e+02   -3.904509e+04
  31    1.619614e+02    1.071449e+01    1.915015e+04    6.053507e+01   -9.341308e+02   -3.925457e+04
  32    1.186359e+02    1.645247e+01    1.323207e+04   -3.447814e+01   -1.332785e+03   -3.965306e+04
  33    1.355589e+02   -1.429072e+00    8.204782e+03   -4.441379e+01   -1.908606e+03   -4.019179e+04
  34    3.052003e+01    1.331710e+01    1.108604e+03    1.335228e+02   -2.497040e+03   -4.208541e+04
