# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.967324e+01    8.267190e+01   -2.267568e+00    0.000000e+00    0.000000e+00    0.000000e+00
   2   -2.967324e+01    8.267190e+01   -2.267568e+00    0.000000e+00    0.000000e+00    0.000000e+00   -3.773220e+01    8.539800e+01   -2.821923e+00    0.000000e+00    0.000000e+00    0.000000e+00
   3   -3.773220e+01    8.539800e+01   -2.821923e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.470639e+01    9.037284e+01   -3.515316e+00    0.000000e+00    0.000000e+00    0.000000e+00
   4   -4.470639e+01    9.037284e+01   -3.515316e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.607352e+01    1.014136e+02   -4.029335e+00    0.000000e+00    0.000000e+00    0.000000e+00
   5   -4.607352e+01    1.014136e+02   -4.029335e+00    0.000000e+00    0.000000e+00    0.000000e+00   -3.173095e+01    1.275097e+02   -4.343703e+00    0.000000e+00    0.000000e+00    0.000000e+00
   6   -3.173095e+01    1.275097e+02   -4.343703e+00    0.000000e+00    0.000000e+00    0.000000e+00   -7.107238e-02    1.710892e+02   -4.256791e+00    0.000000e+00    0.000000e+00    0.000000e+00
   7   -7.107238e-02    1.710892e+02   -4.256791e+00    0.000000e+00    0.000000e+00    0.000000e+00    4.811217e+01    2.343060e+02   -3.942491e+00    0.000000e+00    0.000000e+00    0.000000e+00
   8    4.811217e+01    2.343060e+02   -3.942491e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.325387e+02    3.368647e+02   -2.882537e+00    0.000000e+00    0.000000e+00    0.000000e+00
   9    1.325387e+02    3.368647e+02   -2.882537e+00    0.000000e+00    0.000000e+00    0.000000e+00    2.675268e+02    5.244870e+02   -1.688881e+00    0.000000e+00    0.000000e+00    0.000000e+00
  10    2.675268e+02    5.244870e+02   -1.688881e+00    0.000000e+00    0.000000e+00    0.000000e+00    3.744352e+02    7.282636e+02   -2.027343e+00    0.000000e+00    0.000000e+00    0.000000e+00
  11    3.744352e+02    7.282636e+02   -2.027343e+00    0.000000e+00    0.000000e+00    0.000000e+00    4.418159e+02    9.012262e+02   -3.242423e+00    0.000000e+00    0.000000e+00    0.000000e+00
