;1/2 chord locations of the cross-sections 
; X_coordinate[m]	Y_coordinate[m]	Z_coordinate[m]	Twist[deg.]
2.276600000000000151e-02	-6.354000000000000273e-03	0.000000000000000000e+00	-1.559459999999999980e+01
1.937200000000000033e-02	-4.557000000000000287e-03	1.203189999999999954e-01	-1.559941700000000075e+01
8.942000000000000295e-03	9.770000000000000039e-04	4.807710000000000039e-01	-1.561025500000000044e+01
-9.204999999999999641e-03	1.064299999999999968e-02	1.079852000000000034e+00	-1.561682599999999965e+01
-3.602799999999999753e-02	2.500700000000000145e-02	1.915057000000000009e+00	-1.560381600000000013e+01
-7.250299999999999800e-02	4.466400000000000231e-02	2.982896999999999910e+00	-1.555352500000000049e+01
-1.193059999999999954e-01	7.007900000000000240e-02	4.278912000000000049e+00	-1.544876999999999967e+01
-1.790180000000000105e-01	1.031170000000000003e-01	5.797652000000000250e+00	-1.521686200000000078e+01
-2.523500000000000187e-01	1.434769999999999934e-01	7.532864000000000004e+00	-1.481828199999999995e+01
-3.364570000000000061e-01	1.876329999999999942e-01	9.477541999999999689e+00	-1.428013200000000005e+01
-4.327699999999999880e-01	2.365690000000000015e-01	1.162359900000000046e+01	-1.350857599999999969e+01
-5.366419999999999524e-01	2.839459999999999762e-01	1.396251700000000007e+01	-1.257473399999999941e+01
-6.474280000000000035e-01	3.289560000000000262e-01	1.648480400000000046e+01	-1.149046700000000065e+01
-7.562459999999999738e-01	3.612440000000000095e-01	1.918034600000000012e+01	-1.034293399999999963e+01
-8.605270000000000419e-01	3.789029999999999898e-01	2.203842900000000071e+01	-9.231849000000000416e+00
-9.389159999999999728e-01	3.845919999999999894e-01	2.504723999999999862e+01	-8.194865000000000066e+00
-9.857369999999999743e-01	3.755649999999999822e-01	2.819458500000000001e+01	-7.298542000000000307e+00
-1.003772000000000109e+00	3.610280000000000156e-01	3.146706500000000162e+01	-6.447701999999999600e+00
-9.985220000000000207e-01	3.416509999999999825e-01	3.485087200000000252e+01	-5.582651000000000252e+00
-9.840430000000000010e-01	3.197209999999999774e-01	3.833212300000000283e+01	-4.780408000000000435e+00
-9.622950000000000115e-01	2.954280000000000239e-01	4.189647800000000188e+01	-4.055537000000000170e+00
-9.430460000000000509e-01	2.625910000000000188e-01	4.552921400000000318e+01	-3.424028999999999989e+00
-9.270779999999999577e-01	2.068740000000000023e-01	4.921537699999999660e+01	-2.863919999999999799e+00
-9.083729999999999860e-01	1.286470000000000113e-01	5.293940299999999866e+01	-2.361505000000000187e+00
-8.866079999999999517e-01	2.406099999999999905e-02	5.668605000000000160e+01	-1.901130999999999904e+00
-8.599620000000000042e-01	-8.610800000000000398e-02	6.044021299999999997e+01	-1.476151999999999909e+00
-8.296620000000000106e-01	-2.145519999999999927e-01	6.418587999999999738e+01	-1.093337999999999921e+00
-7.967199999999999838e-01	-3.763500000000000179e-01	6.790727499999999850e+01	-7.552830000000000377e-01
-7.613739999999999952e-01	-5.603970000000000340e-01	7.158902500000000657e+01	-4.423509999999999942e-01
-7.236930000000000307e-01	-7.630569999999999853e-01	7.521619800000000566e+01	-1.419150000000000134e-01
-6.842869999999999786e-01	-9.685449999999999893e-01	7.877454199999999673e+01	1.729809999999999959e-01
-6.446840000000000348e-01	-1.180673000000000084e+00	8.224915699999999674e+01	5.381110000000000060e-01
-6.057690000000000019e-01	-1.399996999999999936e+00	8.562569899999999734e+01	9.624580000000000357e-01
-5.686489999999999601e-01	-1.625904999999999934e+00	8.889019600000000310e+01	1.397918999999999912e+00
-5.332040000000000113e-01	-1.854478999999999989e+00	9.202938399999999319e+01	1.768774999999999986e+00
-4.989959999999999951e-01	-2.081237999999999921e+00	9.503060000000000684e+01	2.019400999999999780e+00
-4.654409999999999936e-01	-2.301620000000000221e+00	9.788174899999999923e+01	2.144913999999999987e+00
-4.327520000000000255e-01	-2.516443000000000207e+00	1.005709729999999951e+02	2.170961999999999836e+00
-4.010859999999999981e-01	-2.724171000000000120e+00	1.030872509999999949e+02	2.142793999999999865e+00
-3.718250000000000166e-01	-2.923315000000000108e+00	1.054202949999999959e+02	2.090268000000000015e+00
-3.465420000000000167e-01	-3.112613000000000074e+00	1.075605539999999962e+02	2.008538999999999852e+00
-3.231879999999999753e-01	-3.289118999999999904e+00	1.094993879999999962e+02	1.904047999999999963e+00
-2.972420000000000062e-01	-3.449181999999999970e+00	1.112290220000000005e+02	1.796151000000000053e+00
-2.589830000000000187e-01	-3.591067999999999927e+00	1.127421549999999968e+02	1.681975999999999916e+00
-2.086830000000000074e-01	-3.713757999999999893e+00	1.140324970000000064e+02	1.562125999999999904e+00
-1.598620000000000041e-01	-3.815923000000000176e+00	1.150951170000000019e+02	1.452466000000000035e+00
-1.191829999999999973e-01	-3.896473999999999993e+00	1.159259789999999981e+02	1.362206999999999946e+00
-8.958399999999999697e-02	-3.954587000000000074e+00	1.165218480000000056e+02	1.296038000000000023e+00
-7.182299999999999796e-02	-3.989688999999999819e+00	1.168803410000000014e+02	1.255870000000000042e+00
-6.589399999999999424e-02	-4.001430000000000042e+00	1.170000000000000000e+02	1.242390000000000105e+00
