# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    1.454465e+00    1.222751e-04    5.345559e+02    3.433451e-01    3.279571e-01   -2.077305e-03
   2    4.558647e+00   -2.471202e-04    2.165082e+03   -5.104326e-01    4.062861e+00    8.892216e+01
   3    3.441410e+00   -7.857045e-03    4.438920e+03    1.442434e+00    7.148889e+00    8.876585e+01
   4   -8.877210e+00   -3.376169e-02    6.907488e+03    4.260948e+00    1.078739e+01    8.865788e+01
   5   -3.536915e+01   -2.722973e-01    9.610325e+03    5.468039e+00    5.973259e+00    8.883275e+01
   6   -6.878296e+01    9.313714e-02    1.239554e+04    6.707926e+00    1.094639e+01    8.939087e+01
   7   -1.049391e+02   -3.403038e-01    1.510072e+04    1.672531e+01    4.427907e+01    9.028531e+01
   8   -1.493297e+02   -4.862793e-05    1.764709e+04    3.785013e+01    1.025905e+02    9.804273e+01
   9   -2.041796e+02    8.746348e-01    1.996747e+04    8.708099e+01    2.508340e+02    1.413777e+02
  10   -2.783226e+02   -3.940998e-02    2.266209e+04    1.154234e+02    3.099686e+02    3.240884e+02
  11   -3.931414e+02   -2.823577e+00    2.606730e+04    3.419374e+01    1.554857e+02    8.917037e+02
  12   -5.093993e+02    2.236008e+00    2.732052e+04    3.427136e+02    1.097219e+03    1.307344e+03
  13   -5.702133e+02    7.653404e+00    2.637287e+04    6.423845e+02    2.165325e+03    1.477453e+03
  14   -5.993371e+02    9.226591e+00    2.521594e+04    9.791623e+02    4.013861e+03    1.668143e+03
  15   -5.534993e+02    2.248620e-01    2.364102e+04    1.270547e+03    6.200258e+03    1.841930e+03
  16   -5.302475e+02   -7.742675e-02    2.273397e+04    1.423858e+03    7.848928e+03    2.008409e+03
  17   -5.074546e+02   -3.851398e+00    2.298074e+04    1.544532e+03    9.397826e+03    2.145222e+03
  18   -4.988933e+02   -8.985411e-01    2.395890e+04    1.597540e+03    1.086149e+04    2.256254e+03
  19   -4.699658e+02   -1.852410e+00    2.553368e+04    1.594155e+03    1.239678e+04    2.332415e+03
  20   -4.588552e+02    6.869170e-01    2.728687e+04    1.505749e+03    1.319869e+04    2.394983e+03
  21   -4.264498e+02    1.757920e-01    2.907132e+04    1.370910e+03    1.381650e+04    2.447637e+03
  22   -3.914212e+02    8.606307e-01    3.065017e+04    1.254682e+03    1.449761e+04    2.494458e+03
  23   -3.542105e+02    9.528323e-01    3.185275e+04    1.138299e+03    1.477823e+04    2.552127e+03
  24   -3.156767e+02    2.902054e-01    3.274228e+04    1.004937e+03    1.478116e+04    2.606183e+03
  25   -2.759900e+02    1.623558e-01    3.335208e+04    9.203064e+02    1.477502e+04    2.655070e+03
  26   -2.335655e+02    7.083835e-01    3.369423e+04    7.458865e+02    1.445806e+04    2.703779e+03
  27   -1.880044e+02   -1.372282e+00    3.359479e+04    5.618296e+02    1.365514e+04    2.758956e+03
  28   -1.297742e+02   -2.515632e-01    3.248707e+04    4.285083e+02    1.188000e+04    2.773835e+03
  29   -6.968130e+01   -1.625384e+00    3.073378e+04    2.909019e+02    9.595399e+03    2.779838e+03
  30   -1.453656e+01   -4.701972e+00    2.857075e+04    2.130890e+02    7.163770e+03    2.769104e+03
  31    1.944426e+01   -1.774580e+00    2.651939e+04    1.244486e+02    5.485377e+03    2.783731e+03
  32    4.733409e+01   -1.090360e+01    2.452675e+04    7.386590e+01    4.214426e+03    2.813830e+03
  33    5.992127e+01   -2.501050e+00    2.175755e+04    4.336621e+01    3.321008e+03    2.864419e+03
  34    6.854019e+01   -3.927296e+00    1.884117e+04    4.129439e+01    2.578472e+03    2.894795e+03
  35    7.343469e+01    5.240051e-01    1.570225e+04    4.760649e+01    1.987562e+03    2.880843e+03
  36    7.278292e+01    2.112088e+00    1.277464e+04    5.199440e+01    1.601064e+03    2.822318e+03
  37    6.463607e+01    2.015855e+00    1.013852e+04    5.113881e+01    1.366260e+03    2.718769e+03
  38    5.106464e+01    3.418701e+00    7.958375e+03    4.742027e+01    1.155211e+03    2.578258e+03
  39    4.228896e+01    4.883912e-01    6.378288e+03    4.743876e+01    9.859225e+02    2.418723e+03
  40    3.233981e+01    4.866521e+00    4.966170e+03    4.058123e+01    8.267161e+02    2.252835e+03
  41    2.541560e+01    3.870088e-01    3.967369e+03    3.589729e+01    6.897834e+02    2.084996e+03
  42    2.002019e+01    2.857714e-01    3.110674e+03    3.732457e+01    5.722525e+02    1.911707e+03
  43    1.789606e+01    4.910188e-01    2.321839e+03    4.611767e+01    4.582199e+02    1.738883e+03
  44    1.255403e+01    1.819396e-01    1.619706e+03    6.542202e+01    3.307151e+02    1.562925e+03
  45    7.787975e+00    9.519168e-02    1.045838e+03    7.436512e+01    2.384570e+02    1.381470e+03
  46    4.540068e+00    4.286501e-02    6.289490e+02    6.982923e+01    1.746568e+02    1.183538e+03
  47    2.424322e+00    1.424400e-02    3.461149e+02    5.682534e+01    1.245295e+02    9.358568e+02
  48    1.145637e+00   -3.949898e-04    1.691446e+02    3.654687e+01    7.545765e+01    6.002788e+02
  49    4.520282e-01    2.512718e-03    6.557572e+01    1.479007e+01    2.978408e+01    2.430940e+02
  50    1.118307e-01    4.677738e-03    1.463052e+01    2.368987e-02    2.337162e-01    2.548856e-02
