# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.295210e+01    8.109845e+01   -1.891108e+00    0.000000e+00    0.000000e+00    0.000000e+00
   2   -2.295210e+01    8.109845e+01   -1.891108e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.523942e+01    8.176053e+01   -2.045970e+00    0.000000e+00    0.000000e+00    0.000000e+00
   3   -2.523942e+01    8.176053e+01   -2.045970e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.911376e+01    8.293895e+01   -2.311237e+00    0.000000e+00    0.000000e+00    0.000000e+00
   4   -2.911376e+01    8.293895e+01   -2.311237e+00    0.000000e+00    0.000000e+00    0.000000e+00   -3.476717e+01    8.479761e+01   -2.697724e+00    0.000000e+00    0.000000e+00    0.000000e+00
   5   -3.476717e+01    8.479761e+01   -2.697724e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.250338e+01    8.753268e+01   -3.213421e+00    0.000000e+00    0.000000e+00    0.000000e+00
   6   -4.250338e+01    8.753268e+01   -3.213421e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.617948e+01    9.753967e+01   -3.847434e+00    0.000000e+00    0.000000e+00    0.000000e+00
   7   -4.617948e+01    9.753967e+01   -3.847434e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.859912e+01    1.302320e+02   -4.302820e+00    0.000000e+00    0.000000e+00    0.000000e+00
   8   -2.859912e+01    1.302320e+02   -4.302820e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.932331e+01    1.975359e+02   -4.173313e+00    0.000000e+00    0.000000e+00    0.000000e+00
   9    1.932331e+01    1.975359e+02   -4.173313e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.443933e+02    3.520221e+02   -2.812875e+00    0.000000e+00    0.000000e+00    0.000000e+00
  10    1.443933e+02    3.520221e+02   -2.812875e+00    0.000000e+00    0.000000e+00    0.000000e+00    3.688273e+02    7.131262e+02   -2.133511e+00    0.000000e+00    0.000000e+00    0.000000e+00
  11    3.688273e+02    7.131262e+02   -2.133511e+00    0.000000e+00    0.000000e+00    0.000000e+00    4.919466e+02    1.053876e+03   -4.769081e+00    0.000000e+00    0.000000e+00    0.000000e+00
  12    4.919466e+02    1.053876e+03   -4.769081e+00    0.000000e+00    0.000000e+00    0.000000e+00    5.345046e+02    1.274636e+03   -6.792547e+00    0.000000e+00    0.000000e+00    0.000000e+00
  13    5.345046e+02    1.274636e+03   -6.792547e+00    0.000000e+00    0.000000e+00    0.000000e+00    5.629469e+02    1.520472e+03   -8.381489e+00    0.000000e+00    0.000000e+00    0.000000e+00
