# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    1.454433e+00    1.222750e-04    5.345559e+02    3.433451e-01    3.279559e-01   -2.077275e-03
   2    4.557846e+00   -2.471337e-04    2.165081e+03   -3.960093e-01    3.992001e+00    8.486662e+01
   3    3.435582e+00   -7.857048e-03    4.438916e+03    1.559415e+00    7.068650e+00    8.473612e+01
   4   -8.901658e+00   -3.376150e-02    6.907475e+03    4.381625e+00    1.069018e+01    8.466897e+01
   5   -3.544383e+01   -2.723659e-01    9.610298e+03    5.592924e+00    5.849312e+00    8.489285e+01
   6   -6.896621e+01    9.278851e-02    1.239550e+04    6.836454e+00    1.078188e+01    8.550405e+01
   7   -1.053289e+02   -3.404872e-01    1.510067e+04    1.685324e+01    4.405341e+01    8.658863e+01
   8   -1.500886e+02   -8.031944e-04    1.764704e+04    3.793891e+01    1.022739e+02    9.545186e+01
   9   -2.055498e+02    8.742425e-01    1.996745e+04    8.707465e+01    2.503124e+02    1.406804e+02
  10   -2.807425e+02   -3.454319e-02    2.266213e+04    1.138500e+02    3.093591e+02    3.565279e+02
  11   -3.973816e+02   -2.827614e+00    2.606747e+04    3.352417e+01    1.511176e+02    8.925712e+02
  12   -5.158930e+02    2.218772e+00    2.732080e+04    3.430064e+02    1.088232e+03    1.271192e+03
  13   -5.792729e+02    7.676729e+00    2.637324e+04    6.422732e+02    2.151666e+03    1.428421e+03
  14   -6.117147e+02    9.268640e+00    2.521641e+04    9.777367e+02    3.993197e+03    1.612458e+03
  15   -5.693152e+02    2.309749e-01    2.364158e+04    1.266862e+03    6.172102e+03    1.781465e+03
  16   -5.506377e+02   -8.988052e-02    2.273468e+04    1.416963e+03    7.811741e+03    1.944216e+03
  17   -5.337571e+02   -3.939339e+00    2.298165e+04    1.536509e+03    9.351280e+03    2.080049e+03
  18   -5.330996e+02   -9.429610e-01    2.396018e+04    1.589650e+03    1.080205e+04    2.194070e+03
  19   -5.132961e+02   -1.943225e+00    2.553554e+04    1.582404e+03    1.232494e+04    2.278808e+03
  20   -5.137186e+02    6.770814e-01    2.728955e+04    1.491581e+03    1.311348e+04    2.347473e+03
  21   -4.931642e+02    1.352792e-01    2.907507e+04    1.355406e+03    1.371680e+04    2.409636e+03
  22   -4.706433e+02    8.548969e-01    3.065509e+04    1.237932e+03    1.438385e+04    2.470304e+03
  23   -4.454478e+02    9.480215e-01    3.185864e+04    1.120369e+03    1.464547e+04    2.538518e+03
  24   -4.182464e+02    2.882379e-01    3.274889e+04    9.855357e+02    1.462731e+04    2.603289e+03
  25   -3.894147e+02    1.678847e-01    3.335923e+04    8.995624e+02    1.459929e+04    2.669755e+03
  26   -3.567415e+02    7.094579e-01    3.370203e+04    7.238772e+02    1.425851e+04    2.736677e+03
  27   -3.185707e+02   -1.370333e+00    3.360301e+04    5.386376e+02    1.343067e+04    2.807084e+03
  28   -2.638388e+02   -2.526775e-01    3.249505e+04    4.047063e+02    1.162803e+04    2.862219e+03
  29   -2.031187e+02   -1.613104e+00    3.074107e+04    2.667523e+02    9.315941e+03    2.917128e+03
  30   -1.447796e+02   -4.762865e+00    2.857722e+04    1.889588e+02    6.856115e+03    2.963857e+03
  31   -1.069185e+02   -1.786040e+00    2.652532e+04    1.000968e+02    5.146805e+03    3.023259e+03
  32   -7.370451e+01   -1.092578e+01    2.453234e+04    4.896217e+01    3.842167e+03    3.091076e+03
  33   -5.180007e+01   -2.508561e+00    2.176264e+04    1.761394e+01    2.912375e+03    3.166395e+03
  34   -3.150508e+01   -3.949455e+00    1.884572e+04    1.495554e+01    2.135104e+03    3.219788e+03
  35   -1.255930e+01    4.649490e-01    1.570619e+04    2.139413e+01    1.514853e+03    3.229482e+03
  36    8.643845e-01    2.065530e+00    1.277804e+04    2.657806e+01    1.106957e+03    3.192936e+03
  37    6.628775e+00    2.008370e+00    1.014145e+04    2.702716e+01    8.614360e+02    3.104780e+03
  38    4.528604e+00    3.422777e+00    7.960917e+03    2.498982e+01    6.505086e+02    2.972021e+03
  39    4.377526e+00    4.920209e-01    6.380545e+03    2.676447e+01    4.904314e+02    2.812473e+03
  40    2.432083e+00    4.887660e+00    4.968106e+03    2.143644e+01    3.468196e+02    2.638407e+03
  41    1.141032e+00    3.893989e-01    3.969041e+03    1.827052e+01    2.312937e+02    2.452697e+03
  42    7.721575e-01    2.884388e-01    3.112076e+03    2.130660e+01    1.412515e+02    2.260435e+03
  43    3.193256e+00    4.842736e-01    2.322944e+03    3.270653e+01    5.897230e+01    2.069304e+03
  44    2.338435e+00    1.848871e-01    1.620512e+03    5.813886e+01   -3.344108e+01    1.875425e+03
  45    1.144652e+00    9.709853e-02    1.046375e+03    7.237611e+01   -8.727649e+01    1.676784e+03
  46    5.207463e-01    4.393254e-02    6.292798e+02    7.071267e+01   -1.076863e+02    1.463098e+03
  47    1.997936e-01    1.474198e-02    3.463001e+02    5.970714e+01   -1.021579e+02    1.192552e+03
  48    5.070790e-02   -2.219339e-04    1.692362e+02    4.027560e+01   -7.331076e+01    8.016674e+02
  49    2.337357e-02    2.556215e-03    6.561153e+01    1.783892e+01   -3.341653e+01    3.557264e+02
  50    1.650470e-02    4.685859e-03    1.463851e+01    2.370348e-02    2.355710e-01    2.567169e-02
