# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    1.454433e+00    1.222748e-04    5.345559e+02    3.433451e-01    3.279559e-01   -2.077275e-03
   2    4.557846e+00   -2.471333e-04    2.165081e+03   -3.960093e-01    3.992001e+00    8.486662e+01
   3    3.435582e+00   -7.857047e-03    4.438916e+03    1.559415e+00    7.068650e+00    8.473612e+01
   4   -8.901658e+00   -3.376150e-02    6.907475e+03    4.381625e+00    1.069018e+01    8.466897e+01
   5   -3.544383e+01   -2.723658e-01    9.610298e+03    5.592924e+00    5.849312e+00    8.489285e+01
   6   -6.896621e+01    9.278831e-02    1.239550e+04    6.836457e+00    1.078188e+01    8.550405e+01
   7   -1.053289e+02   -3.404875e-01    1.510067e+04    1.685324e+01    4.405341e+01    8.658863e+01
   8   -1.500886e+02   -8.031034e-04    1.764704e+04    3.793891e+01    1.022739e+02    9.545186e+01
   9   -2.055498e+02    8.742422e-01    1.996745e+04    8.707464e+01    2.503124e+02    1.406804e+02
  10   -2.807426e+02   -3.453879e-02    2.266214e+04    1.138501e+02    3.093592e+02    3.565279e+02
  11   -3.973819e+02   -2.827624e+00    2.606748e+04    3.352441e+01    1.511179e+02    8.925712e+02
  12   -5.158923e+02    2.218780e+00    2.732077e+04    3.430056e+02    1.088232e+03    1.271192e+03
  13   -5.792735e+02    7.676753e+00    2.637324e+04    6.422738e+02    2.151665e+03    1.428421e+03
  14   -6.117147e+02    9.268580e+00    2.521643e+04    9.777373e+02    3.993202e+03    1.612458e+03
  15   -5.693149e+02    2.309955e-01    2.364157e+04    1.266861e+03    6.172099e+03    1.781465e+03
  16   -5.506383e+02   -8.982904e-02    2.273470e+04    1.416964e+03    7.811746e+03    1.944216e+03
  17   -5.337572e+02   -3.939389e+00    2.298167e+04    1.536510e+03    9.351289e+03    2.080049e+03
  18   -5.330988e+02   -9.429851e-01    2.396016e+04    1.589648e+03    1.080204e+04    2.194069e+03
  19   -5.132957e+02   -1.943195e+00    2.553551e+04    1.582402e+03    1.232492e+04    2.278808e+03
  20   -5.137191e+02    6.771050e-01    2.728957e+04    1.491582e+03    1.311349e+04    2.347473e+03
  21   -4.931638e+02    1.352358e-01    2.907507e+04    1.355406e+03    1.371680e+04    2.409636e+03
  22   -4.706439e+02    8.549505e-01    3.065510e+04    1.237932e+03    1.438385e+04    2.470304e+03
  23   -4.454474e+02    9.479659e-01    3.185865e+04    1.120370e+03    1.464547e+04    2.538518e+03
  24   -4.182466e+02    2.882768e-01    3.274888e+04    9.855348e+02    1.462731e+04    2.603289e+03
  25   -3.894144e+02    1.678586e-01    3.335923e+04    8.995628e+02    1.459929e+04    2.669755e+03
  26   -3.567418e+02    7.094845e-01    3.370203e+04    7.238768e+02    1.425851e+04    2.736677e+03
  27   -3.185702e+02   -1.370368e+00    3.360300e+04    5.386383e+02    1.343067e+04    2.807084e+03
  28   -2.638399e+02   -2.526182e-01    3.249507e+04    4.047048e+02    1.162804e+04    2.862219e+03
  29   -2.031181e+02   -1.613153e+00    3.074109e+04    2.667541e+02    9.315948e+03    2.917128e+03
  30   -1.447793e+02   -4.762862e+00    2.857719e+04    1.889588e+02    6.856108e+03    2.963857e+03
  31   -1.069192e+02   -1.786031e+00    2.652533e+04    1.000957e+02    5.146806e+03    3.023259e+03
  32   -7.370401e+01   -1.092577e+01    2.453234e+04    4.896301e+01    3.842167e+03    3.091076e+03
  33   -5.180047e+01   -2.508580e+00    2.176264e+04    1.761335e+01    2.912375e+03    3.166395e+03
  34   -3.150423e+01   -3.949400e+00    1.884570e+04    1.495675e+01    2.135103e+03    3.219788e+03
  35   -1.256014e+01    4.648833e-01    1.570618e+04    2.139296e+01    1.514853e+03    3.229482e+03
  36    8.645759e-01    2.065549e+00    1.277805e+04    2.657831e+01    1.106958e+03    3.192936e+03
  37    6.627578e+00    2.008305e+00    1.014150e+04    2.702549e+01    8.614395e+02    3.104780e+03
  38    4.528897e+00    3.422774e+00    7.960979e+03    2.498998e+01    6.505126e+02    2.972020e+03
  39    4.379865e+00    4.922385e-01    6.380498e+03    2.676757e+01    4.904260e+02    2.812473e+03
  40    2.429474e+00    4.887465e+00    4.968099e+03    2.143309e+01    3.468198e+02    2.638407e+03
  41    1.142897e+00    3.894881e-01    3.969037e+03    1.827280e+01    2.312920e+02    2.452697e+03
  42    7.720855e-01    2.884318e-01    3.112015e+03    2.130691e+01    1.412459e+02    2.260436e+03
  43    3.191799e+00    4.842125e-01    2.322971e+03    3.270459e+01    5.897517e+01    2.069304e+03
  44    2.339526e+00    1.849301e-01    1.620518e+03    5.814035e+01   -3.344143e+01    1.875425e+03
  45    1.144430e+00    9.708885e-02    1.046346e+03    7.237590e+01   -8.727844e+01    1.676784e+03
  46    5.206061e-01    4.392813e-02    6.292875e+02    7.071238e+01   -1.076858e+02    1.463098e+03
  47    1.999314e-01    1.474562e-02    3.462915e+02    5.970743e+01   -1.021583e+02    1.192552e+03
  48    5.064636e-02   -2.220866e-04    1.692295e+02    4.027549e+01   -7.331084e+01    8.016674e+02
  49    2.335575e-02    2.554049e-03    6.562019e+01    1.783892e+01   -3.341625e+01    3.557264e+02
  50    1.651949e-02    4.686621e-03    1.464356e+01    2.371166e-02    2.356430e-01    2.567720e-02
