# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.248167e+01    7.761387e+01   -1.816708e+00    0.000000e+00    0.000000e+00    0.000000e+00
   2   -2.248167e+01    7.761387e+01   -1.816708e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.473112e+01    7.826456e+01   -1.961573e+00    0.000000e+00    0.000000e+00    0.000000e+00
   3   -2.473112e+01    7.826456e+01   -1.961573e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.854608e+01    7.942422e+01   -2.209851e+00    0.000000e+00    0.000000e+00    0.000000e+00
   4   -2.854608e+01    7.942422e+01   -2.209851e+00    0.000000e+00    0.000000e+00    0.000000e+00   -3.412095e+01    8.125432e+01   -2.572015e+00    0.000000e+00    0.000000e+00    0.000000e+00
   5   -3.412095e+01    8.125432e+01   -2.572015e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.176334e+01    8.394743e+01   -3.055484e+00    0.000000e+00    0.000000e+00    0.000000e+00
   6   -4.176334e+01    8.394743e+01   -3.055484e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.547876e+01    9.370952e+01   -3.638733e+00    0.000000e+00    0.000000e+00    0.000000e+00
   7   -4.547876e+01    9.370952e+01   -3.638733e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.819655e+01    1.258961e+02   -3.980748e+00    0.000000e+00    0.000000e+00    0.000000e+00
   8   -2.819655e+01    1.258961e+02   -3.980748e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.880826e+01    1.926443e+02   -3.622217e+00    0.000000e+00    0.000000e+00    0.000000e+00
   9    1.880826e+01    1.926443e+02   -3.622217e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.513978e+02    3.576673e+02   -1.468952e+00    0.000000e+00    0.000000e+00    0.000000e+00
  10    1.513978e+02    3.576673e+02   -1.468952e+00    0.000000e+00    0.000000e+00    0.000000e+00    3.576847e+02    7.090238e+02    7.312271e-01    0.000000e+00    0.000000e+00    0.000000e+00
  11    3.576847e+02    7.090238e+02    7.312271e-01    0.000000e+00    0.000000e+00    0.000000e+00    4.694111e+02    1.029393e+03    1.213800e+00    0.000000e+00    0.000000e+00    0.000000e+00
  12    4.694111e+02    1.029393e+03    1.213800e+00    0.000000e+00    0.000000e+00    0.000000e+00    5.097122e+02    1.242018e+03    3.597178e+00    0.000000e+00    0.000000e+00    0.000000e+00
  13    5.097122e+02    1.242018e+03    3.597178e+00    0.000000e+00    0.000000e+00    0.000000e+00    5.381462e+02    1.484680e+03    8.995501e+00    0.000000e+00    0.000000e+00    0.000000e+00
  14    5.381462e+02    1.484680e+03    8.995501e+00    0.000000e+00    0.000000e+00    0.000000e+00    5.755924e+02    1.761779e+03    1.226431e+01    0.000000e+00    0.000000e+00    0.000000e+00
