# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    6.638709e+00    7.320652e+01    5.382011e+03    1.094747e+01    3.331910e+01   -3.989405e-01
   2   -1.670061e+01    1.221060e+00    1.126114e+04   -1.384047e+01    1.571475e-01    8.849975e+01
   3   -5.791884e+01   -4.715031e+00    1.198096e+04   -1.469005e+01   -1.388937e+01    8.893351e+01
   4   -8.710840e+01   -1.447287e+01    1.238105e+04   -1.696790e+01   -1.285659e-01    8.954903e+01
   5   -1.106858e+02    3.180074e+00    1.258978e+04   -1.047660e+01    4.545951e+00    9.143066e+01
   6   -1.380481e+02    4.576198e+00    1.268524e+04   -1.348683e+01   -1.137413e+00    9.864994e+01
   7   -1.689555e+02    1.350329e+01    1.272966e+04   -1.111561e+01    6.438683e+00    1.244099e+02
   8   -1.811154e+02    1.584603e+01    1.263569e+04   -9.227405e+00    1.971467e+01    1.745729e+02
   9   -1.088715e+02   -1.291975e+01    1.282951e+04   -1.526312e+01    2.315195e+01    2.973077e+02
  10   -1.072934e+02   -2.381515e+01    1.337534e+04   -3.377548e+01    1.334902e+01    6.144848e+02
  11   -2.456017e+02    6.204962e+00    1.373978e+04   -6.721198e+01   -2.898661e+01    9.159950e+02
  12   -4.696049e+02    7.557315e+01    1.358282e+04   -5.113982e+01    3.119415e+01    1.141718e+03
  13   -6.931801e+02    9.216662e+01    1.960558e+04   -2.552608e+01    7.116825e+00    1.349159e+03
  14   -8.708201e+02    8.620706e+01    2.385082e+04   -7.714949e+01   -4.429942e+01    1.527919e+03
  15   -1.132868e+03    9.651106e+01    2.164573e+04   -7.445713e+01   -4.249051e+01    1.671622e+03
  16   -9.894081e+02    5.171353e+01    1.984197e+04   -6.094660e+01    4.667311e+01    1.821554e+03
  17   -8.625092e+02    2.271081e+01    1.992697e+04   -4.889703e+01    2.497250e+01    1.964549e+03
  18   -8.442737e+02    1.095547e+01    2.141076e+04   -2.998017e+01   -3.794215e+00    2.089772e+03
  19   -1.138929e+03   -8.958406e+00    3.132374e+04   -6.761356e+01   -6.550643e+02    2.174924e+03
  20   -1.209123e+03   -5.382456e+01    4.381441e+04    1.618278e+01    3.277754e+02    2.324261e+03
  21   -8.777850e+02   -6.002741e+01    4.691549e+04   -9.697658e+01    1.942218e+00    2.334388e+03
  22   -6.789441e+02   -5.251500e+01    4.960341e+04   -2.565811e+02    2.903614e+02    2.231214e+03
  23   -4.675569e+02   -5.721473e+01    5.130241e+04   -2.234385e+02    4.024525e+01    2.102104e+03
  24   -2.655815e+02   -5.742417e+01    5.233161e+04   -1.633179e+02    2.786380e+02    2.079216e+03
  25    2.353199e+02   -6.704838e+01    5.248647e+04   -3.849930e+02    2.349576e+02    2.063035e+03
  26    8.015009e+02   -6.698766e+01    4.997201e+04   -2.585099e+02    3.218070e+02    2.126397e+03
  27    8.032220e+02   -5.030893e+01    4.593291e+04   -1.136635e+02    2.078353e+02    2.381957e+03
  28    5.614455e+02   -4.790513e+01    4.212408e+04   -1.588866e+02    2.628741e+02    2.654926e+03
  29    4.617373e+02   -1.922047e+01    3.564759e+04   -1.286978e+02    2.834542e+02    2.880956e+03
  30    3.401936e+02   -5.153372e+00    2.739362e+04   -1.248881e+00    2.620985e+02    2.959301e+03
  31    2.360351e+02    1.253189e+01    1.914139e+04    2.861672e+01    2.837494e+02    2.803140e+03
  32    1.819504e+02    1.212571e+00    1.322715e+04   -1.291304e+01    3.084149e+02    2.436330e+03
  33    2.224219e+02    8.779552e+00    8.151667e+03    1.223725e+01    2.000307e+02    1.933551e+03
  34    5.299020e+01    2.521994e+01    1.141623e+03    8.871317e+01   -1.581192e+01   -8.853075e-01
