# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.975373e+01    8.312758e+01   -2.273986e+00    0.000000e+00    0.000000e+00    0.000000e+00
   2   -2.975373e+01    8.312758e+01   -2.273986e+00    0.000000e+00    0.000000e+00    0.000000e+00   -3.782823e+01    8.585998e+01   -2.831451e+00    0.000000e+00    0.000000e+00    0.000000e+00
   3   -3.782823e+01    8.585998e+01   -2.831451e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.481127e+01    9.085023e+01   -3.528745e+00    0.000000e+00    0.000000e+00    0.000000e+00
   4   -4.481127e+01    9.085023e+01   -3.528745e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.616820e+01    1.019256e+02   -4.045850e+00    0.000000e+00    0.000000e+00    0.000000e+00
   5   -4.616820e+01    1.019256e+02   -4.045850e+00    0.000000e+00    0.000000e+00    0.000000e+00   -3.178673e+01    1.280763e+02   -4.363770e+00    0.000000e+00    0.000000e+00    0.000000e+00
   6   -3.178673e+01    1.280763e+02   -4.363770e+00    0.000000e+00    0.000000e+00    0.000000e+00   -1.948715e-02    1.717117e+02   -4.278444e+00    0.000000e+00    0.000000e+00    0.000000e+00
   7   -1.948715e-02    1.717117e+02   -4.278444e+00    0.000000e+00    0.000000e+00    0.000000e+00    4.800836e+01    2.348547e+02   -3.976831e+00    0.000000e+00    0.000000e+00    0.000000e+00
   8    4.800836e+01    2.348547e+02   -3.976831e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.316542e+02    3.362147e+02   -2.934521e+00    0.000000e+00    0.000000e+00    0.000000e+00
   9    1.316542e+02    3.362147e+02   -2.934521e+00    0.000000e+00    0.000000e+00    0.000000e+00    2.677357e+02    5.244312e+02   -1.740047e+00    0.000000e+00    0.000000e+00    0.000000e+00
  10    2.677357e+02    5.244312e+02   -1.740047e+00    0.000000e+00    0.000000e+00    0.000000e+00    3.761554e+02    7.290445e+02   -2.081668e+00    0.000000e+00    0.000000e+00    0.000000e+00
  11    3.761554e+02    7.290445e+02   -2.081668e+00    0.000000e+00    0.000000e+00    0.000000e+00    4.436256e+02    9.018087e+02   -3.340718e+00    0.000000e+00    0.000000e+00    0.000000e+00
  12    4.436256e+02    9.018087e+02   -3.340718e+00    0.000000e+00    0.000000e+00    0.000000e+00    4.944940e+02    1.062951e+03   -4.680721e+00    0.000000e+00    0.000000e+00    0.000000e+00
  13    4.944940e+02    1.062951e+03   -4.680721e+00    0.000000e+00    0.000000e+00    0.000000e+00    5.336749e+02    1.266368e+03   -6.342222e+00    0.000000e+00    0.000000e+00    0.000000e+00
