# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    1.805138e+00    6.898810e+01    5.335098e+02   -4.883849e-01    3.332677e-01   -3.192031e-02
   2    4.352032e+00    9.348703e-01    2.165034e+03   -3.825118e+00    4.051011e+00    8.920927e+01
   3    3.002289e+00    1.063855e+00    4.438837e+03   -4.980293e+00    6.986686e+00    8.895838e+01
   4   -9.471390e+00    7.166724e+00    6.907161e+03   -5.447396e+00    9.979633e+00    8.877109e+01
   5   -3.749672e+01   -6.018593e+00    9.610432e+03   -7.186930e+00    2.953772e+00    8.897379e+01
   6   -7.795113e+01   -1.251967e+01    1.239574e+04   -8.095868e+00   -2.399319e-01    8.978144e+01
   7   -1.255075e+02   -1.909810e+00    1.510031e+04   -3.521154e+00    9.427151e+00    9.124218e+01
   8   -1.940460e+02    1.023782e+01    1.764589e+04   -2.550999e+00    5.711856e+00    1.002800e+02
   9   -2.784909e+02    2.099262e+01    1.996420e+04    5.232049e+00    3.716995e+01    1.457916e+02
  10   -2.078723e+02   -1.792964e+01    2.266310e+04    2.359030e+01    1.033017e+02    3.276025e+02
  11   -4.977783e+02    2.535723e+01    2.606547e+04   -1.098305e+02   -1.526498e+02    9.015442e+02
  12   -9.596056e+02    1.341552e+02    2.730553e+04   -5.640941e+01    2.518276e+01    1.349276e+03
  13   -9.914499e+02    9.591760e+01    2.637890e+04   -9.021655e+01   -1.232068e+02    1.540866e+03
  14   -1.333109e+03    1.071833e+02    2.522946e+04   -7.863077e+01   -6.180734e+01    1.713708e+03
  15   -1.109609e+03    4.373732e+01    2.363506e+04   -4.629851e+01    8.239295e+01    1.902324e+03
  16   -9.336951e+02    1.790239e+01    2.273524e+04   -4.458247e+01    2.198329e+01    2.063176e+03
  17   -8.565541e+02    4.871330e-01    2.298891e+04   -1.212282e+01    1.686501e+01    2.141286e+03
  18   -8.404148e+02   -1.371717e+01    2.397334e+04    9.175442e-01   -6.509406e-01    2.266741e+03
  19   -7.287012e+02   -3.021177e+01    2.550934e+04    1.667823e+01    1.542924e+02    2.321250e+03
  20   -5.589726e+02   -4.049752e+01    2.729713e+04    1.356733e+01    4.451811e+01    2.360063e+03
  21   -5.301098e+02   -3.470375e+01    2.908312e+04   -6.008192e+00    4.873948e+01    2.388202e+03
  22   -4.703679e+02   -3.178252e+01    3.063912e+04   -3.688235e+01    1.360236e+02    2.373796e+03
  23   -3.497022e+02   -3.490226e+01    3.185269e+04   -4.322016e+01    1.108154e+02    2.338434e+03
  24   -2.909641e+02   -3.709039e+01    3.275324e+04   -4.810518e+01    8.257834e+01    2.306351e+03
  25   -2.272818e+02   -3.682653e+01    3.334994e+04   -6.017423e-01    1.403429e+02    2.314634e+03
  26   -1.049506e+02   -3.732701e+01    3.369135e+04   -3.317709e+01    1.642909e+02    2.349589e+03
  27    1.266653e+02   -4.422090e+01    3.362524e+04   -6.444915e+01    1.835230e+02    2.347477e+03
  28    4.022318e+02   -4.562832e+01    3.248599e+04   -3.100046e+01    1.692653e+02    2.372833e+03
  29    5.734080e+02   -4.034136e+01    3.072797e+04   -7.606288e+00    2.049824e+02    2.471435e+03
  30    5.493975e+02   -3.212296e+01    2.855426e+04    4.292694e+01    1.925436e+02    2.612427e+03
  31    3.885974e+02   -2.047449e+01    2.651270e+04    3.926070e+01    2.324070e+02    2.751798e+03
  32    3.272963e+02   -2.355411e+01    2.451953e+04    4.611238e+01    2.409079e+02    2.874234e+03
  33    2.766407e+02   -1.093665e+01    2.175508e+04    5.336119e+01    2.602246e+02    2.983730e+03
  34    2.519907e+02   -6.617781e+00    1.883896e+04    6.938509e+01    2.795508e+02    3.065261e+03
  35    2.214942e+02   -8.256669e-01    1.569986e+04    8.175811e+01    2.976067e+02    3.095239e+03
  36    1.415264e+02    8.764361e-02    1.277247e+04    8.994846e+01    3.158894e+02    3.067745e+03
  37    1.263162e+02    3.107071e+00    1.013747e+04    8.886383e+01    3.296708e+02    2.978035e+03
  38    9.867606e+01    3.529316e+00    7.957270e+03    8.154464e+01    3.319859e+02    2.843197e+03
  39    8.705568e+01    2.859821e+00    6.377392e+03    7.631766e+01    3.311021e+02    2.682049e+03
  40    7.145093e+01    1.968826e+00    4.963438e+03    6.787228e+01    3.236228e+02    2.507758e+03
  41    5.735472e+01    2.154218e+00    3.966969e+03    6.205722e+01    3.033671e+02    2.323778e+03
  42    4.906374e+01    2.053486e+00    3.110842e+03    5.787734e+01    2.834502e+02    2.134384e+03
  43    6.427371e+01    2.453017e+00    2.322973e+03    6.244478e+01    2.665691e+02    1.948182e+03
  44    6.288114e+01    2.205293e+00    1.620301e+03    7.959174e+01    2.370557e+02    1.761530e+03
  45    4.114612e+01    1.538630e+00    1.045375e+03    8.705809e+01    2.133658e+02    1.568593e+03
  46    2.507254e+01    1.003336e+00    6.284027e+02    8.090162e+01    1.847644e+02    1.357146e+03
  47    1.396921e+01    6.309086e-01    3.457461e+02    6.623330e+01    1.480909e+02    1.090748e+03
  48    6.902555e+00    3.711146e-01    1.689571e+02    4.346854e+01    9.715113e+01    7.178710e+02
  49    2.679537e+00    1.572955e-02    6.549012e+01    1.855383e+01    4.151593e+01    3.075414e+02
  50    5.244209e+00   -2.217056e-02    1.447412e+01    2.134459e-02   -1.168892e-03   -1.555605e-02
