# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.300005e+01    8.142442e+01   -1.892387e+00    0.000000e+00    0.000000e+00    0.000000e+00
   2   -2.300005e+01    8.142442e+01   -1.892387e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.529148e+01    8.208789e+01   -2.047942e+00    0.000000e+00    0.000000e+00    0.000000e+00
   3   -2.529148e+01    8.208789e+01   -2.047942e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.917200e+01    8.326850e+01   -2.314381e+00    0.000000e+00    0.000000e+00    0.000000e+00
   4   -2.917200e+01    8.326850e+01   -2.314381e+00    0.000000e+00    0.000000e+00    0.000000e+00   -3.483353e+01    8.513038e+01   -2.702458e+00    0.000000e+00    0.000000e+00    0.000000e+00
   5   -3.483353e+01    8.513038e+01   -2.702458e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.257966e+01    8.786994e+01   -3.220086e+00    0.000000e+00    0.000000e+00    0.000000e+00
   6   -4.257966e+01    8.786994e+01   -3.220086e+00    0.000000e+00    0.000000e+00    0.000000e+00   -4.625200e+01    9.790077e+01   -3.856305e+00    0.000000e+00    0.000000e+00    0.000000e+00
   7   -4.625200e+01    9.790077e+01   -3.856305e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.863154e+01    1.306478e+02   -4.313561e+00    0.000000e+00    0.000000e+00    0.000000e+00
   8   -2.863154e+01    1.306478e+02   -4.313561e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.941036e+01    1.980126e+02   -4.183092e+00    0.000000e+00    0.000000e+00    0.000000e+00
   9    1.941036e+01    1.980126e+02   -4.183092e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.438189e+02    3.515661e+02   -2.834284e+00    0.000000e+00    0.000000e+00    0.000000e+00
  10    1.438189e+02    3.515661e+02   -2.834284e+00    0.000000e+00    0.000000e+00    0.000000e+00    3.701483e+02    7.138572e+02   -2.131621e+00    0.000000e+00    0.000000e+00    0.000000e+00
  11    3.701483e+02    7.138572e+02   -2.131621e+00    0.000000e+00    0.000000e+00    0.000000e+00    4.939500e+02    1.055473e+03   -4.804488e+00    0.000000e+00    0.000000e+00    0.000000e+00
