# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    1.454446e+00    1.222740e-04    5.345523e+02    3.433428e-01    3.279546e-01   -2.077282e-03
   2    4.558372e+00   -2.471218e-04    2.165068e+03    2.027918e+00    2.707378e+00   -1.264649e-02
   3    3.439601e+00   -7.856992e-03    4.438891e+03    4.065716e+00    5.736881e+00   -1.364044e-02
   4   -8.884653e+00   -3.376142e-02    6.907444e+03    7.018109e+00    9.284275e+00    1.768227e-02
   5   -3.539194e+01   -2.723168e-01    9.610266e+03    8.397350e+00    4.349017e+00    1.081987e-01
   6   -6.883993e+01    9.302867e-02    1.239547e+04    9.828428e+00    9.178907e+00    1.605697e-01
   7   -1.050630e+02   -3.403609e-01    1.510065e+04    2.009230e+01    4.231080e+01    3.793058e-01
   8   -1.495750e+02   -2.913702e-04    1.764702e+04    4.178621e+01    1.002139e+02    9.508101e-01
   9   -2.046286e+02    8.745075e-01    1.996742e+04    9.299007e+01    2.472526e+02    2.143503e+00
  10   -2.791215e+02   -3.779636e-02    2.266209e+04    1.293033e+02    3.016127e+02    5.561035e+00
  11   -3.945538e+02   -2.824967e+00    2.606738e+04    7.338171e+01    1.323379e+02   -4.555528e-01
  12   -5.116169e+02    2.230036e+00    2.732062e+04    3.985683e+02    1.064964e+03    1.242048e+01
  13   -5.733852e+02    7.661485e+00    2.637307e+04    7.017432e+02    2.132178e+03    1.468989e+01
  14   -6.037702e+02    9.241355e+00    2.521623e+04    1.038657e+03    3.982036e+03    2.381884e+01
  15   -5.593083e+02    2.267516e-01    2.364134e+04    1.320303e+03    6.168415e+03    3.300435e+01
  16   -5.379246e+02   -8.284293e-02    2.273443e+04    1.452353e+03    7.815809e+03    3.455377e+01
  17   -5.175871e+02   -3.885861e+00    2.298135e+04    1.552244e+03    9.360942e+03    3.365865e+01
  18   -5.122946e+02   -9.162403e-01    2.395971e+04    1.589789e+03    1.081564e+04    3.348694e+01
  19   -4.872390e+02   -1.888860e+00    2.553487e+04    1.575714e+03    1.234093e+04    3.112267e+01
  20   -4.810387e+02    6.827385e-01    2.728864e+04    1.479892e+03    1.313080e+04    2.586329e+01
  21   -4.538241e+02    1.589298e-01    2.907380e+04    1.341877e+03    1.373664e+04    2.047409e+01
  22   -4.247582e+02    8.579012e-01    3.065354e+04    1.226183e+03    1.441215e+04    1.481074e+01
  23   -3.943097e+02    9.501694e-01    3.185703e+04    1.108535e+03    1.469034e+04    9.026696e+00
  24   -3.634590e+02    2.890777e-01    3.274750e+04    9.716193e+02    1.469065e+04    3.369476e+00
  25   -3.322276e+02    1.649032e-01    3.335836e+04    8.826131e+02    1.467633e+04   -3.032034e-01
  26   -2.975041e+02    7.080856e-01    3.370172e+04    7.032140e+02    1.434501e+04   -4.943114e+00
  27   -2.595084e+02   -1.375227e+00    3.360352e+04    5.149680e+02    1.353720e+04   -3.872881e+00
  28   -2.097102e+02   -2.598121e-01    3.249685e+04    3.783305e+02    1.175974e+04   -1.425374e+01
  29   -1.571669e+02   -1.631851e+00    3.074436e+04    2.375815e+02    9.468575e+03   -2.024916e+01
  30   -1.078656e+02   -4.757898e+00    2.858191e+04    1.569462e+02    7.024095e+03   -3.053506e+01
  31   -7.711090e+01   -1.788099e+00    2.653124e+04    6.583647e+01    5.326527e+03   -3.031000e+01
  32   -4.990394e+01   -1.092949e+01    2.453922e+04    1.316698e+01    4.037739e+03   -3.430005e+01
  33   -3.387427e+01   -2.514798e+00    2.177003e+04   -1.901513e+01    3.125942e+03   -3.406297e+01
  34   -1.939569e+01   -3.961114e+00    1.885326e+04   -2.190772e+01    2.365252e+03   -3.383675e+01
  35   -5.802861e+00    4.583076e-01    1.571351e+04   -1.560785e+01    1.756279e+03   -3.128292e+01
  36    3.620423e+00    2.064222e+00    1.278484e+04   -1.070698e+01    1.352871e+03   -2.620651e+01
  37    6.747900e+00    2.009513e+00    1.014753e+04   -1.035450e+01    1.107056e+03   -2.035822e+01
  38    2.901641e+00    3.427136e+00    7.966207e+03   -1.196891e+01    8.932125e+02   -1.517830e+01
  39    1.621326e+00    4.951931e-01    6.385068e+03   -8.711924e+00    7.275957e+02   -1.092021e+01
  40   -8.186175e-01    4.894880e+00    4.971944e+03   -1.078174e+01    5.769821e+02   -7.633864e+00
  41   -2.086291e+00    3.911406e-01    3.972324e+03   -1.102861e+01    4.522019e+02   -5.413041e+00
  42   -2.203565e+00    2.900561e-01    3.114748e+03   -7.887128e+00    3.493745e+02   -3.683252e+00
  43    5.303785e-01    4.854423e-01    2.325118e+03   -4.000840e+00    2.521111e+02   -1.464196e+00
  44    2.084043e-02    1.885648e-01    1.622086e+03    8.972823e-01    1.438774e+02   -9.959309e-01
  45   -7.924904e-01    9.983063e-02    1.047401e+03    1.440811e+00    7.317194e+01   -3.754135e-01
  46   -9.207687e-01    4.547074e-02    6.299430e+02    1.294757e+00    3.364843e+01   -1.197973e-01
  47   -7.267941e-01    1.544603e-02    3.466615e+02    8.908993e-01    1.384851e+01   -3.179725e-02
  48   -4.534652e-01    2.173208e-05    1.694137e+02    5.065058e-01    5.052655e+00   -3.138462e-03
  49   -1.858144e-01    2.615540e-03    6.569241e+01    2.164133e-01    1.456218e+00    4.487818e-02
  50   -3.120966e-02    4.697219e-03    1.465974e+01    2.373823e-02    2.367653e-01    2.578975e-02
