# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    1.743555e+02   -1.407031e+02    7.159569e+03   -2.268199e+01    7.923453e+01   -1.852046e+00    1.718786e+02   -1.393840e+02    7.246335e+03
   2   -2.268199e+01    7.923453e+01   -1.852046e+00    1.718786e+02   -1.393840e+02    7.246335e+03   -2.494072e+01    7.987892e+01   -2.001839e+00    1.717956e+02   -1.393318e+02    7.246180e+03
   3   -2.494072e+01    7.987892e+01   -2.001839e+00    1.717956e+02   -1.393318e+02    7.246180e+03   -2.877473e+01    8.103244e+01   -2.258713e+00    1.716646e+02   -1.392482e+02    7.246043e+03
   4   -2.877473e+01    8.103244e+01   -2.258713e+00    1.716646e+02   -1.392482e+02    7.246043e+03   -3.437509e+01    8.285551e+01   -2.633181e+00    1.714961e+02   -1.391386e+02    7.246125e+03
   5   -3.437509e+01    8.285551e+01   -2.633181e+00    1.714961e+02   -1.391386e+02    7.246125e+03   -4.204575e+01    8.554109e+01   -3.132913e+00    1.713092e+02   -1.390127e+02    7.246607e+03
   6   -4.204575e+01    8.554109e+01   -3.132913e+00    1.713092e+02   -1.390127e+02    7.246607e+03   -4.572632e+01    9.537250e+01   -3.742472e+00    1.710654e+02   -1.388369e+02    7.247327e+03
   7   -4.572632e+01    9.537250e+01   -3.742472e+00    1.710654e+02   -1.388369e+02    7.247327e+03   -2.830572e+01    1.276966e+02   -4.148060e+00    1.704801e+02   -1.384613e+02    7.255026e+03
   8   -2.830572e+01    1.276966e+02   -4.148060e+00    1.704801e+02   -1.384613e+02    7.255026e+03    1.908140e+01    1.945694e+02   -3.928403e+00    1.684596e+02   -1.373258e+02    7.298206e+03
   9    1.908140e+01    1.945694e+02   -3.928403e+00    1.684596e+02   -1.373258e+02    7.298206e+03    1.496186e+02    3.559986e+02   -2.227362e+00    1.594859e+02   -1.323260e+02    7.499638e+03
  10    1.496186e+02    3.559986e+02   -2.227362e+00    1.594859e+02   -1.323260e+02    7.499638e+03    3.613628e+02    7.095926e+02   -1.104442e+00    1.349537e+02   -1.192491e+02    8.051644e+03
  11    3.613628e+02    7.095926e+02   -1.104442e+00    1.349537e+02   -1.192491e+02    8.051644e+03    4.758442e+02    1.034606e+03   -2.521665e+00    1.192663e+02   -1.122792e+02    8.426063e+03
  12    4.758442e+02    1.034606e+03   -2.521665e+00    1.192663e+02   -1.122792e+02    8.426063e+03    5.156917e+02    1.246377e+03   -2.917481e+00    1.159730e+02   -1.132242e+02    8.579196e+03
