# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    1.805656e+00    6.898755e+01    5.335062e+02   -4.883807e-01    3.332707e-01   -3.192345e-02
   2    4.354083e+00    9.348606e-01    2.165020e+03   -1.274293e+00    2.695368e+00   -1.257920e-01
   3    3.006110e+00    1.063841e+00    4.438807e+03   -2.344100e+00    5.574413e+00   -2.200639e-01
   4   -9.466896e+00    7.166656e+00    6.907114e+03   -2.676661e+00    8.476609e+00   -2.661238e-01
   5   -3.749374e+01   -6.018580e+00    9.610365e+03   -4.243346e+00    1.331287e+00   -1.440203e-01
   6   -7.795447e+01   -1.252024e+01    1.239565e+04   -4.960283e+00   -2.001453e+00    1.598105e-01
   7   -1.255236e+02   -1.910889e+00    1.510020e+04   -1.382950e-01    7.473419e+00    9.575860e-01
   8   -1.940843e+02    1.023608e+01    1.764576e+04    1.399545e+00    3.367085e+00    2.883989e+00
   9   -2.785633e+02    2.099032e+01    1.996405e+04    1.115178e+01    3.364988e+01    6.387856e+00
  10   -2.079935e+02   -1.793172e+01    2.266292e+04    3.736580e+01    9.512338e+01    1.175906e+01
  11   -4.979651e+02    2.535514e+01    2.606527e+04   -7.056877e+01   -1.756696e+02    8.719136e+00
  12   -9.598501e+02    1.341520e+02    2.730527e+04   -3.755366e-01   -6.941997e+00    5.170782e+01
  13   -9.917490e+02    9.591596e+01    2.637867e+04   -3.060893e+01   -1.560938e+02    7.452356e+01
  14   -1.333462e+03    1.071811e+02    2.522924e+04   -1.881556e+01   -9.303453e+01    6.584343e+01
  15   -1.110029e+03    4.373597e+01    2.363480e+04    3.879485e+00    5.145601e+01    8.933811e+01
  16   -9.342080e+02    1.790281e+01    2.273502e+04   -1.563132e+01   -9.752604e+00    8.482990e+01
  17   -8.572150e+02    4.895780e-01    2.298867e+04   -4.098515e+00   -1.832820e+01    2.405816e+01
  18   -8.412741e+02   -1.371555e+01    2.397304e+04   -6.681654e+00   -4.445609e+01    3.408957e+01
  19   -7.298239e+02   -3.020956e+01    2.550901e+04   -1.780350e+00    9.972000e+01    1.050319e+00
  20   -5.604085e+02   -4.049527e+01    2.729681e+04   -1.252754e+01   -2.320663e+01   -3.314566e+01
  21   -5.318946e+02   -3.470271e+01    2.908275e+04   -3.549913e+01   -3.201883e+01   -7.145755e+01
  22   -4.725350e+02   -3.178095e+01    3.063874e+04   -6.606526e+01    4.823720e+01   -1.517815e+02
  23   -3.522577e+02   -3.490053e+01    3.185228e+04   -7.384547e+01    1.927221e+01   -2.607214e+02
  24   -2.939074e+02   -3.708828e+01    3.275279e+04   -8.253971e+01   -1.283762e+01   -3.624155e+02
  25   -2.306234e+02   -3.682406e+01    3.334949e+04   -3.977015e+01    3.453267e+01   -4.225109e+02
  26   -1.086740e+02   -3.732430e+01    3.369089e+04   -7.766583e+01    4.104852e+01   -4.557658e+02
  27    1.225982e+02   -4.421765e+01    3.362476e+04   -1.135213e+02    5.293916e+01   -5.247563e+02
  28    3.979667e+02   -4.562508e+01    3.248557e+04   -8.428705e+01    3.256590e+01   -5.635995e+02
  29    5.690519e+02   -4.033853e+01    3.072759e+04   -6.507838e+01    5.634604e+01   -5.234300e+02
  30    5.450715e+02   -3.212116e+01    2.855386e+04   -1.859636e+01    2.454724e+01   -4.348211e+02
  31    3.843009e+02   -2.047285e+01    2.651238e+04   -2.564822e+01    3.849947e+01   -3.468448e+02
  32    3.231187e+02   -2.355238e+01    2.451926e+04   -2.159849e+01    2.311117e+01   -2.874599e+02
  33    2.727158e+02   -1.093542e+01    2.175485e+04   -1.640072e+01    1.889705e+01   -2.421793e+02
  34    2.484576e+02   -6.617112e+00    1.883876e+04   -1.446455e+00    1.482085e+01   -2.006428e+02
  35    2.184686e+02   -8.254566e-01    1.569973e+04    1.066870e+01    1.000591e+01   -1.621669e+02
  36    1.390357e+02    8.765398e-02    1.277239e+04    1.920281e+01    6.904921e+00   -1.303034e+02
  37    1.243436e+02    3.106887e+00    1.013747e+04    1.940882e+01    5.895261e+00   -1.079837e+02
  38    9.716288e+01    3.528998e+00    7.957311e+03    1.447973e+01    3.001457e+00   -8.879453e+01
  39    8.589932e+01    2.859687e+00    6.377345e+03    1.297416e+01    4.629680e+00   -7.245266e+01
  40    7.060875e+01    1.968263e+00    4.963446e+03    1.008833e+01    6.551750e+00   -5.873929e+01
  41    5.674363e+01    2.154015e+00    3.966989e+03    9.504536e+00    1.390346e+00   -4.648447e+01
  42    4.863605e+01    2.053184e+00    3.110811e+03    7.359638e+00   -9.109539e-02   -3.629632e+01
  43    6.399503e+01    2.452631e+00    2.323028e+03    6.330801e+00    3.586084e+00   -2.574734e+01
  44    6.271813e+01    2.205298e+00    1.620332e+03    6.866463e+00   -2.718369e+00   -1.603148e+01
  45    4.105653e+01    1.538540e+00    1.045364e+03    4.401123e+00   -5.785087e-01   -8.064372e+00
  46    2.502875e+01    1.003313e+00    6.284229e+02    2.586311e+00   -7.175849e-02   -3.659545e+00
  47    1.394882e+01    6.308978e-01    3.457453e+02    1.333560e+00   -5.377334e-03   -1.474772e+00
  48    6.893946e+00    3.710819e-01    1.689544e+02    5.797839e-01   -1.137529e-02   -5.194518e-01
  49    2.677101e+00    1.580894e-02    6.550034e+01    2.067631e-01   -1.236411e-02   -1.255735e-01
  50    5.244051e+00   -2.219673e-02    1.447961e+01    2.135238e-02   -1.166300e-03   -1.555351e-02
