# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    9.565777e+01   -5.148716e+03   -7.404533e+04   -2.299873e+01    8.141540e+01   -1.892268e+00    9.310723e+01   -5.147360e+03   -7.395601e+04
   2   -2.299873e+01    8.141540e+01   -1.892268e+00    9.310723e+01   -5.147360e+03   -7.395601e+04   -2.528999e+01    8.207896e+01   -2.047930e+00    9.302183e+01   -5.147303e+03   -7.395617e+04
   3   -2.528999e+01    8.207896e+01   -2.047930e+00    9.302183e+01   -5.147303e+03   -7.395617e+04   -2.917025e+01    8.325971e+01   -2.314570e+00    9.288722e+01   -5.147212e+03   -7.395631e+04
   4   -2.917025e+01    8.325971e+01   -2.314570e+00    9.288722e+01   -5.147212e+03   -7.395631e+04   -3.483144e+01    8.512177e+01   -2.702956e+00    9.271428e+01   -5.147091e+03   -7.395623e+04
   5   -3.483144e+01    8.512177e+01   -2.702956e+00    9.271428e+01   -5.147091e+03   -7.395623e+04   -4.257714e+01    8.786152e+01   -3.221015e+00    9.252224e+01   -5.146950e+03   -7.395573e+04
   6   -4.257714e+01    8.786152e+01   -3.221015e+00    9.252224e+01   -5.146950e+03   -7.395573e+04   -4.624944e+01    9.789205e+01   -3.857887e+00    9.227497e+01   -5.146757e+03   -7.395506e+04
   7   -4.624944e+01    9.789205e+01   -3.857887e+00    9.227497e+01   -5.146757e+03   -7.395506e+04   -2.862999e+01    1.306381e+02   -4.316364e+00    9.170735e+01   -5.146364e+03   -7.394795e+04
   8   -2.862999e+01    1.306381e+02   -4.316364e+00    9.170735e+01   -5.146364e+03   -7.394795e+04    1.940873e+01    1.980020e+02   -4.188463e+00    8.973772e+01   -5.145187e+03   -7.390594e+04
   9    1.940873e+01    1.980020e+02   -4.188463e+00    8.973772e+01   -5.145187e+03   -7.390594e+04    1.438314e+02    3.515774e+02   -2.845961e+00    8.187610e+01   -5.140521e+03   -7.372944e+04
  10    1.438314e+02    3.515774e+02   -2.845961e+00    8.187610e+01   -5.140521e+03   -7.372944e+04    3.701183e+02    7.138422e+02   -2.166451e+00    5.638055e+01   -5.125642e+03   -7.315255e+04
