# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    1.454465e+00   -1.046731e-04    5.345514e+02    7.335188e-02    2.936677e-01   -1.198000e-03
   2    4.558322e+00   -1.683812e-03    2.165065e+03    1.049348e+00    2.566904e+00   -9.448059e-03
   3    3.437671e+00   -8.626801e-03    4.438888e+03    2.663587e+00    5.440031e+00   -1.057614e-02
   4   -8.891069e+00   -1.268701e-02    6.907436e+03    6.852895e+00    8.681649e+00    4.909258e-02
   5   -3.526285e+01   -1.039995e-01    9.609858e+03    2.281580e+01    4.216522e+00    4.330699e-01
   6   -6.704022e+01    5.084972e-01    1.239345e+04    2.930805e+01   -1.507912e+02    2.627629e-01
   7   -1.018557e+02   -9.450154e-01    1.509603e+04   -1.058034e+01   -5.357012e+02    4.120829e-01
   8   -1.425058e+02   -1.111493e+00    1.764132e+04   -1.026610e+02   -1.119143e+03   -1.383912e-01
   9   -1.951997e+02   -1.897797e+00    1.996282e+04   -2.227496e+02   -1.890671e+03   -1.776838e+00
  10   -2.716591e+02   -1.614394e+00    2.266024e+04   -2.788603e+02   -2.703042e+03   -1.713434e+00
  11   -3.826010e+02   -5.102261e+00    2.606664e+04   -2.550324e+02   -3.438671e+03   -5.823528e+00
  12   -5.021972e+02   -7.021041e-01    2.731953e+04   -1.439403e+02   -3.505461e+03    3.878665e-01
  13   -5.609346e+02    4.633055e+00    2.637231e+04   -5.366359e+01   -3.208232e+03   -4.621536e+00
  14   -5.821169e+02    4.606464e+00    2.521491e+04    5.204395e+01   -3.080426e+03   -2.081529e+00
  15   -5.808810e+02    5.057712e+00    2.365993e+04    1.606352e+02   -3.089002e+03    3.108999e+00
  16   -5.575948e+02    5.949002e+00    2.277254e+04    2.529705e+02   -3.026455e+03    6.369335e+00
  17   -5.400738e+02    9.798039e-01    2.301844e+04    3.708616e+02   -2.976991e+03    9.773927e+00
  18   -5.220853e+02    2.105747e-01    2.398529e+04    4.373140e+02   -3.023484e+03    9.345786e+00
  19   -4.979797e+02   -1.293737e+00    2.554815e+04    4.798772e+02   -3.138106e+03    9.828408e+00
  20   -4.841966e+02    2.348647e-01    2.729391e+04    4.946960e+02   -3.339583e+03    9.250250e+00
  21   -4.565526e+02   -4.808572e-01    2.907289e+04    4.652787e+02   -3.641392e+03    7.771660e+00
  22   -4.286212e+02    4.629217e-01    3.065397e+04    3.679074e+02   -4.153697e+03    5.846139e+00
  23   -4.005722e+02    8.792035e-01    3.186133e+04    3.296011e+02   -4.489238e+03    5.519832e+00
  24   -3.690698e+02    1.125372e+00    3.275409e+04    3.149372e+02   -4.661670e+03    6.205240e+00
  25   -3.359805e+02    1.131221e+00    3.336650e+04    4.388820e+02   -4.914909e+03    9.126044e+00
  26   -3.033736e+02    1.832095e+00    3.370899e+04    4.924363e+02   -5.010135e+03    9.838653e+00
  27   -2.544499e+02    1.461243e+00    3.360784e+04    5.300112e+02   -5.207339e+03    9.259397e+00
  28   -1.776093e+02    1.625580e+00    3.250116e+04    6.121056e+02   -6.412634e+03    1.290678e+01
  29   -9.122694e+01    9.802553e-01    3.074853e+04    6.548698e+02   -7.845017e+03    1.979769e+01
  30   -1.011811e+01   -1.603271e+00    2.858569e+04    7.237309e+02   -8.848228e+03    4.048785e+01
  31    1.452918e+01    2.478753e+00    2.653265e+04    7.628827e+02   -8.958542e+03    5.219405e+01
  32    1.459870e+01   -7.084194e+00    2.453928e+04    8.174749e+02   -8.247337e+03    7.191231e+01
  33   -3.521930e+00    1.475500e+00    2.176920e+04    8.389714e+02   -7.065510e+03    7.579499e+01
  34   -2.293610e+01   -4.788367e-01    1.885293e+04    8.054237e+02   -5.714518e+03    7.987162e+01
  35   -3.149674e+01    1.662955e+00    1.571378e+04    7.034120e+02   -4.403898e+03    7.726650e+01
  36   -8.486259e+01   -2.406673e+00    1.278559e+04    5.715263e+02   -3.229574e+03    6.555233e+01
  37   -7.849639e+01   -3.448445e+00    1.014799e+04    4.376181e+02   -2.274763e+03    4.348762e+01
  38   -5.163492e+01   -6.717197e-01    7.966095e+03    3.228241e+02   -1.567524e+03    2.821699e+01
  39   -3.805154e+01   -2.883322e+00    6.384576e+03    2.460109e+02   -1.095045e+03    1.757723e+01
  40   -2.577327e+01    2.582736e+00    4.971256e+03    1.747701e+02   -7.240109e+02    1.124163e+01
  41   -1.716285e+01   -1.697569e+00    3.971329e+03    1.278684e+02   -4.570280e+02    5.953042e+00
  42   -1.131088e+01   -1.180652e+00    3.114878e+03    9.425307e+01   -2.651272e+02    3.148663e+00
  43   -5.776848e+00   -2.754574e-01    2.327125e+03    6.587628e+01   -1.445953e+02    6.598453e-01
  44   -2.817645e+00   -8.366705e-01    1.624150e+03    4.123989e+01   -8.725809e+01    5.882498e-01
  45   -1.435986e+00   -4.294597e-01    1.048119e+03    2.242107e+01   -5.196400e+01    3.039202e-01
  46   -6.443982e-01   -1.998543e-01    6.300421e+02    1.133071e+01   -2.934635e+01    1.411137e-01
  47   -2.857615e-01   -8.308226e-02    3.466445e+02    5.289841e+00   -1.541183e+01    5.783656e-02
  48   -1.704354e-01   -2.772022e-02    1.693977e+02    2.254426e+00   -7.296196e+00    2.521588e-02
  49   -2.076123e-01    3.381249e-03    6.569491e+01    7.644952e-01   -2.615877e+00    7.599404e-02
  50   -7.658091e-02    4.990105e-03    1.466208e+01    1.188681e-01   -5.048682e-01    4.617405e-02
