# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00   -9.170889e-18   -1.507814e-17   -3.687843e-16   -1.764951e+01    4.625922e+01   -1.207212e+00   -1.382709e+00    7.363430e-01    4.843124e+01
   2   -1.764951e+01    4.625922e+01   -1.207212e+00   -1.382709e+00    7.363430e-01    4.843124e+01   -1.949739e+01    4.686580e+01   -1.318673e+00   -1.431175e+00    7.667955e-01    4.841282e+01
   3   -1.949739e+01    4.686580e+01   -1.318673e+00   -1.431175e+00    7.667955e-01    4.841282e+01   -2.268730e+01    4.795272e+01   -1.513652e+00   -1.508589e+00    8.160578e-01    4.846424e+01
   4   -2.268730e+01    4.795272e+01   -1.513652e+00   -1.508589e+00    8.160578e-01    4.846424e+01   -2.744777e+01    4.965246e+01   -1.805930e+00   -1.609899e+00    8.816940e-01    4.870976e+01
   5   -2.744777e+01    4.965246e+01   -1.805930e+00   -1.609899e+00    8.816940e-01    4.870976e+01   -3.413715e+01    5.211998e+01   -2.210027e+00   -1.724971e+00    9.587004e-01    4.925415e+01
   6   -3.413715e+01    5.211998e+01   -2.210027e+00   -1.724971e+00    9.587004e-01    4.925415e+01   -3.799773e+01    6.015282e+01   -2.708809e+00   -1.939699e+00    1.102611e+00    5.169405e+01
   7   -3.799773e+01    6.015282e+01   -2.708809e+00   -1.939699e+00    1.102611e+00    5.169405e+01   -2.242093e+01    8.970069e+01   -3.026247e+00   -2.920248e+00    1.694088e+00    7.184991e+01
   8   -2.242093e+01    8.970069e+01   -3.026247e+00   -2.920248e+00    1.694088e+00    7.184991e+01    3.934841e+01    1.794890e+02   -2.719376e+00   -8.718262e+00    5.012466e+00    2.046913e+02
   9    3.934841e+01    1.794890e+02   -2.719376e+00   -8.718262e+00    5.012466e+00    2.046913e+02    1.133946e+02    3.325264e+02   -3.275841e+00   -1.764475e+01    9.984228e+00    4.027056e+02
  10    1.133946e+02    3.325264e+02   -3.275841e+00   -1.764475e+01    9.984228e+00    4.027056e+02    1.766241e+02    5.387087e+02   -5.246117e+00   -2.726122e+01    1.493339e+01    6.156480e+02
  11    1.766241e+02    5.387087e+02   -5.246117e+00   -2.726122e+01    1.493339e+01    6.156480e+02    1.974610e+02    6.718499e+02   -6.637040e+00   -2.900785e+01    1.509392e+01    6.648938e+02
  12    1.974610e+02    6.718499e+02   -6.637040e+00   -2.900785e+01    1.509392e+01    6.648938e+02    2.155658e+02    8.029514e+02   -6.850506e+00   -2.980944e+01    1.416328e+01    7.220677e+02
  13    2.155658e+02    8.029514e+02   -6.850506e+00   -2.980944e+01    1.416328e+01    7.220677e+02    2.236148e+02    9.420121e+02   -5.957954e+00   -2.954029e+01    1.203828e+01    7.946618e+02
  14    2.236148e+02    9.420121e+02   -5.957954e+00   -2.954029e+01    1.203828e+01    7.946618e+02    2.420288e+02    1.093344e+03   -6.491318e+00   -2.447002e+01    1.044640e+01    8.471410e+02
  15    2.420288e+02    1.093344e+03   -6.491318e+00   -2.447002e+01    1.044640e+01    8.471410e+02    2.530379e+02    1.249943e+03   -8.656483e+00   -1.465152e+01    9.195870e+00    8.995477e+02
  16    2.530379e+02    1.249943e+03   -8.656483e+00   -1.465152e+01    9.195870e+00    8.995477e+02    2.554029e+02    1.408255e+03   -1.268021e+01   -4.836547e+00    9.397779e+00    9.462934e+02
  17    2.554029e+02    1.408255e+03   -1.268021e+01   -4.836547e+00    9.397779e+00    9.462934e+02    2.515508e+02    1.566938e+03   -1.842602e+01    1.851523e+00    1.133255e+01    9.889903e+02
  18    2.515508e+02    1.566938e+03   -1.842602e+01    1.851523e+00    1.133255e+01    9.889903e+02    2.476621e+02    1.727902e+03   -2.508953e+01    5.668433e+00    1.410965e+01    1.027678e+03
  19    2.476621e+02    1.727902e+03   -2.508953e+01    5.668433e+00    1.410965e+01    1.027678e+03    2.436341e+02    1.895937e+03   -3.367447e+01    8.659509e+00    1.777397e+01    1.063360e+03
  20    2.436341e+02    1.895937e+03   -3.367447e+01    8.659509e+00    1.777397e+01    1.063360e+03    2.401109e+02    2.066796e+03   -4.164693e+01    9.817012e+00    2.096741e+01    1.097140e+03
  21    2.401109e+02    2.066796e+03   -4.164693e+01    9.817012e+00    2.096741e+01    1.097140e+03    2.369178e+02    2.239702e+03   -4.401732e+01    9.312154e+00    2.121975e+01    1.129831e+03
  22    2.369178e+02    2.239702e+03   -4.401732e+01    9.312154e+00    2.121975e+01    1.129831e+03    2.337917e+02    2.417942e+03   -4.282065e+01    9.611956e+00    1.972134e+01    1.166079e+03
  23    2.337917e+02    2.417942e+03   -4.282065e+01    9.611956e+00    1.972134e+01    1.166079e+03    2.311017e+02    2.597861e+03   -4.123700e+01    1.093228e+01    1.814419e+01    1.204320e+03
  24    2.311017e+02    2.597861e+03   -4.123700e+01    1.093228e+01    1.814419e+01    1.204320e+03    2.287662e+02    2.778732e+03   -4.580106e+01    1.271948e+01    1.946017e+01    1.244172e+03
  25    2.287662e+02    2.778732e+03   -4.580106e+01    1.271948e+01    1.946017e+01    1.244172e+03    2.266475e+02    2.959301e+03   -5.472243e+01    1.480379e+01    2.260133e+01    1.283557e+03
  26    2.266475e+02    2.959301e+03   -5.472243e+01    1.480379e+01    2.260133e+01    1.283557e+03    2.253245e+02    3.135745e+03   -5.240844e+01    1.649895e+01    2.089508e+01    1.321147e+03
  27    2.253245e+02    3.135745e+03   -5.240844e+01    1.649895e+01    2.089508e+01    1.321147e+03    2.248010e+02    3.304550e+03   -4.865974e+01    1.794686e+01    1.869558e+01    1.352554e+03
  28    2.248010e+02    3.304550e+03   -4.865974e+01    1.794686e+01    1.869558e+01    1.352554e+03    2.247310e+02    3.465606e+03   -5.026209e+01    1.936445e+01    1.874460e+01    1.379035e+03
  29    2.247310e+02    3.465606e+03   -5.026209e+01    1.936445e+01    1.874460e+01    1.379035e+03    2.248716e+02    3.618730e+03   -5.859179e+01    2.075218e+01    2.142726e+01    1.403030e+03
  30    2.248716e+02    3.618730e+03   -5.859179e+01    2.075218e+01    2.142726e+01    1.403030e+03    2.252876e+02    3.765917e+03   -7.536003e+01    2.193622e+01    2.736518e+01    1.433080e+03
  31    2.252876e+02    3.765917e+03   -7.536003e+01    2.193622e+01    2.736518e+01    1.433080e+03    2.255096e+02    3.921198e+03   -8.802099e+01    2.293946e+01    3.188961e+01    1.479403e+03
  32    2.255096e+02    3.921198e+03   -8.802099e+01    2.293946e+01    3.188961e+01    1.479403e+03    2.245621e+02    4.091586e+03   -9.971952e+01    2.364833e+01    3.602740e+01    1.531493e+03
  33    2.245621e+02    4.091586e+03   -9.971952e+01    2.364833e+01    3.602740e+01    1.531493e+03    2.225691e+02    4.263332e+03   -1.126862e+02    2.395160e+01    4.023572e+01    1.569571e+03
  34    2.225691e+02    4.263332e+03   -1.126862e+02    2.395160e+01    4.023572e+01    1.569571e+03    2.203579e+02    4.409300e+03   -1.291207e+02    2.388665e+01    4.478986e+01    1.570279e+03
  35    2.203579e+02    4.409300e+03   -1.291207e+02    2.388665e+01    4.478986e+01    1.570279e+03    2.196978e+02    4.501765e+03   -1.491971e+02    2.370340e+01    4.983824e+01    1.538687e+03
  36    2.196978e+02    4.501765e+03   -1.491971e+02    2.370340e+01    4.983824e+01    1.538687e+03    2.202215e+02    4.531076e+03   -1.677058e+02    2.320928e+01    5.344000e+01    1.474319e+03
