# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    1.454118e+00   -8.292603e-05    5.345513e+02    7.207086e-02    2.967380e-01   -1.192899e-03
   2    4.557562e+00   -1.472207e-03    2.165065e+03    1.044785e+00    2.577962e+00   -9.469953e-03
   3    3.439400e+00   -8.114851e-03    4.438888e+03    2.657120e+00    5.456502e+00   -1.087497e-02
   4   -8.869454e+00   -1.093731e-02    6.907436e+03    6.843050e+00    8.642297e+00    4.870946e-02
   5   -3.516585e+01   -7.278297e-02    9.609858e+03    2.248361e+01    3.754512e+00    4.208473e-01
   6   -6.682404e+01    4.871601e-01    1.239346e+04    2.334551e+01   -1.512073e+02    1.961469e-01
   7   -1.017348e+02   -9.976695e-01    1.509605e+04   -3.030561e+01   -5.342134e+02    2.437724e-01
   8   -1.423495e+02   -1.285702e+00    1.764136e+04   -1.429966e+02   -1.113828e+03   -5.150384e-01
   9   -1.949856e+02   -2.173702e+00    1.996286e+04   -2.899849e+02   -1.880597e+03   -2.525685e+00
  10   -2.711004e+02   -2.034385e+00    2.266029e+04   -3.748501e+02   -2.690030e+03   -2.968555e+00
  11   -3.807797e+02   -5.261312e+00    2.606667e+04   -3.764485e+02   -3.426277e+03   -7.455407e+00
  12   -4.989218e+02   -4.588845e-01    2.731952e+04   -2.677738e+02   -3.496906e+03   -2.015348e+00
  13   -5.561922e+02    4.492441e+00    2.637227e+04   -1.663619e+02   -3.203845e+03   -6.863525e+00
  14   -5.757251e+02    4.472676e+00    2.521483e+04   -5.563656e+01   -3.079855e+03   -4.377995e+00
  15   -5.728398e+02    5.326273e+00    2.365985e+04    5.455900e+01   -3.092069e+03    6.793972e-01
  16   -5.473331e+02    6.134714e+00    2.277244e+04    1.498256e+02   -3.032652e+03    3.959505e+00
  17   -5.272009e+02    1.194637e+00    2.301828e+04    2.694708e+02   -2.986579e+03    7.351590e+00
  18   -5.055570e+02    2.899127e-01    2.398503e+04    3.340292e+02   -3.035018e+03    6.867512e+00
  19   -4.771894e+02   -1.458301e+00    2.554769e+04    3.714709e+02   -3.150923e+03    7.219040e+00
  20   -4.578675e+02    1.429915e-01    2.729317e+04    3.790563e+02   -3.352828e+03    6.786368e+00
  21   -4.244882e+02   -6.002239e-01    2.907175e+04    3.381868e+02   -3.653851e+03    5.300443e+00
  22   -3.902789e+02    3.378797e-01    3.065237e+04    2.227458e+02   -4.163719e+03    3.450569e+00
  23   -3.560090e+02    7.645035e-01    3.185928e+04    1.732469e+02   -4.497736e+03    3.249076e+00
  24   -3.183692e+02    9.782758e-01    3.275161e+04    1.526052e+02   -4.669960e+03    4.073605e+00
  25   -2.792372e+02    9.827567e-01    3.336363e+04    2.678520e+02   -4.925373e+03    6.876706e+00
  26   -2.408768e+02    1.739198e+00    3.370567e+04    3.179035e+02   -5.023641e+03    7.601004e+00
  27   -1.870934e+02    1.031079e+00    3.360406e+04    3.482510e+02   -5.223732e+03    7.070668e+00
  28   -1.075025e+02    5.591055e-01    3.249707e+04    3.880546e+02   -6.430192e+03    1.057340e+01
  29   -2.028964e+01   -9.363898e-01    3.074422e+04    3.808753e+02   -7.862781e+03    1.749967e+01
  30    5.998217e+01   -4.420685e+00    2.858127e+04    4.148547e+02   -8.866409e+03    3.820372e+01
  31    8.376017e+01    3.771083e-02    2.652812e+04    4.501966e+02   -8.978424e+03    5.000462e+01
  32    8.188449e+01   -8.641686e+00    2.453469e+04    5.295978e+02   -8.269692e+03    6.961932e+01
  33    5.966920e+01    9.639490e-01    2.176476e+04    5.922643e+02   -7.089446e+03    7.343754e+01
  34    3.440219e+01    1.877019e-03    1.884878e+04    6.058331e+02   -5.738115e+03    7.752233e+01
  35    1.850381e+01    2.613623e+00    1.571006e+04    5.496017e+02   -4.424749e+03    7.511973e+01
  36   -4.258209e+01    4.758846e-01    1.278246e+04    4.587259e+02   -3.246614e+03    6.372426e+01
  37   -4.376160e+01   -7.730027e-01    1.014531e+04    3.581065e+02   -2.288015e+03    4.205767e+01
  38   -2.335042e+01    1.067037e+00    7.963770e+03    2.680117e+02   -1.577378e+03    2.713298e+01
  39   -1.476542e+01   -1.592545e+00    6.382554e+03    2.076621e+02   -1.102657e+03    1.673657e+01
  40   -6.975644e+00    3.425190e+00    4.969553e+03    1.493946e+02   -7.294819e+02    1.062656e+01
  41   -1.899609e+00   -1.133270e+00    3.969877e+03    1.118643e+02   -4.611045e+02    5.489709e+00
  42    9.244334e-01   -8.201536e-01    3.113672e+03    8.498789e+01   -2.681929e+02    2.792837e+00
  43    3.572528e+00   -1.031410e-01    2.326172e+03    6.086287e+01   -1.467969e+02    4.044810e-01
  44    3.774455e+00   -7.420711e-01    1.623456e+03    3.819873e+01   -8.865723e+01    4.231399e-01
  45    2.880628e+00   -3.686286e-01    1.047655e+03    2.056645e+01   -5.272838e+01    2.128964e-01
  46    1.981089e+00   -1.629695e-01    6.297548e+02    1.026992e+01   -2.973373e+01    9.534404e-02
  47    1.172349e+00   -6.152411e-02    3.464830e+02    4.729421e+00   -1.559295e+01    3.684395e-02
  48    5.477377e-01   -1.488541e-02    1.693178e+02    1.988561e+00   -7.373253e+00    1.642123e-02
  49    7.351364e-02    1.325479e-02    6.566404e+01    6.691071e-01   -2.641712e+00    7.195608e-02
  50   -1.357349e-02    8.175428e-03    1.465525e+01    1.008926e-01   -5.085514e-01    4.500161e-02
