# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    2.001482e-14   -2.275065e-17    1.264037e-13   -2.271259e+01    7.967923e+01   -1.860969e+00   -2.433937e+00    1.297817e+00    8.527282e+01
   2   -2.271259e+01    7.967923e+01   -1.860969e+00   -2.433937e+00    1.297817e+00    8.527282e+01   -2.497855e+01    8.033191e+01   -2.012539e+00   -2.512167e+00    1.348666e+00    8.501260e+01
   3   -2.497855e+01    8.033191e+01   -2.012539e+00   -2.512167e+00    1.348666e+00    8.501260e+01   -2.882329e+01    8.149846e+01   -2.272445e+00   -2.634816e+00    1.429767e+00    8.469637e+01
   4   -2.882329e+01    8.149846e+01   -2.272445e+00   -2.634816e+00    1.429767e+00    8.469637e+01   -3.443900e+01    8.334069e+01   -2.651376e+00   -2.790851e+00    1.535541e+00    8.451731e+01
   5   -3.443900e+01    8.334069e+01   -2.651376e+00   -2.790851e+00    1.535541e+00    8.451731e+01   -4.213075e+01    8.605295e+01   -3.157226e+00   -2.960967e+00    1.656247e+00    8.465430e+01
   6   -4.213075e+01    8.605295e+01   -3.157226e+00   -2.960967e+00    1.656247e+00    8.465430e+01   -4.532980e+01    9.579189e+01   -3.754979e+00   -3.196274e+00    1.832371e+00    8.533011e+01
   7   -4.532980e+01    9.579189e+01   -3.754979e+00   -3.196274e+00    1.832371e+00    8.533011e+01   -2.510376e+01    1.286253e+02   -4.077627e+00   -3.931531e+00    2.306333e+00    9.695565e+01
   8   -2.510376e+01    1.286253e+02   -4.077627e+00   -3.931531e+00    2.306333e+00    9.695565e+01    2.900394e+01    1.975081e+02   -3.662176e+00   -6.341286e+00    3.700526e+00    1.493542e+02
   9    2.900394e+01    1.975081e+02   -3.662176e+00   -6.341286e+00    3.700526e+00    1.493542e+02    1.797010e+02    3.784203e+02   -1.688579e+00   -1.850371e+01    1.067940e+01    4.241225e+02
  10    1.797010e+02    3.784203e+02   -1.688579e+00   -1.850371e+01    1.067940e+01    4.241225e+02    3.806408e+02    7.312712e+02   -1.362165e+00   -4.139580e+01    2.329889e+01    9.403251e+02
  11    3.806408e+02    7.312712e+02   -1.362165e+00   -4.139580e+01    2.329889e+01    9.403251e+02    4.686413e+02    9.946457e+02   -2.986942e+00   -5.231772e+01    2.828052e+01    1.208881e+03
  12    4.686413e+02    9.946457e+02   -2.986942e+00   -5.231772e+01    2.828052e+01    1.208881e+03    5.070518e+02    1.190741e+03   -3.796477e+00   -5.431833e+01    2.737494e+01    1.331301e+03
  13    5.070518e+02    1.190741e+03   -3.796477e+00   -5.431833e+01    2.737494e+01    1.331301e+03    5.381062e+02    1.424367e+03   -3.745327e+00   -5.392821e+01    2.425555e+01    1.476429e+03
  14    5.381062e+02    1.424367e+03   -3.745327e+00   -5.392821e+01    2.425555e+01    1.476429e+03    5.740141e+02    1.666395e+03   -7.151466e+00   -4.516504e+01    2.247834e+01    1.612596e+03
  15    5.740141e+02    1.666395e+03   -7.151466e+00   -4.516504e+01    2.247834e+01    1.612596e+03    5.970830e+02    1.903109e+03   -1.428266e+01   -2.636231e+01    2.135666e+01    1.743622e+03
  16    5.970830e+02    1.903109e+03   -1.428266e+01   -2.636231e+01    2.135666e+01    1.743622e+03    6.066260e+02    2.130115e+03   -2.356049e+01   -7.759920e+00    2.267529e+01    1.850284e+03
