# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00   -8.361068e-16   -2.213946e-17    3.466722e-15   -2.248159e+01    7.761385e+01   -1.816706e+00   -2.423940e+00    1.284650e+00    8.487929e+01
   2   -2.248159e+01    7.761385e+01   -1.816706e+00   -2.423940e+00    1.284650e+00    8.487929e+01   -2.473103e+01    7.826454e+01   -1.961570e+00   -2.506321e+00    1.332132e+00    8.474977e+01
   3   -2.473103e+01    7.826454e+01   -1.961570e+00   -2.506321e+00    1.332132e+00    8.474977e+01   -2.854597e+01    7.942419e+01   -2.209847e+00   -2.636507e+00    1.407691e+00    8.465127e+01
   4   -2.854597e+01    7.942419e+01   -2.209847e+00   -2.636507e+00    1.407691e+00    8.465127e+01   -3.412082e+01    8.125428e+01   -2.572010e+00   -2.804467e+00    1.506087e+00    8.478456e+01
   5   -3.412082e+01    8.125428e+01   -2.572010e+00   -2.804467e+00    1.506087e+00    8.478456e+01   -4.176317e+01    8.394738e+01   -3.055477e+00   -2.992291e+00    1.617641e+00    8.534323e+01
   6   -4.176317e+01    8.394738e+01   -3.055477e+00   -2.992291e+00    1.617641e+00    8.534323e+01   -4.547856e+01    9.370943e+01   -3.638723e+00   -3.240032e+00    1.775031e+00    8.620856e+01
   7   -4.547856e+01    9.370943e+01   -3.638723e+00   -3.240032e+00    1.775031e+00    8.620856e+01   -2.819643e+01    1.258958e+02   -3.980738e+00   -3.849869e+00    2.125742e+00    9.449871e+01
   8   -2.819643e+01    1.258958e+02   -3.980738e+00   -3.849869e+00    2.125742e+00    9.449871e+01    1.880817e+01    1.926437e+02   -3.622206e+00   -5.921382e+00    3.182828e+00    1.385292e+02
   9    1.880817e+01    1.926437e+02   -3.622206e+00   -5.921382e+00    3.182828e+00    1.385292e+02    1.513961e+02    3.576644e+02   -1.468959e+00   -1.545981e+01    7.985364e+00    3.509453e+02
  10    1.513961e+02    3.576644e+02   -1.468959e+00   -1.545981e+01    7.985364e+00    3.509453e+02    3.576838e+02    7.090193e+02    7.312851e-01   -3.986573e+01    1.919028e+01    8.930097e+02
  11    3.576838e+02    7.090193e+02    7.312851e-01   -3.986573e+01    1.919028e+01    8.930097e+02    4.694120e+02    1.029390e+03    1.213889e+00   -5.559399e+01    2.386712e+01    1.258690e+03
  12    4.694120e+02    1.029390e+03    1.213889e+00   -5.559399e+01    2.386712e+01    1.258690e+03    5.097134e+02    1.242015e+03    3.597266e+00   -5.950850e+01    2.032773e+01    1.413554e+03
  13    5.097134e+02    1.242015e+03    3.597266e+00   -5.950850e+01    2.032773e+01    1.413554e+03    5.381474e+02    1.484677e+03    8.995578e+00   -6.089444e+01    1.244890e+01    1.588291e+03
  14    5.381474e+02    1.484677e+03    8.995578e+00   -6.089444e+01    1.244890e+01    1.588291e+03    5.755940e+02    1.761776e+03    1.226437e+01   -5.334177e+01    5.259976e+00    1.747852e+03
  15    5.755940e+02    1.761776e+03    1.226437e+01   -5.334177e+01    5.259976e+00    1.747852e+03    5.977418e+02    2.023634e+03    1.311320e+01   -3.521030e+01   -1.968467e+00    1.908773e+03
  16    5.977418e+02    2.023634e+03    1.311320e+01   -3.521030e+01   -1.968467e+00    1.908773e+03    6.069990e+02    2.276572e+03    1.275738e+01   -1.553038e+01   -7.320442e+00    2.045282e+03
  17    6.069990e+02    2.276572e+03    1.275738e+01   -1.553038e+01   -7.320442e+00    2.045282e+03    6.064807e+02    2.519346e+03    1.261763e+01    2.038454e-02   -1.081880e+01    2.159196e+03
  18    6.064807e+02    2.519346e+03    1.261763e+01    2.038454e-02   -1.081880e+01    2.159196e+03    6.044274e+02    2.756112e+03    1.470872e+01    6.771171e+00   -1.347165e+01    2.246061e+03
  19    6.044274e+02    2.756112e+03    1.470872e+01    6.771171e+00   -1.347165e+01    2.246061e+03    6.021705e+02    2.999955e+03    1.646884e+01    1.170557e+01   -1.508466e+01    2.319807e+03
  20    6.021705e+02    2.999955e+03    1.646884e+01    1.170557e+01   -1.508466e+01    2.319807e+03    6.001071e+02    3.246571e+03    2.075508e+01    1.351179e+01   -1.775943e+01    2.387306e+03
  21    6.001071e+02    3.246571e+03    2.075508e+01    1.351179e+01   -1.775943e+01    2.387306e+03    5.981011e+02    3.496160e+03    3.507436e+01    1.170143e+01   -2.661711e+01    2.453617e+03
  22    5.981011e+02    3.496160e+03    3.507436e+01    1.170143e+01   -2.661711e+01    2.453617e+03    5.964299e+02    3.753683e+03    6.206280e+01    1.179228e+01   -4.366571e+01    2.527665e+03
  23    5.964299e+02    3.753683e+03    6.206280e+01    1.179228e+01   -4.366571e+01    2.527665e+03    5.949701e+02    4.012033e+03    9.338897e+01    1.388717e+01   -6.253867e+01    2.598217e+03
  24    5.949701e+02    4.012033e+03    9.338897e+01    1.388717e+01   -6.253867e+01    2.598217e+03    5.936529e+02    4.272933e+03    1.183237e+02    1.694413e+01   -7.624830e+01    2.668484e+03
  25    5.936529e+02    4.272933e+03    1.183237e+02    1.694413e+01   -7.624830e+01    2.668484e+03    5.924860e+02    4.539078e+03    1.373717e+02    2.068981e+01   -8.563426e+01    2.740318e+03
  26    5.924860e+02    4.539078e+03    1.373717e+02    2.068981e+01   -8.563426e+01    2.740318e+03    5.919159e+02    4.803688e+03    1.777622e+02    2.372244e+01   -1.069058e+02    2.809936e+03
  27    5.919159e+02    4.803688e+03    1.777622e+02    2.372244e+01   -1.069058e+02    2.809936e+03    5.919216e+02    5.064636e+03    2.295924e+02    2.644852e+01   -1.334515e+02    2.875652e+03
  28    5.919216e+02    5.064636e+03    2.295924e+02    2.644852e+01   -1.334515e+02    2.875652e+03    5.920951e+02    5.323485e+03    2.751158e+02    2.927382e+01   -1.550282e+02    2.936791e+03
  29    5.920951e+02    5.323485e+03    2.751158e+02    2.927382e+01   -1.550282e+02    2.936791e+03    5.921624e+02    5.580869e+03    3.105376e+02    3.209399e+01   -1.699999e+02    2.993977e+03
  30    5.921624e+02    5.580869e+03    3.105376e+02    3.209399e+01   -1.699999e+02    2.993977e+03    5.923224e+02    5.836204e+03    3.393858e+02    3.430374e+01   -1.810382e+02    3.053331e+03
  31    5.923224e+02    5.836204e+03    3.393858e+02    3.430374e+01   -1.810382e+02    3.053331e+03    5.927462e+02    6.103867e+03    3.770066e+02    3.581932e+01   -1.965089e+02    3.125231e+03
  32    5.927462e+02    6.103867e+03    3.770066e+02    3.581932e+01   -1.965089e+02    3.125231e+03    5.928439e+02    6.393094e+03    4.213171e+02    3.663566e+01   -2.143070e+02    3.200358e+03
  33    5.928439e+02    6.393094e+03    4.213171e+02    3.663566e+01   -2.143070e+02    3.200358e+03    5.918838e+02    6.681634e+03    4.672856e+02    3.686481e+01   -2.308043e+02    3.253535e+03
  34    5.918838e+02    6.681634e+03    4.672856e+02    3.686481e+01   -2.308043e+02    3.253535e+03    5.896290e+02    6.940772e+03    5.079893e+02    3.698723e+01   -2.417890e+02    3.260686e+03
  35    5.896290e+02    6.940772e+03    5.079893e+02    3.698723e+01   -2.417890e+02    3.260686e+03    5.864607e+02    7.128749e+03    5.378660e+02    3.726579e+01   -2.459459e+02    3.219076e+03
  36    5.864607e+02    7.128749e+03    5.378660e+02    3.726579e+01   -2.459459e+02    3.219076e+03    5.817057e+02    7.229144e+03    5.608522e+02    3.736257e+01   -2.454567e+02    3.125079e+03
  37    5.817057e+02    7.229144e+03    5.608522e+02    3.736257e+01   -2.454567e+02    3.125079e+03    5.739955e+02    7.244375e+03    5.809584e+02    3.694434e+01   -2.424792e+02    2.987141e+03
  38    5.739955e+02    7.244375e+03    5.809584e+02    3.694434e+01   -2.424792e+02    2.987141e+03    5.619838e+02    7.193481e+03    5.965243e+02    3.547053e+01   -2.368986e+02    2.823341e+03
  39    5.619838e+02    7.193481e+03    5.965243e+02    3.547053e+01   -2.368986e+02    2.823341e+03    5.450195e+02    7.090304e+03    6.091925e+02    3.220402e+01   -2.298174e+02    2.646001e+03
  40    5.450195e+02    7.090304e+03    6.091925e+02    3.220402e+01   -2.298174e+02    2.646001e+03    5.224906e+02    6.934033e+03    6.158866e+02    2.928879e+01   -2.205359e+02    2.458082e+03
  41    5.224906e+02    6.934033e+03    6.158866e+02    2.928879e+01   -2.205359e+02    2.458082e+03    4.937145e+02    6.729089e+03    6.112407e+02    2.918425e+01   -2.078019e+02    2.264097e+03
  42    4.937145e+02    6.729089e+03    6.112407e+02    2.918425e+01   -2.078019e+02    2.264097e+03    4.580143e+02    6.486530e+03    5.960903e+02    3.670031e+01   -1.928865e+02    2.070751e+03
  43    4.580143e+02    6.486530e+03    5.960903e+02    3.670031e+01   -1.928865e+02    2.070751e+03    4.140507e+02    6.201121e+03    5.728725e+02    5.724425e+01   -1.771687e+02    1.876408e+03
  44    4.140507e+02    6.201121e+03    5.728725e+02    5.724425e+01   -1.771687e+02    1.876408e+03    3.604784e+02    5.861879e+03    5.452052e+02    7.093682e+01   -1.603519e+02    1.677152e+03
  45    3.604784e+02    5.861879e+03    5.452052e+02    7.093682e+01   -1.603519e+02    1.677152e+03    2.961275e+02    5.449689e+03    5.120871e+02    6.941907e+01   -1.412650e+02    1.463215e+03
  46    2.961275e+02    5.449689e+03    5.120871e+02    6.941907e+01   -1.412650e+02    1.463215e+03    2.216305e+02    4.880386e+03    4.636209e+02    5.881743e+01   -1.159625e+02    1.192582e+03
  47    2.216305e+02    4.880386e+03    4.636209e+02    5.881743e+01   -1.159625e+02    1.192582e+03    1.419406e+02    3.967821e+03    3.806962e+02    3.976945e+01   -7.833962e+01    8.016698e+02
  48    1.419406e+02    3.967821e+03    3.806962e+02    3.976945e+01   -7.833962e+01    8.016698e+02    6.144210e+01    2.620532e+03    2.538146e+02    1.762269e+01   -3.486309e+01    3.556812e+02
  49    6.144210e+01    2.620532e+03    2.538146e+02    1.762269e+01   -3.486309e+01    3.556812e+02    0.000000e+00    0.000000e+00    0.000000e+00   -8.361068e-16   -2.213946e-17    3.466722e-15
