# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    1.454456e+00   -1.046731e-04    5.345513e+02    7.335186e-02    2.936674e-01   -1.197996e-03
   2    4.558098e+00   -1.683815e-03    2.165064e+03    1.049347e+00    2.566885e+00   -9.447796e-03
   3    3.436138e+00   -8.626799e-03    4.438883e+03    2.663580e+00    5.439875e+00   -1.057371e-02
   4   -8.897132e+00   -1.268698e-02    6.907421e+03    6.852870e+00    8.680986e+00    4.910502e-02
   5   -3.528059e+01   -1.040158e-01    9.609826e+03    2.281572e+01    4.214535e+00    4.331264e-01
   6   -6.708284e+01    5.084136e-01    1.239339e+04    2.930800e+01   -1.507956e+02    2.629551e-01
   7   -1.019469e+02   -9.450532e-01    1.509595e+04   -1.057997e+01   -5.357102e+02    4.121542e-01
   8   -1.426896e+02   -1.111667e+00    1.764123e+04   -1.026596e+02   -1.119163e+03   -1.391663e-01
   9   -1.955492e+02   -1.897874e+00    1.996272e+04   -2.227464e+02   -1.890714e+03   -1.779771e+00
  10   -2.723148e+02   -1.613118e+00    2.266015e+04   -2.788566e+02   -2.703141e+03   -1.719583e+00
  11   -3.838222e+02   -5.103495e+00    2.606657e+04   -2.550285e+02   -3.438865e+03   -5.833472e+00
  12   -5.041836e+02   -7.075960e-01    2.731951e+04   -1.439271e+02   -3.505786e+03    3.842840e-01
  13   -5.638676e+02    4.640083e+00    2.637233e+04   -5.364799e+01   -3.208728e+03   -4.615678e+00
  14   -5.863325e+02    4.619590e+00    2.521495e+04    5.202490e+01   -3.081213e+03   -2.061373e+00
  15   -5.864862e+02    5.058301e+00    2.365995e+04    1.605733e+02   -3.090014e+03    3.162906e+00
  16   -5.650229e+02    5.943165e+00    2.277252e+04    2.528568e+02   -3.027814e+03    6.490817e+00
  17   -5.497988e+02    9.462547e-01    2.301837e+04    3.707271e+02   -2.978517e+03    9.923341e+00
  18   -5.348109e+02    1.931095e-01    2.398519e+04    4.371978e+02   -3.025294e+03    9.569738e+00
  19   -5.141042e+02   -1.327870e+00    2.554806e+04    4.798006e+02   -3.139838e+03    1.011352e+01
  20   -5.045356e+02    2.298660e-01    2.729389e+04    4.946541e+02   -3.341207e+03    9.636320e+00
  21   -4.811271e+02   -4.970186e-01    2.907298e+04    4.652535e+02   -3.643029e+03    8.166906e+00
  22   -4.575732e+02    4.598415e-01    3.065414e+04    3.679004e+02   -4.155298e+03    6.202424e+00
  23   -4.336031e+02    8.759519e-01    3.186138e+04    3.295928e+02   -4.490740e+03    5.871569e+00
  24   -4.058051e+02    1.122140e+00    3.275375e+04    3.149269e+02   -4.662992e+03    6.572475e+00
  25   -3.761291e+02    1.129699e+00    3.336551e+04    4.388584e+02   -4.915991e+03    9.674761e+00
  26   -3.464549e+02    1.828615e+00    3.370729e+04    4.923896e+02   -5.010966e+03    1.049626e+01
  27   -2.995429e+02    1.458316e+00    3.360523e+04    5.299405e+02   -5.207334e+03    1.002838e+01
  28   -2.232676e+02    1.621446e+00    3.249732e+04    6.119910e+02   -6.411353e+03    1.385978e+01
  29   -1.359867e+02    9.810696e-01    3.074333e+04    6.546861e+02   -7.842392e+03    2.088247e+01
  30   -5.309433e+01   -1.627449e+00    2.857920e+04    7.234939e+02   -8.844619e+03    4.169567e+01
  31   -2.643977e+01    2.468913e+00    2.652509e+04    7.626177e+02   -8.954363e+03    5.350984e+01
  32   -2.391463e+01   -7.093718e+00    2.453084e+04    8.171519e+02   -8.242945e+03    7.333375e+01
  33   -3.836365e+01    1.467734e+00    2.176037e+04    8.385918e+02   -7.061208e+03    7.726351e+01
  34   -5.348374e+01   -4.881077e-01    1.884407e+04    8.050015e+02   -5.710487e+03    8.129456e+01
  35   -5.719380e+01    1.641994e+00    1.570537e+04    7.030093e+02   -4.400557e+03    7.849077e+01
  36   -1.058648e+02   -2.421352e+00    1.277792e+04    5.711920e+02   -3.227062e+03    6.653516e+01
  37   -9.508184e+01   -3.450157e+00    1.014129e+04    4.373533e+02   -2.272901e+03    4.422222e+01
  38   -6.468238e+01   -6.714876e-01    7.960364e+03    3.226154e+02   -1.566152e+03    2.875875e+01
  39   -4.848296e+01   -2.881213e+00    6.379624e+03    2.458395e+02   -1.093969e+03    1.798611e+01
  40   -3.385858e+01    2.585591e+00    4.967130e+03    1.746355e+02   -7.232153e+02    1.154056e+01
  41   -2.362002e+01   -1.696061e+00    3.967824e+03    1.277588e+02   -4.564422e+02    6.178477e+00
  42   -1.635769e+01   -1.179345e+00    3.111974e+03    9.416710e+01   -2.647308e+02    3.314937e+00
  43   -9.587431e+00   -2.767454e-01    2.324853e+03    6.581402e+01   -1.443266e+02    7.781855e-01
  44   -5.436954e+00   -8.352759e-01    1.622501e+03    4.120017e+01   -8.707112e+01    6.579321e-01
  45   -3.121233e+00   -4.286115e-01    1.047019e+03    2.239860e+01   -5.184290e+01    3.414476e-01
  46   -1.655064e+00   -1.993997e-01    6.293625e+02    1.131894e+01   -2.927345e+01    1.599831e-01
  47   -8.413067e-01   -8.286737e-02    3.462627e+02    5.284172e+00   -1.537176e+01    6.662717e-02
  48   -4.424895e-01   -2.763235e-02    1.692083e+02    2.251948e+00   -7.276760e+00    2.894108e-02
  49   -3.136571e-01    3.402840e-03    6.562084e+01    7.636425e-01   -2.608747e+00    7.721760e-02
  50   -1.000979e-01    4.988481e-03    1.464547e+01    1.187359e-01   -5.038361e-01    4.635553e-02
