# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00   -5.531003e-16   -1.451550e-17    1.159766e-15   -1.729379e+01    4.423760e+01   -1.163405e+00   -1.317157e+00    6.980724e-01    4.612297e+01
   2   -1.729379e+01    4.423760e+01   -1.163405e+00   -1.317157e+00    6.980724e-01    4.612297e+01   -1.911469e+01    4.483726e+01   -1.270053e+00   -1.363878e+00    7.249139e-01    4.611875e+01
   3   -1.911469e+01    4.483726e+01   -1.270053e+00   -1.363878e+00    7.249139e-01    4.611875e+01   -2.226290e+01    4.591225e+01   -1.456878e+00   -1.438653e+00    7.681296e-01    4.619135e+01
   4   -2.226290e+01    4.591225e+01   -1.456878e+00   -1.438653e+00    7.681296e-01    4.619135e+01   -2.696993e+01    4.759265e+01   -1.737521e+00   -1.536773e+00    8.252954e-01    4.645966e+01
   5   -2.696993e+01    4.759265e+01   -1.737521e+00   -1.536773e+00    8.252954e-01    4.645966e+01   -3.359815e+01    5.002973e+01   -2.126303e+00   -1.648679e+00    8.912804e-01    4.702202e+01
   6   -3.359815e+01    5.002973e+01   -2.126303e+00   -1.648679e+00    8.912804e-01    4.702202e+01   -3.749275e+01    5.795521e+01   -2.602410e+00   -1.865390e+00    1.021942e+00    4.963302e+01
   7   -3.749275e+01    5.795521e+01   -2.602410e+00   -1.865390e+00    1.021942e+00    4.963302e+01   -2.145693e+01    8.786551e+01   -2.850682e+00   -2.917746e+00    1.611062e+00    7.161887e+01
   8   -2.145693e+01    8.786551e+01   -2.850682e+00   -2.917746e+00    1.611062e+00    7.161887e+01    3.683652e+01    1.763614e+02   -2.477493e+00   -8.710166e+00    4.681839e+00    2.037720e+02
   9    3.683652e+01    1.763614e+02   -2.477493e+00   -8.710166e+00    4.681839e+00    2.037720e+02    1.088241e+02    3.286830e+02   -2.684899e+00   -1.745934e+01    9.018166e+00    3.963354e+02
  10    1.088241e+02    3.286830e+02   -2.684899e+00   -1.745934e+01    9.018166e+00    3.963354e+02    1.648094e+02    5.219513e+02   -3.859024e+00   -2.623190e+01    1.262733e+01    5.876059e+02
  11    1.648094e+02    5.219513e+02   -3.859024e+00   -2.623190e+01    1.262733e+01    5.876059e+02    1.857976e+02    6.522848e+02   -4.162204e+00   -2.815243e+01    1.208615e+01    6.373924e+02
  12    1.857976e+02    6.522848e+02   -4.162204e+00   -2.815243e+01    1.208615e+01    6.373924e+02    2.038568e+02    7.789914e+02   -2.620287e+00   -2.912809e+01    9.949972e+00    6.919030e+02
  13    2.038568e+02    7.789914e+02   -2.620287e+00   -2.912809e+01    9.949972e+00    6.919030e+02    2.123252e+02    9.144479e+02    9.730941e-01   -2.921655e+01    5.972858e+00    7.620462e+02
  14    2.123252e+02    9.144479e+02    9.730941e-01   -2.921655e+01    5.972858e+00    7.620462e+02    2.315252e+02    1.062485e+03    3.868359e+00   -2.480565e+01    2.446059e+00    8.128080e+02
