# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    1.454087e+00   -8.292602e-05    5.345513e+02    7.207084e-02    2.967369e-01   -1.192887e-03
   2    4.556819e+00   -1.472220e-03    2.165064e+03    1.044785e+00    2.577902e+00   -9.469079e-03
   3    3.434031e+00   -8.114866e-03    4.438883e+03    2.657114e+00    5.455974e+00   -1.086627e-02
   4   -8.891863e+00   -1.093733e-02    6.907421e+03    6.843026e+00    8.639875e+00    4.875708e-02
   5   -3.523425e+01   -7.285150e-02    9.609828e+03    2.248357e+01    3.746774e+00    4.210733e-01
   6   -6.699234e+01    4.868417e-01    1.239341e+04    2.334583e+01   -1.512265e+02    1.968303e-01
   7   -1.020919e+02   -9.978626e-01    1.509598e+04   -3.030413e+01   -5.342554e+02    2.435694e-01
   8   -1.430394e+02   -1.286370e+00    1.764128e+04   -1.429924e+02   -1.113913e+03   -5.196216e-01
   9   -1.962173e+02   -2.174084e+00    1.996279e+04   -2.899758e+02   -1.880760e+03   -2.540437e+00
  10   -2.732468e+02   -2.030154e+00    2.266024e+04   -3.748399e+02   -2.690352e+03   -2.998454e+00
  11   -3.844942e+02   -5.265190e+00    2.606668e+04   -3.764359e+02   -3.426841e+03   -7.504855e+00
  12   -5.045495e+02   -4.747450e-01    2.731960e+04   -2.677311e+02   -3.497760e+03   -2.051174e+00
  13   -5.639708e+02    4.514316e+00    2.637240e+04   -1.663106e+02   -3.205053e+03   -6.883695e+00
  14   -5.862746e+02    4.510674e+00    2.521498e+04   -5.567965e+01   -3.081690e+03   -4.376964e+00
  15   -5.862648e+02    5.327800e+00    2.365997e+04    5.441081e+01   -3.094360e+03    7.459289e-01
  16   -5.645995e+02    6.123687e+00    2.277252e+04    1.495641e+02   -3.035698e+03    4.163556e+00
  17   -5.494401e+02    1.121360e+00    2.301836e+04    2.691611e+02   -2.989997e+03    7.592129e+00
  18   -5.344417e+02    2.515134e-01    2.398518e+04    3.337556e+02   -3.039117e+03    7.249397e+00
  19   -5.137697e+02   -1.547309e+00    2.554804e+04    3.713055e+02   -3.154921e+03    7.699081e+00
  20   -5.041801e+02    1.299812e-01    2.729387e+04    3.789974e+02   -3.356684e+03    7.469140e+00
  21   -4.808433e+02   -6.392071e-01    2.907295e+04    3.381777e+02   -3.657864e+03    5.953193e+00
  22   -4.572987e+02    3.312300e-01    3.065410e+04    2.227854e+02   -4.167819e+03    3.948480e+00
  23   -4.333518e+02    7.562250e-01    3.186132e+04    1.732914e+02   -4.501817e+03    3.681384e+00
  24   -4.055240e+02    9.682183e-01    3.275367e+04    1.526628e+02   -4.673879e+03    4.494641e+00
  25   -3.758735e+02    9.797951e-01    3.336543e+04    2.679160e+02   -4.929029e+03    7.678285e+00
  26   -3.461371e+02    1.731458e+00    3.370720e+04    3.179383e+02   -5.027004e+03    8.633764e+00
  27   -2.990394e+02    1.012748e+00    3.360509e+04    3.482808e+02   -5.225454e+03    8.336695e+00
  28   -2.228602e+02    5.419203e-01    3.249711e+04    3.880641e+02   -6.429520e+03    1.213111e+01
  29   -1.355400e+02   -9.454119e-01    3.074301e+04    3.808109e+02   -7.859794e+03    1.918702e+01
  30   -5.294359e+01   -4.481573e+00    2.857882e+04    4.147621e+02   -8.862093e+03    4.003816e+01
  31   -2.617883e+01    1.551189e-02    2.652470e+04    4.501375e+02   -8.973520e+03    5.210542e+01
  32   -2.375065e+01   -8.662894e+00    2.453049e+04    5.294800e+02   -8.264583e+03    7.211759e+01
  33   -3.809913e+01    9.462229e-01    2.176010e+04    5.920782e+02   -7.084404e+03    7.630640e+01
  34   -5.336629e+01   -1.796701e-02    1.884391e+04    6.055616e+02   -5.733196e+03    8.055488e+01
  35   -5.713840e+01    2.559050e+00    1.570529e+04    5.493294e+02   -4.420875e+03    7.788105e+01
  36   -1.059903e+02    4.371419e-01    1.277804e+04    4.585360e+02   -3.244061e+03    6.605763e+01
  37   -9.504574e+01   -7.867507e-01    1.014142e+04    3.579823e+02   -2.286266e+03    4.387980e+01
  38   -6.462034e+01    1.063247e+00    7.960451e+03    2.679273e+02   -1.576132e+03    2.853519e+01
  39   -4.848895e+01   -1.590293e+00    6.379695e+03    2.075958e+02   -1.101569e+03    1.783961e+01
  40   -3.365970e+01    3.428795e+00    4.967176e+03    1.493411e+02   -7.285857e+02    1.146739e+01
  41   -2.362545e+01   -1.131607e+00    3.967860e+03    1.118188e+02   -4.603232e+02    6.154948e+00
  42   -1.635740e+01   -8.182465e-01    3.111999e+03    8.495138e+01   -2.675825e+02    3.307244e+00
  43   -9.678405e+00   -1.033517e-01    2.324865e+03    6.083693e+01   -1.463002e+02    7.845783e-01
  44   -5.456486e+00   -7.388220e-01    1.622507e+03    3.818309e+01   -8.827555e+01    6.496163e-01
  45   -3.128925e+00   -3.664573e-01    1.047024e+03    2.055769e+01   -5.246701e+01    3.352866e-01
  46   -1.658148e+00   -1.616726e-01    6.293654e+02    1.026536e+01   -2.956987e+01    1.568537e-01
  47   -8.434790e-01   -6.077359e-02    3.462645e+02    4.727216e+00   -1.550027e+01    6.538381e-02
  48   -4.450735e-01   -1.441580e-02    1.692095e+02    1.987552e+00   -7.327580e+00    2.844503e-02
  49   -3.152348e-01    1.349923e-02    6.562183e+01    6.687261e-01   -2.624694e+00    7.597946e-02
  50   -1.000212e-01    8.193422e-03    1.464577e+01    1.008326e-01   -5.065173e-01    4.562992e-02
