# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00   -7.314269e-16   -2.211852e-17    3.287803e-15   -2.243404e+01    7.760480e+01   -1.815211e+00   -2.367512e+00    1.254744e+00    8.290333e+01
   2   -2.243404e+01    7.760480e+01   -1.815211e+00   -2.367512e+00    1.254744e+00    8.290333e+01   -2.467822e+01    7.824983e+01   -1.959777e+00   -2.444589e+00    1.299321e+00    8.266234e+01
   3   -2.467822e+01    7.824983e+01   -1.959777e+00   -2.444589e+00    1.299321e+00    8.266234e+01   -2.848882e+01    7.940370e+01   -2.207726e+00   -2.565670e+00    1.369869e+00    8.237688e+01
   4   -2.848882e+01    7.940370e+01   -2.207726e+00   -2.565670e+00    1.369869e+00    8.237688e+01   -3.405938e+01    8.122690e+01   -2.569491e+00   -2.720171e+00    1.460818e+00    8.223613e+01
   5   -3.405938e+01    8.122690e+01   -2.569491e+00   -2.720171e+00    1.460818e+00    8.223613e+01   -4.169729e+01    8.391166e+01   -3.052490e+00   -2.889685e+00    1.562171e+00    8.241678e+01
   6   -4.169729e+01    8.391166e+01   -3.052490e+00   -2.889685e+00    1.562171e+00    8.241678e+01   -4.492773e+01    9.351060e+01   -3.613927e+00   -3.127739e+00    1.713512e+00    8.322075e+01
   7   -4.492773e+01    9.351060e+01   -3.613927e+00   -3.127739e+00    1.713512e+00    8.322075e+01   -2.489618e+01    1.261112e+02   -3.851132e+00   -3.898221e+00    2.152440e+00    9.568556e+01
   8   -2.489618e+01    1.261112e+02   -3.851132e+00   -3.898221e+00    2.152440e+00    9.568556e+01    3.004022e+01    1.953574e+02   -3.204446e+00   -6.433057e+00    3.457861e+00    1.504997e+02
   9    3.004022e+01    1.953574e+02   -3.204446e+00   -6.433057e+00    3.457861e+00    1.504997e+02    1.808527e+02    3.790765e+02   -6.585489e-01   -1.926359e+01    9.950104e+00    4.372928e+02
  10    1.808527e+02    3.790765e+02   -6.585489e-01   -1.926359e+01    9.950104e+00    4.372928e+02    3.736587e+02    7.284001e+02    1.027952e+00   -4.177969e+01    2.011161e+01    9.358833e+02
  11    3.736587e+02    7.284001e+02    1.027952e+00   -4.177969e+01    2.011161e+01    9.358833e+02    4.537289e+02    9.764389e+02    1.525249e+00   -5.217191e+01    2.239798e+01    1.181212e+03
  12    4.537289e+02    9.764389e+02    1.525249e+00   -5.217191e+01    2.239798e+01    1.181212e+03    4.915642e+02    1.169703e+03    3.873111e+00   -5.467039e+01    1.867506e+01    1.298630e+03
  13    4.915642e+02    1.169703e+03    3.873111e+00   -5.467039e+01    1.867506e+01    1.298630e+03    5.221094e+02    1.399224e+03    9.050460e+00   -5.512888e+01    1.127022e+01    1.437910e+03
  14    5.221094e+02    1.399224e+03    9.050460e+00   -5.512888e+01    1.127022e+01    1.437910e+03    5.571764e+02    1.632960e+03    1.208995e+01   -4.794525e+01    4.727831e+00    1.571024e+03
  15    5.571764e+02    1.632960e+03    1.208995e+01   -4.794525e+01    4.727831e+00    1.571024e+03    5.800187e+02    1.862483e+03    1.262008e+01   -3.128839e+01   -1.749209e+00    1.696164e+03
