# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    2.351579e+00    6.301726e+01    5.336353e+02   -4.806480e-01    3.332923e-01   -2.186394e-02
   2    4.375009e+00    1.675684e+00    2.165008e+03   -1.274396e+00    2.696150e+00   -9.368171e-02
   3    3.048217e+00    2.661433e+00    4.438783e+03   -2.353731e+00    5.575664e+00   -1.790798e-01
   4   -9.567001e+00    9.113807e+00    6.907189e+03   -3.962586e+00    8.792966e+00   -2.807632e-01
   5   -4.649487e+01    1.513219e+01    9.609113e+03   -2.222128e+00    1.734522e+01   -2.466122e-01
   6    1.272845e+02   -1.794205e+01    1.240045e+04    7.091534e-01    1.950017e+01   -2.540832e+00
   7    1.873239e+02   -5.385853e+01    1.510805e+04    5.177880e+00    2.183600e+01   -7.835796e+00
   8    1.901703e+02   -6.523668e+01    1.765643e+04    5.461579e+00    2.509945e+01   -1.829573e+01
   9    1.574284e+02   -6.437843e+01    1.997780e+04    4.948207e-01    1.832179e+01   -2.673920e+01
  10    1.450132e+01    2.780046e+00    2.267259e+04    3.355909e+00    2.637872e+01   -3.042889e+01
  11   -2.918940e+02    2.701768e+01    2.606800e+04   -2.962856e+00   -6.891716e+01   -4.616925e+01
  12   -6.940523e+02    4.753500e+01    2.730904e+04   -3.612302e+00   -1.518568e+01   -3.660042e+01
  13   -7.703602e+02    4.278413e+01    2.635798e+04   -2.737985e+01   -1.039569e+01    2.155305e+00
  14   -6.241973e+02    3.550523e+01    2.520794e+04   -2.956758e+01   -2.554441e+01   -1.108413e+01
  15   -6.491123e+02    2.908330e+01    2.364613e+04   -2.324425e+01   -7.038043e+01   -1.061848e+01
  16   -5.986755e+02    3.571812e+01    2.276041e+04   -2.793757e+01   -6.658650e+01    1.167396e+01
  17   -5.794489e+02    2.699231e+01    2.300879e+04   -7.406305e+00   -4.635950e+01    5.124813e+01
  18   -4.914498e+02    7.550448e+00    2.397807e+04   -1.154168e+01   -5.171401e+01    1.080614e+01
  19   -4.556795e+02    3.512333e+00    2.554418e+04   -8.618504e+00   -1.517052e+01    1.658256e+01
  20   -4.051316e+02   -1.231038e+00    2.728953e+04   -1.054672e+01   -2.370628e+01    1.418188e+01
  21   -3.107190e+02   -1.453212e+01    2.906988e+04   -2.408225e+01    2.065803e+01    1.451085e+01
  22   -2.647808e+02   -1.698434e+01    3.065046e+04   -7.135664e+01   -1.122327e+01    3.272709e+01
  23   -3.111066e+02   -4.247025e+00    3.185530e+04   -7.518139e+01   -1.649522e+01    7.561257e+01
  24   -2.581412e+02    1.037018e+01    3.274709e+04   -1.013658e+02   -9.410912e-01    1.251553e+02
  25   -2.108388e+02    2.412369e+01    3.335736e+04   -4.015995e+01   -2.696724e+01    1.662436e+02
  26   -2.334552e+02    2.692941e+01    3.369999e+04   -7.650056e+01   -2.646494e+01    1.831763e+02
  27    6.810445e+00    1.801674e+01    3.359620e+04   -1.106742e+02    1.329240e+02    2.198886e+02
  28    3.107060e+02    1.163115e+01    3.248457e+04   -7.448421e+01   -1.715787e+01    2.998099e+02
  29    4.025305e+02    8.774689e+00    3.072967e+04   -5.285264e+01   -1.579769e+01    4.161535e+02
  30    2.980382e+02    1.142180e+01    2.856762e+04   -1.113484e+01   -1.174935e+02    5.239165e+02
  31    4.438679e+01    2.484355e+01    2.651944e+04   -1.719515e+01   -4.898293e+01    5.878121e+02
  32   -1.373737e+02    1.055231e+01    2.452860e+04   -8.876161e+00   -1.211910e+02    5.949372e+02
  33   -2.582052e+02    7.939960e+00    2.176009e+04   -3.868012e+00   -4.124189e+01    5.566867e+02
  34   -3.127770e+02   -1.902501e+01    1.884240e+04    1.558346e+01   -4.650990e+01    4.829013e+02
  35   -3.160694e+02   -3.015315e+01    1.570252e+04    2.125731e+01   -3.398081e+01    3.970783e+02
  36   -3.465517e+02   -4.072908e+01    1.277423e+04    2.640209e+01   -2.052569e+01    3.023136e+02
  37   -2.979831e+02   -3.903870e+01    1.013783e+04    2.200362e+01   -2.144965e+00    2.141859e+02
  38   -1.947656e+02   -2.712852e+01    7.956945e+03    1.489302e+01    3.513840e+00    1.513317e+02
  39   -1.510141e+02   -2.337716e+01    6.376721e+03    1.366686e+01   -3.323240e-01    1.063475e+02
  40   -1.187432e+02   -1.864890e+01    4.964313e+03    9.533486e+00    1.944112e+00    7.080040e+01
  41   -9.131834e+01   -1.344561e+01    3.965451e+03    9.118633e+00    1.460050e+00    4.751221e+01
  42   -6.794864e+01   -1.077519e+01    3.109532e+03    7.060480e+00    9.096517e-01    2.748322e+01
  43   -3.481200e+01   -1.227804e+01    2.321889e+03    8.021735e+00    3.316711e+00    1.185092e+01
  44   -1.486314e+01   -1.184843e+01    1.619955e+03    6.439738e+00   -2.275570e-01    5.867527e+00
  45   -1.186208e+01   -7.857490e+00    1.045761e+03    4.179478e+00    1.308359e+00    3.597123e+00
  46   -9.197789e+00   -4.867596e+00    6.288050e+02    2.441409e+00    1.190675e+00    2.000075e+00
  47   -6.785852e+00   -2.770565e+00    3.460702e+02    1.247088e+00    7.329626e-01    1.014455e+00
  48   -4.486847e+00   -1.405834e+00    1.691719e+02    5.360933e-01    3.616845e-01    4.458832e-01
  49   -2.097320e+00   -6.973185e-01    6.559933e+01    1.879034e-01    1.493588e-01    1.628479e-01
  50   -1.116320e+01   -2.154392e+00    1.497226e+01    8.733233e-03    3.824909e-02   -1.972713e-01
