# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00   -1.555277e-17   -2.316304e-17   -6.877990e-16   -2.299914e+01    8.141843e+01   -1.892270e+00   -2.550612e+00    1.355601e+00    8.932807e+01
   2   -2.299914e+01    8.141843e+01   -1.892270e+00   -2.550612e+00    1.355601e+00    8.932807e+01   -2.529043e+01    8.208183e+01   -2.047814e+00   -2.635957e+00    1.412517e+00    8.917141e+01
   3   -2.529043e+01    8.208183e+01   -2.047814e+00   -2.635957e+00    1.412517e+00    8.917141e+01   -2.917078e+01    8.326235e+01   -2.314238e+00   -2.770474e+00    1.503921e+00    8.903014e+01
   4   -2.917078e+01    8.326235e+01   -2.314238e+00   -2.770474e+00    1.503921e+00    8.903014e+01   -3.483210e+01    8.512411e+01   -2.702294e+00   -2.943291e+00    1.624478e+00    8.911067e+01
   5   -3.483210e+01    8.512411e+01   -2.702294e+00   -2.943291e+00    1.624478e+00    8.911067e+01   -4.257796e+01    8.786349e+01   -3.219894e+00   -3.135174e+00    1.764767e+00    8.961410e+01
   6   -4.257796e+01    8.786349e+01   -3.219894e+00   -3.135174e+00    1.764767e+00    8.961410e+01   -4.625012e+01    9.789365e+01   -3.856047e+00   -3.382232e+00    1.958065e+00    9.027659e+01
   7   -4.625012e+01    9.789365e+01   -3.856047e+00   -3.382232e+00    1.958065e+00    9.027659e+01   -2.862879e+01    1.306392e+02   -4.313125e+00   -3.949576e+00    2.349856e+00    9.738993e+01
   8   -2.862879e+01    1.306392e+02   -4.313125e+00   -3.949576e+00    2.349856e+00    9.738993e+01    1.941537e+01    1.980028e+02   -4.182276e+00   -5.918707e+00    3.524975e+00    1.394076e+02
   9    1.941537e+01    1.980028e+02   -4.182276e+00   -5.918707e+00    3.524975e+00    1.394076e+02    1.438964e+02    3.516282e+02   -2.831501e+00   -1.378420e+01    8.186065e+00    3.160710e+02
  10    1.438964e+02    3.516282e+02   -2.831501e+00   -1.378420e+01    8.186065e+00    3.160710e+02    3.701263e+02    7.138448e+02   -2.128824e+00   -3.926473e+01    2.302132e+01    8.928605e+02
  11    3.701263e+02    7.138448e+02   -2.128824e+00   -3.926473e+01    2.302132e+01    8.928605e+02    4.938935e+02    1.055373e+03   -4.796570e+00   -5.603778e+01    3.212128e+01    1.297433e+03
  12    4.938935e+02    1.055373e+03   -4.796570e+00   -5.603778e+01    3.212128e+01    1.297433e+03    5.367267e+02    1.276498e+03   -6.800857e+00   -5.961099e+01    3.287461e+01    1.465926e+03
  13    5.367267e+02    1.276498e+03   -6.800857e+00   -5.961099e+01    3.287461e+01    1.465926e+03    5.652024e+02    1.521963e+03   -8.307839e+00   -5.982797e+01    3.120867e+01    1.647062e+03
  14    5.652024e+02    1.521963e+03   -8.307839e+00   -5.982797e+01    3.120867e+01    1.647062e+03    6.035119e+02    1.809044e+03   -1.415912e+01   -5.021104e+01    3.092835e+01    1.811396e+03
  15    6.035119e+02    1.809044e+03   -1.415912e+01   -5.021104e+01    3.092835e+01    1.811396e+03    6.257986e+02    2.078588e+03   -2.418175e+01   -2.905967e+01    3.173718e+01    1.975995e+03
  16    6.257986e+02    2.078588e+03   -2.418175e+01   -2.905967e+01    3.173718e+01    1.975995e+03    6.344277e+02    2.336681e+03   -3.645792e+01   -8.143697e+00    3.519606e+01    2.114092e+03
  17    6.344277e+02    2.336681e+03   -3.645792e+01   -8.143697e+00    3.519606e+01    2.114092e+03    6.332729e+02    2.584886e+03   -5.285643e+01    7.392264e+00    4.376229e+01    2.228713e+03
  18    6.332729e+02    2.584886e+03   -5.285643e+01    7.392264e+00    4.376229e+01    2.228713e+03    6.306246e+02    2.826094e+03   -7.137348e+01    1.805089e+01    5.445019e+01    2.315492e+03
  19    6.306246e+02    2.826094e+03   -7.137348e+01    1.805089e+01    5.445019e+01    2.315492e+03    6.276626e+02    3.073775e+03   -9.363432e+01    2.554395e+01    6.753172e+01    2.388123e+03
  20    6.276626e+02    3.073775e+03   -9.363432e+01    2.554395e+01    6.753172e+01    2.388123e+03    6.248650e+02    3.323865e+03   -1.163625e+02    2.880209e+01    8.050243e+01    2.454198e+03
  21    6.248650e+02    3.323865e+03   -1.163625e+02    2.880209e+01    8.050243e+01    2.454198e+03    6.222092e+02    3.577168e+03   -1.312268e+02    2.835089e+01    8.749659e+01    2.519533e+03
  22    6.222092e+02    3.577168e+03   -1.312268e+02    2.835089e+01    8.749659e+01    2.519533e+03    6.197826e+02    3.839184e+03   -1.422138e+02    2.965155e+01    9.125373e+01    2.592697e+03
  23    6.197826e+02    3.839184e+03   -1.422138e+02    2.965155e+01    9.125373e+01    2.592697e+03    6.174620e+02    4.101690e+03   -1.542882e+02    3.327798e+01    9.512621e+01    2.662070e+03
  24    6.174620e+02    4.101690e+03   -1.542882e+02    3.327798e+01    9.512621e+01    2.662070e+03    6.150185e+02    4.365163e+03   -1.772076e+02    3.782412e+01    1.055043e+02    2.730164e+03
  25    6.150185e+02    4.365163e+03   -1.772076e+02    3.782412e+01    1.055043e+02    2.730164e+03    6.122953e+02    4.631805e+03   -2.128194e+02    4.295114e+01    1.229004e+02    2.798380e+03
  26    6.122953e+02    4.631805e+03   -2.128194e+02    4.295114e+01    1.229004e+02    2.798380e+03    6.102105e+02    4.898389e+03   -2.327045e+02    4.733669e+01    1.302369e+02    2.865593e+03
  27    6.102105e+02    4.898389e+03   -2.327045e+02    4.733669e+01    1.302369e+02    2.865593e+03    6.084816e+02    5.161891e+03   -2.508819e+02    5.131980e+01    1.363157e+02    2.929162e+03
  28    6.084816e+02    5.161891e+03   -2.508819e+02    5.131980e+01    1.363157e+02    2.929162e+03    6.065116e+02    5.421223e+03   -2.802032e+02    5.525446e+01    1.481994e+02    2.986884e+03
  29    6.065116e+02    5.421223e+03   -2.802032e+02    5.525446e+01    1.481994e+02    2.986884e+03    6.038918e+02    5.675776e+03   -3.245566e+02    5.900923e+01    1.674770e+02    3.038598e+03
  30    6.038918e+02    5.675776e+03   -3.245566e+02    5.900923e+01    1.674770e+02    3.038598e+03    6.007729e+02    5.924508e+03   -3.826951e+02    6.206914e+01    1.933271e+02    3.090339e+03
  31    6.007729e+02    5.924508e+03   -3.826951e+02    6.206914e+01    1.933271e+02    3.090339e+03    5.975577e+02    6.184275e+03   -4.380930e+02    6.451123e+01    2.172130e+02    3.154249e+03
  32    5.975577e+02    6.184275e+03   -4.380930e+02    6.451123e+01    2.172130e+02    3.154249e+03    5.932555e+02    6.462756e+03   -4.955235e+02    6.619966e+01    2.408192e+02    3.220087e+03
  33    5.932555e+02    6.462756e+03   -4.955235e+02    6.619966e+01    2.408192e+02    3.220087e+03    5.868359e+02    6.735874e+03   -5.579125e+02    6.694203e+01    2.643333e+02    3.261801e+03
  34    5.868359e+02    6.735874e+03   -5.579125e+02    6.694203e+01    2.643333e+02    3.261801e+03    5.779598e+02    6.974114e+03   -6.275537e+02    6.693614e+01    2.873523e+02    3.255042e+03
  35    5.779598e+02    6.974114e+03   -6.275537e+02    6.693614e+01    2.873523e+02    3.255042e+03    5.672830e+02    7.135882e+03   -7.012183e+02    6.641947e+01    3.089409e+02    3.197640e+03
  36    5.672830e+02    7.135882e+03   -7.012183e+02    6.641947e+01    3.089409e+02    3.197640e+03    5.547403e+02    7.207032e+03   -7.678614e+02    6.506396e+01    3.239693e+02    3.087733e+03
  37    5.547403e+02    7.207032e+03   -7.678614e+02    6.506396e+01    3.239693e+02    3.087733e+03    5.396403e+02    7.193352e+03   -8.185748e+02    6.272064e+01    3.293706e+02    2.935743e+03
  38    5.396403e+02    7.193352e+03   -8.185748e+02    6.272064e+01    3.293706e+02    2.935743e+03    5.209823e+02    7.114637e+03   -8.541983e+02    5.913551e+01    3.270462e+02    2.760042e+03
  39    5.209823e+02    7.114637e+03   -8.541983e+02    5.913551e+01    3.270462e+02    2.760042e+03    4.983995e+02    6.986143e+03   -8.731853e+02    5.375631e+01    3.178189e+02    2.573475e+03
  40    4.983995e+02    6.986143e+03   -8.731853e+02    5.375631e+01    3.178189e+02    2.573475e+03    4.714760e+02    6.807653e+03   -8.766947e+02    4.879950e+01    3.029611e+02    2.378777e+03
  41    4.714760e+02    6.807653e+03   -8.766947e+02    4.879950e+01    3.029611e+02    2.378777e+03    4.396208e+02    6.583684e+03   -8.696140e+02    4.702239e+01    2.848099e+02    2.180013e+03
  42    4.396208e+02    6.583684e+03   -8.696140e+02    4.702239e+01    2.848099e+02    2.180013e+03    4.019927e+02    6.324804e+03   -8.549401e+02    5.288882e+01    2.647480e+02    1.983461e+03
  43    4.019927e+02    6.324804e+03   -8.549401e+02    5.288882e+01    2.647480e+02    1.983461e+03    3.571344e+02    6.025618e+03   -8.287083e+02    7.005552e+01    2.416298e+02    1.787104e+03
  44    3.571344e+02    6.025618e+03   -8.287083e+02    7.005552e+01    2.416298e+02    1.787104e+03    3.037876e+02    5.673746e+03   -7.859726e+02    8.049957e+01    2.154170e+02    1.586157e+03
  45    3.037876e+02    5.673746e+03   -7.859726e+02    8.049957e+01    2.154170e+02    1.586157e+03    2.407278e+02    5.247393e+03   -7.260688e+02    7.655320e+01    1.860576e+02    1.370043e+03
  46    2.407278e+02    5.247393e+03   -7.260688e+02    7.655320e+01    1.860576e+02    1.370043e+03    1.698247e+02    4.667425e+03   -6.422721e+02    6.356722e+01    1.491557e+02    1.100731e+03
  47    1.698247e+02    4.667425e+03   -6.422721e+02    6.356722e+01    1.491557e+02    1.100731e+03    9.826996e+01    3.759019e+03   -5.137387e+02    4.207828e+01    9.799403e+01    7.250699e+02
  48    9.826996e+01    3.759019e+03   -5.137387e+02    4.207828e+01    9.799403e+01    7.250699e+02    3.238384e+01    2.449967e+03   -3.323842e+02    1.804797e+01    4.201005e+01    3.114098e+02
  49    3.238384e+01    2.449967e+03   -3.323842e+02    1.804797e+01    4.201005e+01    3.114098e+02    0.000000e+00    0.000000e+00    0.000000e+00   -1.555277e-17   -2.316304e-17   -6.877990e-16
