# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00   -3.156727e-17   -4.317825e-17   -1.567745e-15   -3.323161e+01    1.743903e+02   -3.598057e+00   -5.701435e+00    3.034305e+00    1.997248e+02
   2   -3.323161e+01    1.743903e+02   -3.598057e+00   -5.701435e+00    3.034305e+00    1.997248e+02   -3.638678e+01    1.751061e+02   -3.857538e+00   -5.884703e+00    3.165752e+00    1.992120e+02
   3   -3.638678e+01    1.751061e+02   -3.857538e+00   -5.884703e+00    3.165752e+00    1.992120e+02   -4.166815e+01    1.763954e+02   -4.293873e+00   -6.170190e+00    3.376007e+00    1.985649e+02
   4   -4.166815e+01    1.763954e+02   -4.293873e+00   -6.170190e+00    3.376007e+00    1.985649e+02   -4.922146e+01    1.784630e+02   -4.909973e+00   -6.528487e+00    3.650417e+00    1.981286e+02
   5   -4.922146e+01    1.784630e+02   -4.909973e+00   -6.528487e+00    3.650417e+00    1.981286e+02   -5.928062e+01    1.815567e+02   -5.697891e+00   -6.910691e+00    3.965039e+00    1.982399e+02
   6   -5.928062e+01    1.815567e+02   -5.697891e+00   -6.910691e+00    3.965039e+00    1.982399e+02   -6.212425e+01    1.975134e+02   -6.690662e+00   -7.280200e+00    4.325587e+00    1.952929e+02
   7   -6.212425e+01    1.975134e+02   -6.690662e+00   -7.280200e+00    4.325587e+00    1.952929e+02   -3.387655e+01    2.494311e+02   -7.551260e+00   -7.643907e+00    4.706993e+00    1.897722e+02
   8   -3.387655e+01    2.494311e+02   -7.551260e+00   -7.643907e+00    4.706993e+00    1.897722e+02    3.115686e+01    3.377764e+02   -7.556133e+00   -8.275266e+00    5.164614e+00    1.967479e+02
   9    3.115686e+01    3.377764e+02   -7.556133e+00   -8.275266e+00    5.164614e+00    1.967479e+02    1.496685e+02    4.794214e+02   -6.610606e+00   -1.013769e+01    6.411510e+00    2.354584e+02
  10    1.496685e+02    4.794214e+02   -6.610606e+00   -1.013769e+01    6.411510e+00    2.354584e+02    3.816001e+02    7.402724e+02   -3.946020e+00   -1.987454e+01    1.269697e+01    4.599809e+02
  11    3.816001e+02    7.402724e+02   -3.946020e+00   -1.987454e+01    1.269697e+01    4.599809e+02    6.090573e+02    1.055696e+03   -3.039045e+00   -3.317431e+01    2.140482e+01    7.870633e+02
