# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    2.355654e+00    6.301725e+01    5.336354e+02   -4.806473e-01    3.333324e-01   -2.188804e-02
   2    4.391098e+00    1.675703e+00    2.165009e+03   -1.274394e+00    2.696788e+00   -9.377271e-02
   3    3.078353e+00    2.661472e+00    4.438784e+03   -2.353730e+00    5.578720e+00   -1.792268e-01
   4   -9.530080e+00    9.113870e+00    6.907191e+03   -3.962589e+00    8.801503e+00   -2.809645e-01
   5   -4.647026e+01    1.513210e+01    9.609116e+03   -2.222091e+00    1.736257e+01   -2.471288e-01
   6    1.272557e+02   -1.794750e+01    1.240046e+04    7.099611e-01    1.952829e+01   -2.540831e+00
   7    1.871951e+02   -5.386808e+01    1.510807e+04    5.180741e+00    2.187569e+01   -7.835465e+00
   8    1.898559e+02   -6.525311e+01    1.765646e+04    5.469051e+00    2.514898e+01   -1.829824e+01
   9    1.568050e+02   -6.440406e+01    1.997786e+04    5.105758e-01    1.837642e+01   -2.674680e+01
  10    1.340353e+01    2.743031e+00    2.267270e+04    3.386746e+00    2.642033e+01   -3.044969e+01
  11   -2.938226e+02    2.697070e+01    2.606816e+04   -2.910139e+00   -6.889369e+01   -4.620718e+01
  12   -6.970024e+02    4.748803e+01    2.730926e+04   -3.535534e+00   -1.515411e+01   -3.663860e+01
  13   -7.743894e+02    4.275732e+01    2.635823e+04   -2.727916e+01   -1.035553e+01    2.120548e+00
  14   -6.295010e+02    3.548900e+01    2.520822e+04   -2.946400e+01   -2.555732e+01   -1.110838e+01
  15   -6.558208e+02    2.908164e+01    2.364643e+04   -2.313912e+01   -7.035675e+01   -1.062493e+01
  16   -6.069973e+02    3.574208e+01    2.276076e+04   -2.783239e+01   -6.670001e+01    1.177706e+01
  17   -5.901476e+02    2.704038e+01    2.300924e+04   -7.320125e+00   -4.649164e+01    5.147772e+01
  18   -5.051922e+02    7.580173e+00    2.397869e+04   -1.148704e+01   -5.210367e+01    1.106852e+01
  19   -4.732272e+02    3.541938e+00    2.554511e+04   -8.583851e+00   -1.574821e+01    1.693294e+01
  20   -4.270816e+02   -1.203990e+00    2.729089e+04   -1.053171e+01   -2.455201e+01    1.461594e+01
  21   -3.374526e+02   -1.452472e+01    2.907184e+04   -2.406790e+01    1.967538e+01    1.496007e+01
  22   -2.965928e+02   -1.697740e+01    3.065316e+04   -7.134651e+01   -1.232389e+01    3.313327e+01
  23   -3.479246e+02   -4.243488e+00    3.185875e+04   -7.517842e+01   -1.766327e+01    7.602564e+01
  24   -2.997210e+02    1.037265e+01    3.275133e+04   -1.013719e+02   -2.150508e+00    1.255989e+02
  25   -2.570451e+02    2.412755e+01    3.336244e+04   -4.016541e+01   -2.817515e+01    1.669061e+02
  26   -2.838967e+02    2.693411e+01    3.370604e+04   -7.652352e+01   -2.766799e+01    1.839788e+02
  27   -4.724075e+01    1.802213e+01    3.360325e+04   -1.107212e+02    1.316942e+02    2.208250e+02
  28    2.551651e+02    1.162536e+01    3.249246e+04   -7.453951e+01   -1.847172e+01    3.009509e+02
  29    3.468780e+02    8.761597e+00    3.073822e+04   -5.291019e+01   -1.711824e+01    4.174618e+02
  30    2.437892e+02    1.139743e+01    2.857671e+04   -1.116595e+01   -1.187084e+02    5.254484e+02
  31   -8.699003e+00    2.483024e+01    2.652908e+04   -1.721073e+01   -4.984330e+01    5.895736e+02
  32   -1.883966e+02    1.054123e+01    2.453874e+04   -8.889910e+00   -1.215378e+02    5.969505e+02
  33   -3.058888e+02    7.931629e+00    2.177026e+04   -3.885207e+00   -4.110014e+01    5.588740e+02
  34   -3.557409e+02   -1.904245e+01    1.885229e+04    1.557157e+01   -4.605376e+01    4.851040e+02
  35   -3.532452e+02   -3.017684e+01    1.571174e+04    2.125202e+01   -3.337761e+01    3.990867e+02
  36   -3.778575e+02   -4.075738e+01    1.278260e+04    2.640813e+01   -1.975008e+01    3.040259e+02
  37   -3.236767e+02   -3.906572e+01    1.014519e+04    2.201136e+01   -1.298706e+00    2.155399e+02
  38   -2.155045e+02   -2.714851e+01    7.963327e+03    1.490150e+01    4.147708e+00    1.523602e+02
  39   -1.680022e+02   -2.339348e+01    6.382322e+03    1.367595e+01    2.471157e-01    1.071430e+02
  40   -1.322881e+02   -1.866479e+01    4.969048e+03    9.540526e+00    2.404675e+00    7.138940e+01
  41   -1.023240e+02   -1.345613e+01    3.969517e+03    9.127421e+00    1.830536e+00    4.795725e+01
  42   -7.672129e+01   -1.078410e+01    3.112927e+03    7.067322e+00    1.215664e+00    2.781027e+01
  43   -4.153130e+01   -1.229346e+01    2.324566e+03    8.032687e+00    3.580733e+00    1.207741e+01
  44   -1.955184e+01   -1.186127e+01    1.621911e+03    6.451317e+00   -2.909746e-02    6.002950e+00
  45   -1.492040e+01   -7.865900e+00    1.047075e+03    4.187401e+00    1.438445e+00    3.671464e+00
  46   -1.105494e+01   -4.872887e+00    6.296202e+02    2.446022e+00    1.267288e+00    2.037826e+00
  47   -7.818288e+00   -2.773653e+00    3.465297e+02    1.249406e+00    7.724547e-01    1.031940e+00
  48   -4.996843e+00   -1.407442e+00    1.694003e+02    5.370780e-01    3.788780e-01    4.530674e-01
  49   -2.292355e+00   -6.981406e-01    6.568861e+01    1.882418e-01    1.555172e-01    1.652473e-01
  50   -1.121721e+01   -2.157025e+00    1.499254e+01    8.762616e-03    3.891486e-02   -1.971306e-01
