# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    2.284982e+00    6.299518e+01    5.336338e+02   -4.810287e-01    3.333639e-01   -8.727493e-03
   2    4.382927e+00    1.679298e+00    2.165008e+03   -1.274468e+00    2.695806e+00   -9.451193e-02
   3    3.066292e+00    2.669370e+00    4.438783e+03   -2.353716e+00    5.575337e+00   -1.815423e-01
   4   -9.555702e+00    9.099311e+00    6.907190e+03   -3.957712e+00    8.812489e+00   -2.837641e-01
   5   -4.574908e+01    1.406150e+01    9.609160e+03   -1.926608e+00    1.730635e+01   -2.500275e-01
   6    1.270646e+02   -2.543417e+01    1.240060e+04    1.135819e+00    1.945996e+01   -2.446406e+00
   7    1.853175e+02   -6.368060e+01    1.510822e+04    5.500058e+00    2.184328e+01   -7.279036e+00
   8    1.874145e+02   -7.662539e+01    1.765663e+04    5.671335e+00    2.521615e+01   -1.696094e+01
   9    1.544861e+02   -7.632675e+01    1.997797e+04    4.283214e-01    1.853700e+01   -2.443228e+01
  10    1.346093e+01   -6.888727e+00    2.267282e+04    2.943377e+00    2.683842e+01   -2.712758e+01
  11   -2.915419e+02    2.406417e+01    2.606805e+04   -6.433747e+00   -6.863430e+01   -4.223540e+01
  12   -6.926640e+02    5.431284e+01    2.730900e+04   -4.784534e+00   -1.525090e+01   -3.357673e+01
  13   -7.689421e+02    5.010081e+01    2.635786e+04   -2.746037e+01   -1.055218e+01    4.666283e+00
  14   -6.233865e+02    3.710962e+01    2.520795e+04   -2.984887e+01   -2.561527e+01   -9.193441e+00
  15   -6.488116e+02    3.225740e+01    2.364620e+04   -2.358714e+01   -7.037330e+01   -9.485944e+00
  16   -5.983716e+02    3.787202e+01    2.276050e+04   -2.791630e+01   -6.652048e+01    1.171910e+01
  17   -5.798121e+02    2.906019e+01    2.300903e+04   -6.865212e+00   -4.637378e+01    5.015876e+01
  18   -4.929897e+02    7.213565e+00    2.397840e+04   -1.142715e+01   -5.159660e+01    8.913012e+00
  19   -4.578867e+02    2.640979e+00    2.554470e+04   -8.173614e+00   -1.507911e+01    1.410237e+01
  20   -4.080125e+02   -2.973967e+00    2.729028e+04   -1.045649e+01   -2.361904e+01    1.178905e+01
  21   -3.144923e+02   -1.842317e+01    2.907086e+04   -2.331155e+01    2.060704e+01    1.199193e+01
  22   -2.689255e+02   -2.120236e+01    3.065165e+04   -7.182467e+01   -1.099221e+01    3.032304e+01
  23   -3.148881e+02   -5.602794e+00    3.185690e+04   -7.529523e+01   -1.622372e+01    7.335505e+01
  24   -2.612718e+02    8.484623e+00    3.274904e+04   -1.008580e+02   -2.145914e-01    1.230127e+02
  25   -2.132276e+02    2.197046e+01    3.335999e+04   -4.036500e+01   -2.636278e+01    1.641472e+02
  26   -2.351082e+02    2.697766e+01    3.370305e+04   -7.677961e+01   -2.581732e+01    1.811978e+02
  27    5.412549e+00    1.121267e+01    3.359933e+04   -1.055934e+02    1.331134e+02    2.180467e+02
  28    3.099628e+02   -3.599637e+00    3.248775e+04   -7.472686e+01   -1.709655e+01    2.978284e+02
  29    4.027131e+02   -7.477162e+00    3.073298e+04   -5.286506e+01   -1.609800e+01    4.138676e+02
  30    2.997712e+02    6.628215e-01    2.857174e+04   -1.441623e+01   -1.176690e+02    5.215071e+02
  31    4.757740e+01    2.410506e+01    2.652429e+04   -1.787733e+01   -4.898285e+01    5.856919e+02
  32   -1.332767e+02    1.692879e+01    2.453418e+04   -1.198065e+01   -1.210350e+02    5.934542e+02
  33   -2.539496e+02    1.876002e+01    2.176609e+04   -4.202613e+00   -4.090946e+01    5.559335e+02
  34   -3.090729e+02   -6.235237e+00    1.884862e+04    1.497042e+01   -4.643354e+01    4.827357e+02
  35   -3.127493e+02   -1.737501e+01    1.570859e+04    2.097188e+01   -3.388134e+01    3.972220e+02
  36   -3.437800e+02   -2.711821e+01    1.278006e+04    2.641643e+01   -2.041474e+01    3.025674e+02
  37   -2.955934e+02   -2.740414e+01    1.014301e+04    2.244868e+01   -1.994329e+00    2.144518e+02
  38   -1.924331e+02   -1.933835e+01    7.961338e+03    1.540066e+01    3.655576e+00    1.515831e+02
  39   -1.488646e+02   -1.729144e+01    6.380583e+03    1.390967e+01   -2.324394e-01    1.065811e+02
  40   -1.168838e+02   -1.385986e+01    4.967600e+03    9.756815e+00    2.044176e+00    7.103273e+01
  41   -8.959115e+01   -9.747975e+00    3.968283e+03    9.298596e+00    1.492692e+00    4.772041e+01
  42   -6.647784e+01   -8.005329e+00    3.111900e+03    7.208283e+00    9.643511e-01    2.764828e+01
  43   -3.385508e+01   -1.075814e+01    2.323708e+03    8.247814e+00    3.292008e+00    1.194412e+01
  44   -1.421392e+01   -1.110059e+01    1.621261e+03    6.475413e+00   -2.578366e-01    5.878084e+00
  45   -1.142312e+01   -7.286578e+00    1.046654e+03    4.202635e+00    1.291411e+00    3.572543e+00
  46   -8.927181e+00   -4.446858e+00    6.293685e+02    2.455942e+00    1.181836e+00    1.975050e+00
  47   -6.636781e+00   -2.477014e+00    3.463943e+02    1.255980e+00    7.289724e-01    9.976457e-01
  48   -4.415673e+00   -1.221364e+00    1.693371e+02    5.412715e-01    3.602955e-01    4.369587e-01
  49   -2.071316e+00   -6.112925e-01    6.566550e+01    1.905211e-01    1.490339e-01    1.591241e-01
  50   -1.122623e+01   -1.762229e+00    1.502709e+01    9.035059e-03    3.829726e-02   -1.983102e-01
