# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    2.653869e-14   -2.285288e-17    1.290026e-13   -2.279055e+01    8.022852e+01   -1.867820e+00   -2.453306e+00    1.303405e+00    8.591964e+01
   2   -2.279055e+01    8.022852e+01   -1.867820e+00   -2.453306e+00    1.303405e+00    8.591964e+01   -2.506301e+01    8.088347e+01   -2.020786e+00   -2.532092e+00    1.355418e+00    8.565616e+01
   3   -2.506301e+01    8.088347e+01   -2.020786e+00   -2.532092e+00    1.355418e+00    8.565616e+01   -2.891770e+01    8.205360e+01   -2.283055e+00   -2.655587e+00    1.438458e+00    8.533485e+01
   4   -2.891770e+01    8.205360e+01   -2.283055e+00   -2.655587e+00    1.438458e+00    8.533485e+01   -3.454652e+01    8.390116e+01   -2.665339e+00   -2.812605e+00    1.546864e+00    8.514842e+01
   5   -3.454652e+01    8.390116e+01   -2.665339e+00   -2.812605e+00    1.546864e+00    8.514842e+01   -4.225411e+01    8.662104e+01   -3.175566e+00   -2.983803e+00    1.670844e+00    8.527873e+01
   6   -4.225411e+01    8.662104e+01   -3.175566e+00   -2.983803e+00    1.670844e+00    8.527873e+01   -4.544496e+01    9.639779e+01   -3.779280e+00   -3.219790e+00    1.850883e+00    8.592755e+01
   7   -4.544496e+01    9.639779e+01   -3.779280e+00   -3.219790e+00    1.850883e+00    8.592755e+01   -2.515975e+01    1.292957e+02   -4.111788e+00   -3.948957e+00    2.327470e+00    9.735100e+01
   8   -2.515975e+01    1.292957e+02   -4.111788e+00   -3.948957e+00    2.327470e+00    9.735100e+01    2.882414e+01    1.981338e+02   -3.723039e+00   -6.339215e+00    3.726754e+00    1.492527e+02
   9    2.882414e+01    1.981338e+02   -3.723039e+00   -6.339215e+00    3.726754e+00    1.492527e+02    1.796002e+02    3.784335e+02   -1.798688e+00   -1.838714e+01    1.072896e+01    4.213423e+02
  10    1.796002e+02    3.784335e+02   -1.798688e+00   -1.838714e+01    1.072896e+01    4.213423e+02    3.825909e+02    7.320981e+02   -1.595625e+00   -4.145579e+01    2.371704e+01    9.416964e+02
  11    3.825909e+02    7.320981e+02   -1.595625e+00   -4.145579e+01    2.371704e+01    9.416964e+02    4.724810e+02    9.987371e+02   -3.478953e+00   -5.258058e+01    2.910842e+01    1.215402e+03
  12    4.724810e+02    9.987371e+02   -3.478953e+00   -5.258058e+01    2.910842e+01    1.215402e+03    5.110142e+02    1.195042e+03   -4.631507e+00   -5.455857e+01    2.851634e+01    1.338231e+03
  13    5.110142e+02    1.195042e+03   -4.631507e+00   -5.455857e+01    2.851634e+01    1.338231e+03    5.420540e+02    1.428410e+03   -5.124590e+00   -5.408788e+01    2.584605e+01    1.483085e+03
  14    5.420540e+02    1.428410e+03   -5.124590e+00   -5.408788e+01    2.584605e+01    1.483085e+03    5.779560e+02    1.669844e+03   -9.155913e+00   -4.515098e+01    2.449448e+01    1.617170e+03
  15    5.779560e+02    1.669844e+03   -9.155913e+00   -4.515098e+01    2.449448e+01    1.617170e+03    6.008379e+02    1.904454e+03   -1.701617e+01   -2.612012e+01    2.383321e+01    1.745122e+03
  16    6.008379e+02    1.904454e+03   -1.701617e+01   -2.612012e+01    2.383321e+01    1.745122e+03    6.101974e+02    2.128968e+03   -2.691975e+01   -7.485532e+00    2.551805e+01    1.848437e+03
  17    6.101974e+02    2.128968e+03   -2.691975e+01   -7.485532e+00    2.551805e+01    1.848437e+03    6.090203e+02    2.341354e+03   -3.962893e+01    6.011879e+00    3.106377e+01    1.927699e+03
  18    6.090203e+02    2.341354e+03   -3.962893e+01    6.011879e+00    3.106377e+01    1.927699e+03    6.053290e+02    2.543891e+03   -5.365691e+01    1.492286e+01    3.824290e+01    1.981460e+03
  19    6.053290e+02    2.543891e+03   -5.365691e+01    1.492286e+01    3.824290e+01    1.981460e+03    6.014225e+02    2.751176e+03   -7.048840e+01    2.117414e+01    4.720138e+01    2.022942e+03
  20    6.014225e+02    2.751176e+03   -7.048840e+01    2.117414e+01    4.720138e+01    2.022942e+03    5.974951e+02    2.958751e+03   -8.687082e+01    2.377834e+01    5.562077e+01    2.057946e+03
  21    5.974951e+02    2.958751e+03   -8.687082e+01    2.377834e+01    5.562077e+01    2.057946e+03    5.935610e+02    3.166779e+03   -9.555901e+01    2.327807e+01    5.873336e+01    2.090986e+03
  22    5.935610e+02    3.166779e+03   -9.555901e+01    2.327807e+01    5.873336e+01    2.090986e+03    5.902112e+02    3.381561e+03   -1.003117e+02    2.424804e+01    5.898481e+01    2.131079e+03
  23    5.902112e+02    3.381561e+03   -1.003117e+02    2.424804e+01    5.898481e+01    2.131079e+03    5.870121e+02    3.596216e+03   -1.055372e+02    2.719290e+01    5.923663e+01    2.169759e+03
  24    5.870121e+02    3.596216e+03   -1.055372e+02    2.719290e+01    5.923663e+01    2.169759e+03    5.840012e+02    3.812186e+03   -1.195908e+02    3.091624e+01    6.458918e+01    2.209879e+03
  25    5.840012e+02    3.812186e+03   -1.195908e+02    3.091624e+01    6.458918e+01    2.209879e+03    5.812801e+02    4.032077e+03   -1.432081e+02    3.516974e+01    7.494352e+01    2.252816e+03
