# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    1.811464e+00    6.898638e+01    5.335064e+02   -4.883680e-01    3.333278e-01   -3.196026e-02
   2    4.377014e+00    9.348924e-01    2.165019e+03   -1.274245e+00    2.696276e+00   -1.259289e-01
   3    3.049081e+00    1.063930e+00    4.438804e+03   -2.344012e+00    5.578760e+00   -2.202756e-01
   4   -9.413877e+00    7.166799e+00    6.907102e+03   -2.676556e+00    8.488756e+00   -2.663307e-01
   5   -3.745738e+01   -6.018516e+00    9.610338e+03   -4.243199e+00    1.356033e+00   -1.442274e-01
   6   -7.798903e+01   -1.252801e+01    1.239561e+04   -4.959001e+00   -1.960877e+00    1.593332e-01
   7   -1.256874e+02   -1.925800e+00    1.510015e+04   -1.339107e-01    7.532967e+00    9.575804e-01
   8   -1.945147e+02    1.020787e+01    1.764571e+04    1.411272e+00    3.446414e+00    2.885116e+00
   9   -2.794824e+02    2.094259e+01    1.996403e+04    1.117765e+01    3.374446e+01    6.394740e+00
  10   -2.097205e+02   -1.800798e+01    2.266300e+04    3.741932e+01    9.520671e+01    1.177287e+01
  11   -5.012155e+02    2.524252e+01    2.606546e+04   -7.047016e+01   -1.756138e+02    8.709671e+00
  12   -9.651976e+02    1.340325e+02    2.730555e+04   -2.220170e-01   -6.867924e+00    5.176119e+01
  13   -9.995163e+02    9.582719e+01    2.637894e+04   -3.039583e+01   -1.560063e+02    7.468582e+01
  14   -1.344326e+03    1.071192e+02    2.522944e+04   -1.857838e+01   -9.306020e+01    6.625780e+01
  15   -1.124460e+03    4.372276e+01    2.363489e+04    4.136863e+00    5.151439e+01    9.012680e+01
  16   -9.527046e+02    1.795803e+01    2.273498e+04   -1.536445e+01   -1.001651e+01    8.608359e+01
  17   -8.815960e+02    6.088724e-01    2.298859e+04   -3.870961e+00   -1.865460e+01    2.579789e+01
  18   -8.731844e+02   -1.363461e+01    2.397308e+04   -6.524575e+00   -4.541075e+01    3.622752e+01
  19   -7.711584e+02   -3.011774e+01    2.550946e+04   -1.675838e+00    9.832028e+01    3.647895e+00
  20   -6.124277e+02   -4.041577e+01    2.729792e+04   -1.248225e+01   -2.526153e+01   -3.026453e+01
  21   -5.955008e+02   -3.466558e+01    2.908486e+04   -3.545169e+01   -3.439712e+01   -6.844715e+01
  22   -5.483068e+02   -3.173057e+01    3.064201e+04   -6.602336e+01    4.562051e+01   -1.486883e+02
  23   -4.397303e+02   -3.485264e+01    3.185656e+04   -7.382558e+01    1.650385e+01   -2.576287e+02
  24   -3.923939e+02   -3.703859e+01    3.275788e+04   -8.253066e+01   -1.569973e+01   -3.594230e+02
  25   -3.397851e+02   -3.676713e+01    3.335526e+04   -3.976645e+01    3.169789e+01   -4.196005e+02
  26   -2.274150e+02   -3.726490e+01    3.369752e+04   -7.770137e+01    3.828374e+01   -4.532853e+02
  27   -4.045700e+00   -4.415301e+01    3.363211e+04   -1.135959e+02    5.011532e+01   -5.228651e+02
  28    2.681823e+02   -4.556923e+01    3.249305e+04   -8.437692e+01    2.965231e+01   -5.621853e+02
  29    4.395272e+02   -4.029100e+01    3.073481e+04   -6.517996e+01    5.349393e+01   -5.225728e+02
  30    4.193666e+02   -3.210159e+01    2.856066e+04   -1.865761e+01    2.205591e+01   -4.342798e+02
  31    2.620791e+02   -2.044734e+01    2.651901e+04   -2.568136e+01    3.688503e+01   -3.466966e+02
  32    2.064777e+02   -2.352440e+01    2.452585e+04   -2.164002e+01    2.282003e+01   -2.875454e+02
  33    1.645545e+02   -1.091217e+01    2.176117e+04   -1.645793e+01    1.971083e+01   -2.424192e+02
  34    1.517579e+02   -6.598980e+00    1.884467e+04   -1.510829e+00    1.636175e+01   -2.009358e+02
  35    1.354268e+02   -8.170195e-01    1.570505e+04    1.061496e+01    1.182138e+01   -1.624367e+02
  36    6.967572e+01    9.398275e-02    1.277714e+04    1.916873e+01    9.020655e+00   -1.305122e+02
  37    6.782871e+01    3.113764e+00    1.014166e+04    1.938424e+01    8.058825e+00   -1.081436e+02
  38    5.175367e+01    3.534075e+00    7.961005e+03    1.446681e+01    4.608555e+00   -8.894211e+01
  39    4.889346e+01    2.868080e+00    6.380659e+03    1.296481e+01    6.069578e+00   -7.256406e+01
  40    4.122730e+01    1.969949e+00    4.966308e+03    1.008302e+01    7.680940e+00   -5.882882e+01
  41    3.296722e+01    2.159912e+00    3.969486e+03    9.504749e+00    2.289151e+00   -4.654685e+01
  42    2.974637e+01    2.058965e+00    3.112919e+03    7.358144e+00    6.418316e-01   -3.633402e+01
  43    4.956087e+01    2.451579e+00    2.324705e+03    6.332904e+00    4.203313e+00   -2.576282e+01
  44    5.265614e+01    2.209123e+00    1.621563e+03    6.873181e+00   -2.266501e+00   -1.602759e+01
  45    3.449329e+01    1.540865e+00    1.046193e+03    4.405273e+00   -2.881524e-01   -8.054593e+00
  46    2.104639e+01    1.004657e+00    6.289375e+02    2.588692e+00    9.737361e-02   -3.650626e+00
  47    1.173908e+01    6.316380e-01    3.460353e+02    1.334760e+00    8.106188e-02   -1.469065e+00
  48    5.805493e+00    3.714651e-01    1.690985e+02    5.802913e-01    2.601895e-02   -5.166854e-01
  49    2.261972e+00    1.586402e-02    6.555647e+01    2.069389e-01    9.210168e-04   -1.244964e-01
  50    5.160161e+00   -2.221722e-02    1.449193e+01    2.136985e-02    2.427037e-04   -1.544791e-02
