# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.248811e+01    7.761196e+01   -1.816706e+00   -2.424048e+00    1.284447e+00    8.487929e+01
   2   -2.248811e+01    7.761196e+01   -1.816706e+00   -2.424048e+00    1.284447e+00    8.487929e+01   -2.475242e+01    7.825778e+01   -1.961570e+00   -2.506685e+00    1.331448e+00    8.474977e+01
   3   -2.475242e+01    7.825778e+01   -1.961570e+00   -2.506685e+00    1.331448e+00    8.474977e+01   -2.857678e+01    7.941311e+01   -2.209847e+00   -2.637053e+00    1.406668e+00    8.465127e+01
   4   -2.857678e+01    7.941311e+01   -2.209847e+00   -2.637053e+00    1.406668e+00    8.465127e+01   -3.413389e+01    8.124879e+01   -2.572010e+00   -2.804709e+00    1.505636e+00    8.478456e+01
   5   -3.413389e+01    8.124879e+01   -2.572010e+00   -2.804709e+00    1.505636e+00    8.478456e+01   -4.170298e+01    8.397729e+01   -3.055477e+00   -2.991131e+00    1.619786e+00    8.534323e+01
   6   -4.170298e+01    8.397729e+01   -3.055477e+00   -2.991131e+00    1.619786e+00    8.534323e+01   -4.523990e+01    9.382488e+01   -3.638723e+00   -3.235504e+00    1.783271e+00    8.620856e+01
   7   -4.523990e+01    9.382488e+01   -3.638723e+00   -3.235504e+00    1.783271e+00    8.620856e+01   -2.736582e+01    1.260790e+02   -3.980738e+00   -3.835771e+00    2.151077e+00    9.449871e+01
   8   -2.736582e+01    1.260790e+02   -3.980738e+00   -3.835771e+00    2.151077e+00    9.449871e+01    2.141656e+01    1.923711e+02   -3.622206e+00   -5.877715e+00    3.262764e+00    1.385292e+02
   9    2.141656e+01    1.923711e+02   -3.622206e+00   -5.877715e+00    3.262764e+00    1.385292e+02    1.595610e+02    3.540973e+02   -1.468959e+00   -1.527256e+01    8.337908e+00    3.509453e+02
  10    1.595610e+02    3.540973e+02   -1.468959e+00   -1.527256e+01    8.337908e+00    3.509453e+02    3.832551e+02    6.955298e+02    7.312851e-01   -3.914078e+01    2.062868e+01    8.930097e+02
  11    3.832551e+02    6.955298e+02    7.312851e-01   -3.914078e+01    2.062868e+01    8.930097e+02    5.229906e+02    1.003231e+03    1.213889e+00   -5.425941e+01    2.676279e+01    1.258690e+03
  12    5.229906e+02    1.003231e+03    1.213889e+00   -5.425941e+01    2.676279e+01    1.258690e+03    5.972966e+02    1.202350e+03    3.597266e+00   -5.790106e+01    2.453459e+01    1.413554e+03
  13    5.972966e+02    1.202350e+03    3.597266e+00   -5.790106e+01    2.453459e+01    1.413554e+03    6.717818e+02    1.429188e+03    8.995578e+00   -5.949936e+01    1.797034e+01    1.588291e+03
  14    6.717818e+02    1.429188e+03    8.995578e+00   -5.949936e+01    1.797034e+01    1.588291e+03    7.672935e+02    1.687135e+03    1.226437e+01   -5.243027e+01    1.113906e+01    1.747852e+03
  15    7.672935e+02    1.687135e+03    1.226437e+01   -5.243027e+01    1.113906e+01    1.747852e+03    8.533894e+02    1.929797e+03    1.311320e+01   -3.517058e+01    2.582697e+00    1.908773e+03
  16    8.533894e+02    1.929797e+03    1.311320e+01   -3.517058e+01    2.582697e+00    1.908773e+03    9.291294e+02    2.165166e+03    1.275738e+01   -1.642412e+01   -5.002988e+00    2.045282e+03
  17    9.291294e+02    2.165166e+03    1.275738e+01   -1.642412e+01   -5.002988e+00    2.045282e+03    9.992596e+02    2.390900e+03    1.261763e+01   -1.699699e+00   -1.068447e+01    2.159196e+03
  18    9.992596e+02    2.390900e+03    1.261763e+01   -1.699699e+00   -1.068447e+01    2.159196e+03    1.074383e+03    2.609059e+03    1.470872e+01    4.325963e+00   -1.444369e+01    2.246061e+03
  19    1.074383e+03    2.609059e+03    1.470872e+01    4.325963e+00   -1.444369e+01    2.246061e+03    1.154342e+03    2.833696e+03    1.646884e+01    8.667437e+00   -1.701302e+01    2.319807e+03
  20    1.154342e+03    2.833696e+03    1.646884e+01    8.667437e+00   -1.701302e+01    2.319807e+03    1.237409e+03    3.060910e+03    2.075508e+01    9.686176e+00   -2.010333e+01    2.387306e+03
  21    1.237409e+03    3.060910e+03    2.075508e+01    9.686176e+00   -2.010333e+01    2.387306e+03    1.321728e+03    3.291488e+03    3.507436e+01    5.826940e+00   -2.848580e+01    2.453617e+03
  22    1.321728e+03    3.291488e+03    3.507436e+01    5.826940e+00   -2.848580e+01    2.453617e+03    1.408961e+03    3.529971e+03    6.206280e+01    1.879842e+00   -4.519091e+01    2.527665e+03
  23    1.408961e+03    3.529971e+03    6.206280e+01    1.879842e+00   -4.519091e+01    2.527665e+03    1.497579e+03    3.769305e+03    9.338897e+01   -7.974998e-01   -6.405703e+01    2.598217e+03
