# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1    3.917412e+00    6.460563e+01    5.336317e+02   -4.440025e-01    3.541881e-01   -4.388292e-02
   2    4.382149e+00    6.905859e-01    2.165024e+03   -1.093738e+00    2.779920e+00   -1.192292e-01
   3    2.947038e+00    8.250079e-01    4.438815e+03   -1.989897e+00    5.735847e+00   -2.076719e-01
   4   -9.575646e+00    7.372907e+00    6.907138e+03   -2.169774e+00    8.712618e+00   -2.511386e-01
   5   -3.856411e+01   -3.327867e+00    9.610316e+03   -3.741116e+00    1.603743e+00   -1.324631e-01
   6   -7.996463e+01   -9.052097e+00    1.239562e+04   -4.599704e+00   -1.764155e+00    1.587800e-01
   7   -1.280597e+02    1.835638e+00    1.510023e+04    1.314333e-01    7.657043e+00    9.351176e-01
   8   -1.973328e+02    1.557610e+01    1.764582e+04    1.633543e+00    3.516491e+00    2.817461e+00
   9   -2.826253e+02    2.825141e+01    1.996414e+04    1.132402e+01    3.377269e+01    6.224995e+00
  10   -2.125338e+02   -8.175764e+00    2.266312e+04    3.732333e+01    9.520290e+01    1.138325e+01
  11   -5.035516e+02    3.950480e+01    2.606553e+04   -7.087898e+01   -1.755541e+02    8.431211e+00
  12   -9.651059e+02    1.524853e+02    2.730565e+04   -7.847105e-01   -6.764334e+00    5.072543e+01
  13   -9.957468e+02    1.160999e+02    2.637916e+04   -3.109300e+01   -1.559036e+02    7.298286e+01
  14   -1.335152e+03    1.275801e+02    2.522987e+04   -1.930739e+01   -9.292806e+01    6.285039e+01
  15   -1.108930e+03    6.342754e+01    2.363554e+04    3.674525e+00    5.152923e+01    8.406524e+01
  16   -9.302429e+02    3.656391e+01    2.273591e+04   -1.623889e+01   -9.644943e+00    7.802934e+01
  17   -8.495688e+02    1.830960e+01    2.298974e+04   -4.557892e+00   -1.821201e+01    1.638870e+01
  18   -8.292646e+02    3.321619e+00    2.397431e+04   -7.117396e+00   -4.407522e+01    2.564280e+01
  19   -7.125281e+02   -1.406555e+01    2.551049e+04   -2.064015e+00    1.003599e+02   -7.774727e+00
  20   -5.370325e+02   -2.544947e+01    2.729860e+04   -1.272744e+01   -2.219081e+01   -4.179182e+01
  21   -5.016935e+02   -2.100705e+01    2.908490e+04   -3.559241e+01   -3.071814e+01   -7.943958e+01
  22   -4.346754e+02   -1.964772e+01    3.064131e+04   -6.608331e+01    4.983901e+01   -1.591600e+02
  23   -3.061821e+02   -2.432672e+01    3.185533e+04   -7.379569e+01    2.112454e+01   -2.673651e+02
  24   -2.393153e+02   -2.814835e+01    3.275633e+04   -8.242766e+01   -1.077720e+01   -3.682451e+02
  25   -1.671229e+02   -2.961393e+01    3.335349e+04   -3.958917e+01    3.668136e+01   -4.275456e+02
  26   -3.668286e+01   -3.183577e+01    3.369544e+04   -7.742741e+01    4.325207e+01   -4.597825e+02
  27    2.024965e+02   -4.051567e+01    3.362989e+04   -1.131293e+02    5.531002e+01   -5.276009e+02
  28    4.831890e+02   -4.430478e+01    3.249094e+04   -8.375516e+01    3.506433e+01   -5.652125e+02
  29    6.574306e+02   -4.129622e+01    3.073304e+04   -6.454536e+01    5.887943e+01   -5.238932e+02
  30    6.340664e+02   -3.497046e+01    2.855934e+04   -1.818215e+01    2.686012e+01   -4.346065e+02
  31    4.739605e+02   -2.453544e+01    2.651805e+04   -2.537689e+01    4.024227e+01   -3.461798e+02
  32    4.118183e+02   -2.832430e+01    2.452522e+04   -2.143087e+01    2.387148e+01   -2.866069e+02
  33    3.579810e+02   -1.585175e+01    2.176092e+04   -1.629686e+01    1.876214e+01   -2.412659e+02
  34    3.274381e+02   -1.136587e+01    1.884476e+04   -1.396903e+00    1.400274e+01   -1.997779e+02
  35    2.886512e+02   -5.143757e+00    1.570540e+04    1.067538e+01    8.827954e+00   -1.614238e+02
  36    1.995480e+02   -3.656299e+00    1.277763e+04    1.916552e+01    5.326180e+00   -1.297019e+02
  37    1.751528e+02   -8.986257e-03    1.014217e+04    1.935582e+01    4.140159e+00   -1.074993e+02
  38    1.391109e+02    9.793008e-01    7.961458e+03    1.443617e+01    1.641144e+00   -8.838912e+01
  39    1.209233e+02    7.356302e-01    6.381035e+03    1.293483e+01    3.348873e+00   -7.213640e+01
  40    9.900281e+01    2.679694e-01    4.966603e+03    1.005438e+01    5.512423e+00   -5.849008e+01
  41    8.013201e+01    7.614216e-01    3.969740e+03    9.472524e+00    5.312265e-01   -4.630417e+01
  42    6.749679e+01    9.406199e-01    3.113133e+03    7.340199e+00   -8.129422e-01   -3.617193e+01
  43    7.862431e+01    1.610394e+00    2.324872e+03    6.310157e+00    2.972011e+00   -2.567412e+01
  44    7.304568e+01    1.588790e+00    1.621676e+03    6.845234e+00   -3.183134e+00   -1.600370e+01
  45    4.784240e+01    1.120942e+00    1.046259e+03    4.387416e+00   -8.776790e-01   -8.057955e+00
  46    2.916896e+01    7.409684e-01    6.289730e+02    2.578005e+00   -2.465796e-01   -3.661069e+00
  47    1.625535e+01    4.812874e-01    3.460529e+02    1.329141e+00   -9.502444e-02   -1.477536e+00
  48    8.033166e+00    2.959722e-01    1.691064e+02    5.778213e-01   -5.027755e-02   -5.212106e-01
  49    3.112357e+00   -1.332376e-02    6.555997e+01    2.060549e-01   -2.620835e-02   -1.264314e-01
  50    5.340892e+00   -2.826792e-02    1.449302e+01    2.127934e-02   -2.636698e-03   -1.563101e-02
