# Element_num    Fx_n    Fy_n    Fz_n    Mx_n    My_n    Mz_n    Fx_n+1    Fy_n+1    Fz_n+1    Mx_n+1    My_n+1    Mz_n+1 
   1    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -2.550887e+01    7.934365e+01   -1.931483e+00   -2.442290e+00    1.297509e+00    8.555561e+01
   2   -2.550887e+01    7.934365e+01   -1.931483e+00   -2.442290e+00    1.297509e+00    8.555561e+01   -2.781499e+01    7.991742e+01   -2.085135e+00   -2.519424e+00    1.348421e+00    8.528945e+01
   3   -2.781499e+01    7.991742e+01   -2.085135e+00   -2.519424e+00    1.348421e+00    8.528945e+01   -3.171347e+01    8.095242e+01   -2.347931e+00   -2.639822e+00    1.430061e+00    8.496196e+01
   4   -3.171347e+01    8.095242e+01   -2.347931e+00   -2.639822e+00    1.430061e+00    8.496196e+01   -3.738119e+01    8.261363e+01   -2.729662e+00   -2.791890e+00    1.537514e+00    8.476647e+01
   5   -3.738119e+01    8.261363e+01   -2.729662e+00   -2.791890e+00    1.537514e+00    8.476647e+01   -4.509981e+01    8.510615e+01   -3.236821e+00   -2.955630e+00    1.662191e+00    8.488608e+01
   6   -4.509981e+01    8.510615e+01   -3.236821e+00   -2.955630e+00    1.662191e+00    8.488608e+01   -4.845281e+01    9.485784e+01   -3.849048e+00   -3.180309e+00    1.845842e+00    8.552438e+01
   7   -4.845281e+01    9.485784e+01   -3.849048e+00   -3.180309e+00    1.845842e+00    8.552438e+01   -2.874993e+01    1.285100e+02   -4.249444e+00   -3.885826e+00    2.336882e+00    9.696092e+01
   8   -2.874993e+01    1.285100e+02   -4.249444e+00   -3.885826e+00    2.336882e+00    9.696092e+01    2.462239e+01    1.986894e+02   -4.029194e+00   -6.205273e+00    3.788565e+00    1.489030e+02
   9    2.462239e+01    1.986894e+02   -4.029194e+00   -6.205273e+00    3.788565e+00    1.489030e+02    1.749701e+02    3.806009e+02   -2.597051e+00   -1.787298e+01    1.109095e+01    4.212419e+02
  10    1.749701e+02    3.806009e+02   -2.597051e+00   -1.787298e+01    1.109095e+01    4.212419e+02    3.831618e+02    7.314219e+02   -3.264183e+00   -3.977277e+01    2.503430e+01    9.408885e+02
  11    3.831618e+02    7.314219e+02   -3.264183e+00   -3.977277e+01    2.503430e+01    9.408885e+02    4.892408e+02    9.895910e+02   -5.706491e+00   -4.965688e+01    3.154896e+01    1.213774e+03
  12    4.892408e+02    9.895910e+02   -5.706491e+00   -4.965688e+01    3.154896e+01    1.213774e+03    5.534214e+02    1.174827e+03   -7.164071e+00   -5.055834e+01    3.196584e+01    1.336426e+03
