# 1/2 chord locations of the cross-sections 
node  X_coordinate[m]	Y_coordinate[m]	Z_coordinate[m]	Twist[deg.] 
    1    0.0228   -0.0064         0  -15.5946
    2   -0.0129    0.0126    1.1711  -15.5912
    3   -0.0486    0.0316    2.3423  -15.5878
    4   -0.0914    0.0549    3.5131  -15.5043
    5   -0.1344    0.0784    4.6839  -15.4176
    6   -0.1818    0.1045    5.8545  -15.2020
    7   -0.2295    0.1310    7.0250  -14.9754
    8   -0.2805    0.1583    8.1954  -14.6503
    9   -0.3320    0.1857    9.3658  -14.3120
   10   -0.3845    0.2121   10.5361  -13.9031
   11   -0.4373    0.2384   11.7065  -13.4809
   12   -0.4890    0.2624   12.8769  -13.0140
   13   -0.5404    0.2858   14.0474  -12.5360
   14   -0.6410    0.3256   16.3886  -11.5348
   15   -0.7386    0.3567   18.7300  -10.5305
   16   -0.8264    0.3770   21.0719   -9.5732
   17   -0.8988    0.3852   23.4144   -8.7169
   18   -0.9648    0.3826   26.3432   -7.8122
   19   -0.9818    0.3773   27.8079   -7.4188
   20   -0.9988    0.3720   29.2726   -7.0254
   21   -1.0003    0.3555   32.2021   -6.2700
   22   -1.0019    0.3391   35.1316   -5.5147
   23   -0.9837    0.3208   38.0611   -4.8681
   24   -0.9655    0.3025   40.9905   -4.2215
   25   -0.9512    0.2756   43.9199   -3.7191
   26   -0.9369    0.2488   46.8493   -3.2167
   27   -0.9238    0.1908   49.7783   -2.8033
   28   -0.9107    0.1329   52.7072   -2.3900
   29   -0.8923    0.0506   55.6356   -2.0382
   30   -0.8739   -0.0316   58.5640   -1.6864
   31   -0.8507   -0.1269   61.4919   -1.3779
   32   -0.8276   -0.2222   64.4198   -1.0694
   33   -0.8010   -0.3568   67.3461   -0.8100
   34   -0.7744   -0.4915   70.2725   -0.5507
   35   -0.7442   -0.6533   73.1974   -0.3072
   36   -0.7139   -0.8150   76.1224   -0.0636
   37   -0.6809   -0.9889   79.0466    0.2168
   38   -0.6479   -1.1628   81.9708    0.4972
   39   -0.6142   -1.3563   84.8938    0.8732
   40   -0.5806   -1.5497   87.8168    1.2492
   41   -0.5477   -1.7636   90.7383    1.5895
   42   -0.5148   -1.9774   93.6599    1.9298
   43   -0.4804   -2.2038   96.5805    2.0509
   44   -0.4459   -2.4301   99.5011    2.1719
   45   -0.4093   -2.6732  102.4204    2.1325
   46   -0.3726   -2.9162  105.3396    2.0931
   47   -0.3358   -3.1802  108.2570    1.9466
   48   -0.2989   -3.4441  111.1744    1.8001
   49   -0.1824   -3.7228  114.0872    1.5213
   50   -0.0659   -4.0014  117.0000    1.2424

