# Node_num    Fx      Fy      Fz      Mx      My      Mz 
   1  0.0     8.413579e-04  0.0  0.0  0.0  0.0 
   2  0.0     9.604881e+01  0.0  0.0  0.0  0.0 
   3  0.0     1.920955e+02  0.0  0.0  0.0  0.0 
   4  0.0     2.881862e+02  0.0  0.0  0.0  0.0 
   5  0.0     3.842917e+02  0.0  0.0  0.0  0.0 
   6  0.0     4.803933e+02  0.0  0.0  0.0  0.0 
   7  0.0     5.765016e+02  0.0  0.0  0.0  0.0 
   8  0.0     6.726062e+02  0.0  0.0  0.0  0.0 
   9  0.0     7.686507e+02  0.0  0.0  0.0  0.0 
  10  0.0     8.646369e+02  0.0  0.0  0.0  0.0 
  11  0.0     9.606151e+02  0.0  0.0  0.0  0.0 
  12  0.0     1.056669e+03  0.0  0.0  0.0  0.0 
  13  0.0     1.152729e+03  0.0  0.0  0.0  0.0 
  14  0.0     1.344848e+03  0.0  0.0  0.0  0.0 
  15  0.0     1.537061e+03  0.0  0.0  0.0  0.0 
  16  0.0     1.729256e+03  0.0  0.0  0.0  0.0 
  17  0.0     1.921339e+03  0.0  0.0  0.0  0.0 
  18  0.0     2.161233e+03  0.0  0.0  0.0  0.0 
  19  0.0     2.400941e+03  0.0  0.0  0.0  0.0 
  20  0.0     2.880964e+03  0.0  0.0  0.0  0.0 
  21  0.0     3.361508e+03  0.0  0.0  0.0  0.0 
  22  0.0     3.842007e+03  0.0  0.0  0.0  0.0 
  23  0.0     4.322416e+03  0.0  0.0  0.0  0.0 
  24  0.0     4.802650e+03  0.0  0.0  0.0  0.0 
  25  0.0     5.282893e+03  0.0  0.0  0.0  0.0 
  26  0.0     5.762868e+03  0.0  0.0  0.0  0.0 
  27  0.0     6.242609e+03  0.0  0.0  0.0  0.0 
  28  0.0     6.722341e+03  0.0  0.0  0.0  0.0 
  29  0.0     7.201932e+03  0.0  0.0  0.0  0.0 
  30  0.0     7.681254e+03  0.0  0.0  0.0  0.0 
  31  0.0     8.160346e+03  0.0  0.0  0.0  0.0 
  32  0.0     8.639243e+03  0.0  0.0  0.0  0.0 
  33  0.0     9.117850e+03  0.0  0.0  0.0  0.0 
  34  0.0     9.595355e+03  0.0  0.0  0.0  0.0 
